step,min_sr_recorded,dtZ_inferred_mm4,minsr_reint_euler,minsr_reint_exp
462,7.865873e-02,,7.865873e-02,7.865873e-02
463,7.659882e-02,2.618796e-02,7.659882e-02,7.662556e-02
464,7.481992e-02,2.322362e-02,7.481992e-02,7.486654e-02
465,7.331980e-02,2.004972e-02,7.331980e-02,7.338043e-02
466,7.205588e-02,1.723848e-02,7.205588e-02,7.212631e-02
467,7.098833e-02,1.481549e-02,7.098833e-02,7.106560e-02
468,7.009166e-02,1.263127e-02,7.009166e-02,7.017359e-02
469,6.936237e-02,1.040480e-02,6.936237e-02,6.944724e-02
470,6.879804e-02,8.136026e-03,6.879804e-02,6.888451e-02
471,6.839848e-02,5.807732e-03,6.839848e-02,6.848560e-02
472,6.813383e-02,3.869269e-03,6.813383e-02,6.822113e-02
473,6.798131e-02,2.238452e-03,6.798131e-02,6.806859e-02
474,6.788387e-02,1.433384e-03,6.788387e-02,6.797109e-02
475,6.778729e-02,1.422704e-03,6.778729e-02,6.787445e-02
476,6.763810e-02,2.200848e-03,6.763810e-02,6.772524e-02
477,6.742521e-02,3.147503e-03,6.742521e-02,6.751241e-02
478,6.714013e-02,4.228046e-03,6.714013e-02,6.722756e-02
479,6.679902e-02,5.080538e-03,6.679902e-02,6.688688e-02
480,6.640766e-02,5.858780e-03,6.640766e-02,6.649615e-02
481,6.598317e-02,6.392225e-03,6.598317e-02,6.607245e-02
482,6.553318e-02,6.819791e-03,6.553318e-02,6.562338e-02
483,6.507103e-02,7.052133e-03,6.507103e-02,6.516222e-02
484,6.458559e-02,7.460195e-03,6.458559e-02,6.467791e-02
485,6.406922e-02,7.995091e-03,6.406922e-02,6.416286e-02
486,6.351637e-02,8.628921e-03,6.351637e-02,6.361159e-02
487,6.292136e-02,9.367898e-03,6.292136e-02,6.301846e-02
488,-7.580655e-02,2.204783e+00,-7.580655e-02,6.949330e-03
489,-2.463859e+00,,nan,6.949330e-03
490,-2.456235e+00,,nan,6.949330e-03
491,-2.452543e+00,,nan,6.949330e-03
492,-2.454973e+00,,nan,6.949330e-03
493,-2.455181e+00,,nan,6.949330e-03
494,-2.475224e+00,,nan,6.949330e-03
495,-2.498412e+00,,nan,6.949330e-03
496,-6.676614e+00,,nan,6.949330e-03
497,-7.530892e+00,,nan,6.949330e-03
498,-1.197114e+01,,nan,6.949330e-03
499,-2.274025e+01,,nan,6.949330e-03
500,-2.278416e+01,,nan,6.949330e-03
501,-2.286244e+01,,nan,6.949330e-03
