# axial thickness
8.6208933966989487e-01 -1.2412519211614887e+01
8.2732810176381788e-01 -1.1673303610633726e+01
8.2278927756102560e-01 -1.1617618949642472e+01
8.0087407092485663e-01 -1.0907620867856048e+01
6.9077730027827455e-01 -9.9684981811676163e+00
5.8037342089724486e-01 -9.4280464591477724e+00
3.1984888540966033e-01 -8.4740899309107363e+00
2.5004043619049693e-01 -8.2822763445428489e+00
-1.7789604020692376e-01 -7.0461940449313971e+00
-7.1867250591627974e-01 -5.5217715926722963e+00
-9.3412818385834484e-01 -4.9039018460991590e+00
-1.3885733926473860e+00 -3.6665168001254242e+00
-1.7556571012475217e+00 -2.6984898186815665e+00
-2.1202616534987206e+00 -1.7684958103981312e+00
-2.8735626138676591e+00 1.4991049263646289e-01
-3.0169755741702522e+00 4.8596981062595002e-01
-3.5994412844610912e+00 1.8255381103694055e+00
-4.0842470872225407e+00 3.0297255277028476e+00
-4.3018653666616542e+00 3.5356870432859635e+00
-4.6489206440227528e+00 4.3967990314637468e+00
-4.9292086638065769e+00 5.0712148805651953e+00
-5.8088691131035262e+00 7.0784161538297665e+00
-6.1231899430587351e+00 7.7375744920043612e+00
-6.4866524110938188e+00 8.3272610034122234e+00
-6.5823919669542237e+00 8.4636428798923991e+00
-7.1741405996449847e+00 9.0675600359773014e+00
-8.0197504104495216e+00 8.8411312855251953e+00
-8.0197504104495216e+00 8.8411312855251953e+00
-8.1976225944842351e+00 8.4952778450705999e+00
-8.3208466671536367e+00 8.1124013712698559e+00
-8.3973253136034565e+00 7.7024951574615699e+00
-8.4269011250443135e+00 7.0226897634940126e+00
-8.4116654969725833e+00 6.5536951448618321e+00
-8.3405011837533394e+00 6.1358165284748765e+00
-8.2270806911704053e+00 5.2635155661684632e+00
-8.0638173747090214e+00 4.4670039585659120e+00
-7.9314343730138397e+00 3.8811413974645115e+00
-7.8717420169163983e+00 3.1530016242867664e+00
-7.8158344464627163e+00 2.2879640135721844e+00
-7.5679709529920407e+00 1.5711578256560443e+00
-7.4163699014908433e+00 1.2384260670833913e+00
-6.9721127189484786e+00 -4.9538764548086372e-03
-6.8355056358533286e+00 -3.4558997800602342e-01
-5.5410054524309516e+00 -3.3121413363894985e+00
-5.3775111187372540e+00 -3.6702843454269871e+00
-3.4487782608764266e+00 -8.0300369013754338e+00
-2.8681294292806832e+00 -9.1379265323174419e+00
-2.6156903854018241e+00 -9.6007124197004430e+00
-1.9839851786004914e+00 -1.0654903371001472e+01
-1.6947278346990928e+00 -1.1085318335413341e+01
-1.4950802821812381e+00 -1.1355691751256968e+01
-1.2789360364679321e+00 -1.1617991325327141e+01
-8.1590309195296373e-01 -1.2106974517679088e+01
-5.7964885510776043e-01 -1.2344878958201754e+01
-3.2505635847825343e-01 -1.2578261281920454e+01
2.0839150608434953e-01 -1.2988451867490463e+01
