# x_over_c y_over_c
1.0000000000000000e+00 0.0000000000000000e+00
9.9993831624083029e-01 1.8804741888929164e-05
9.9975328018286580e-01 7.5130998579390218e-05
9.9944493748098495e-01 1.6871650908456673e-04
9.9901336421413578e-01 2.9912962144955656e-04
9.9845866686656404e-01 4.6577733939011812e-04
9.9778098230154000e-01 6.6791633482104519e-04
9.9698047772758991e-01 9.0466668049750528e-04
9.9605735065723888e-01 1.1750279965656095e-03
9.9501182885827877e-01 1.4778976514097507e-03
9.9384417029756889e-01 1.8120906120069550e-03
9.9255466307738693e-01 2.1763605030554532e-03
9.9114362536434442e-01 2.5694214082335161e-03
9.8961140531088287e-01 2.9899699316108890e-03
9.8795838096937372e-01 3.4367070327784265e-03
9.8618496019883828e-01 3.9083591557286046e-03
9.8429158056431554e-01 4.4036981886875614e-03
9.8227870922889904e-01 4.9215598195127639e-03
9.8014684283847142e-01 5.4608598882193767e-03
9.7789650739916500e-01 6.0206083837679308e-03
9.7552825814757682e-01 6.5999207853192892e-03
9.7304267941377265e-01 7.1980265074577639e-03
9.7044038447711278e-01 7.8142742729886902e-03
9.6772201541493363e-01 8.4481343043174163e-03
9.6488824294412567e-01 9.0991972935389517e-03
9.6193976625564337e-01 9.7671701806199204e-03
9.5887731284199051e-01 1.0451868836853222e-02
9.5570163831772259e-01 1.1153207815591922e-02
9.5241352623300968e-01 1.1871187392687065e-02
9.4901378788030777e-01 1.2605878173755336e-02
9.4550326209418389e-01 1.3357403593235437e-02
9.4188281504434679e-01 1.4125920670177847e-02
9.3815334002193174e-01 1.4911599417082486e-02
9.3431575721909554e-01 1.5714601320290390e-02
9.3037101350197182e-01 1.6535057323123013e-02
9.2632008217704609e-01 1.7373045746038856e-02
9.2216396275100754e-01 1.8228570571675488e-02
9.1790368068413519e-01 1.9101540507110434e-02
9.1354028713728086e-01 1.9991749211563915e-02
9.0907485871251170e-01 2.0898857045828778e-02
9.0450849718747373e-01 2.1822374660862291e-02
8.9984232924354524e-01 2.2761648698266284e-02
8.9507750618784521e-01 2.3715849825989538e-02
8.9021520366916485e-01 2.4683963279756971e-02
8.8525662138789452e-01 2.5664782025765033e-02
8.8020298280001552e-01 2.6656902604397612e-02
8.7505553481522980e-01 2.7658723659406803e-02
8.6981554748930479e-01 2.8668447103416733e-02
8.6448431371070567e-01 2.9684081819917621e-02
8.5906314888159430e-01 3.0703449755179836e-02
8.5355339059327373e-01 3.1724194211673620e-02
8.4795639829615710e-01 3.2743790118410970e-02
8.4227355296434436e-01 3.3759556023756958e-02
8.3650625675488655e-01 3.4768667533136587e-02
8.3065593266182591e-01 3.5768171897957550e-02
8.2472402416509172e-01 3.6755003453073559e-02
8.1871199487434487e-01 3.7725999598134219e-02
8.1262132816785260e-01 3.8677917022961548e-02
8.0645352682648808e-01 3.9607447888244274e-02
8.0021011266294195e-01 4.0511235689812755e-02
7.9389262614623646e-01 4.1398294745364113e-02
7.8750262602163934e-01 4.2280507469499254e-02
7.8104168892606540e-01 4.3156341194400975e-02
7.7451140899906579e-01 4.4024363867083964e-02
7.6791339748949827e-01 4.4883276960165031e-02
7.6124928235797440e-01 4.5731931517540729e-02
7.5452070787518566e-01 4.6569341544670552e-02
7.4772933421620380e-01 4.7394694471782017e-02
7.4087683705085750e-01 4.8207358470936337e-02
7.3396490713028661e-01 4.9006886465051809e-02
7.2699524986977337e-01 4.9793016727637258e-02
7.1996958492795760e-01 5.0565670035037244e-02
7.1288964578253633e-01 5.1324943397275773e-02
7.0575717930255433e-01 5.2071100457915437e-02
6.9857394531739025e-01 5.2804558716525007e-02
6.9134171618254481e-01 5.3525873788186455e-02
6.8406227634233896e-01 5.4235720971817163e-02
6.7673742188962849e-01 5.4934874451841732e-02
6.6936896012264568e-01 5.5624184504900420e-02
6.6195870909907462e-01 5.6304553123904692e-02
6.5450849718747373e-01 5.6976908505037144e-02
6.4702016261615203e-01 5.7642178868560968e-02
6.3949555301961458e-01 5.8301266101020474e-02
6.3193652498268649e-01 5.8955019714191627e-02
6.2434494358242731e-01 5.9604211614764001e-02
