# x_over_c y_over_c
1.0000000000000002e+00 2.5587171270657905e-17
9.9116278512876355e-01 8.1342431678468781e-03
9.8558333750317439e-01 9.8302585536891134e-03
9.8049723473152839e-01 1.1426597801967132e-02
9.7048696149144587e-01 1.4482524815176425e-02
9.6511056286239227e-01 1.5788011981450616e-02
9.5902072347758849e-01 1.7038520753338091e-02
9.4295388499958166e-01 2.0957725737297872e-02
9.2635097395755384e-01 2.4686511826784208e-02
9.1578132030135018e-01 2.7131294313430709e-02
9.0499287289769970e-01 2.9371028183142838e-02
8.9756218831518342e-01 3.0765737750517892e-02
8.8863291244135223e-01 3.2365536086298351e-02
8.8303116591732456e-01 3.3414222934730356e-02
8.7148781851725143e-01 3.5727870118189127e-02
8.5534776912809996e-01 3.8861094374637674e-02
8.4379849164445686e-01 4.0892960855097173e-02
8.2155235254286485e-01 4.4782085838889853e-02
8.1039708291242629e-01 4.6687059944218234e-02
7.9940851565417237e-01 4.8439886719551295e-02
7.8285979327353694e-01 5.0950872928818891e-02
7.7186410905875780e-01 5.2746181384856608e-02
7.6003007703014380e-01 5.4545149397614547e-02
7.4904745214648938e-01 5.6110319855823175e-02
7.3744187979723319e-01 5.7429626739671613e-02
7.1425748254566712e-01 5.9742690052851877e-02
6.8640380150503988e-01 6.3004908487631447e-02
6.7477390091118927e-01 6.3863553062056863e-02
6.6318312255948719e-01 6.4946476950558538e-02
6.3997889438541999e-01 6.7331827371967967e-02
6.1673608899637944e-01 6.9174441988764004e-02
6.0510327387667118e-01 6.9898629410881194e-02
5.8183978486391796e-01 7.1651137674769202e-02
5.4233034668201385e-01 7.5167409362095483e-02
5.2371046981674318e-01 7.5979270938514892e-02
5.0039278943661436e-01 7.6935420950659680e-02
4.8508630638550809e-01 7.8265140723933119e-02
4.7128879125976125e-01 7.8537500206629821e-02
4.5374573033196303e-01 7.8971539870636653e-02
4.4142146171594887e-01 7.9525481858794531e-02
4.2223525568822634e-01 8.0732782986428137e-02
4.1179520683296889e-01 8.0963040106200423e-02
4.0015226658174086e-01 8.1364668888472755e-02
3.8848530412688620e-01 8.1394771760968307e-02
3.6971746590360566e-01 8.0754789288326939e-02
3.4686859612988180e-01 8.1659424825265337e-02
3.4534673916691372e-01 8.1515523809223070e-02
3.2849627024482547e-01 8.0379801794217748e-02
3.1584940270644341e-01 8.0296106972007175e-02
2.7341137490140099e-01 7.9384210289933560e-02
2.6706353324180798e-01 7.9330306938626916e-02
2.5790300704467101e-01 7.8504903525264444e-02
2.4187457652618158e-01 7.8155738750437243e-02
2.2902154406923877e-01 7.6812845597747370e-02
2.1735547331271024e-01 7.6462768812045417e-02
2.0487934060004662e-01 7.5330571144418171e-02
1.9174159212253442e-01 7.3611765498552029e-02
1.7965565914093712e-01 7.3046935560717494e-02
1.6078931130078150e-01 7.1211607221673676e-02
1.5402889108057882e-01 7.0354342843579776e-02
1.4577720491798524e-01 6.9010836938381157e-02
1.2762200508645752e-01 6.6031033899236327e-02
1.2096397651106700e-01 6.4510007709098788e-02
1.1379844631719656e-01 6.3457811340582482e-02
1.0148573474859261e-01 6.1593583035866969e-02
9.4266124896762754e-02 5.9698553007044901e-02
8.5682786767419666e-02 5.8114496864033749e-02
7.2772437072240237e-02 5.3961694624963995e-02
6.2811848578385190e-02 5.1330467798199747e-02
5.8570019832811730e-02 4.9412741839992502e-02
5.1253638919872724e-02 4.6406611284758821e-02
4.4188665812513399e-02 4.3064147010069193e-02
3.2587229935983231e-02 3.5860792799311265e-02
2.9010119061363610e-02 3.2915708176215953e-02
2.2667734748616063e-02 2.7801303072579730e-02
1.9275472732923200e-02 2.4692448900754470e-02
1.4029575700271711e-02 1.9890990138213265e-02
1.0073433544978283e-02 1.6065243128456225e-02
5.1418573007874216e-03 1.0754636332102255e-02
1.4282723975230661e-03 5.3989693313638790e-03
0.0000000000000000e+00 0.0000000000000000e+00
0.0000000000000000e+00 0.0000000000000000e+00
7.4946907255917898e-03 -6.0728291265076881e-03
2.6329579856842235e-02 -4.7424621751503138e-03
3.8061820657968481e-02 -4.2974627433879347e-03
4.4315900512701470e-02 -3.8494133134678895e-03
5.1134028929387787e-02 -3.0226090175582364e-03
5.4625716866841124e-02 -2.5429499979696944e-03
6.4011167624043963e-02 -1.3944319045163544e-03
8.2462494489991947e-02 6.4457543211411683e-04
8.9577930215003654e-02 1.8127967540969806e-03
9.6010014716448447e-02 2.6083328482606563e-03
