# row axial thickness
1 -4.9514086417077179e+00 6.0067414591651600e+00
2 -4.2672578793766442e+00 5.9645520991016641e+00
3 -4.2763400992476228e+00 5.9641074706894495e+00
4 -4.5183360678606057e+00 5.9532877085343365e+00
5 -4.4589540838509585e+00 5.9525708384585299e+00
6 -4.5678120569359582e+00 5.9461691034979758e+00
7 -4.7534589503098230e+00 5.9613939997534207e+00
8 -4.6381420529782993e+00 5.9462792504790487e+00
9 -4.8317906884890940e+00 5.9502512782133223e+00
10 -4.9748811912084649e+00 6.0028236699834938e+00
11 -4.8433358504345199e+00 5.9518660751201331e+00
12 -5.0546564643300362e+00 5.9875411079414995e+00
13 -4.9770024431310294e+00 6.2952265120755957e+00
14 -5.0808519681576412e+00 6.1143023050322016e+00
15 -5.1564375507928393e+00 6.1027927818991659e+00
16 -5.0808318570450250e+00 6.2046861331042837e+00
17 -3.6248226742184695e+00 6.0063443335998192e+00
18 -3.7475207740909515e+00 6.0016121129092594e+00
19 -3.8072035667515358e+00 5.9985607282724711e+00
20 -4.0215558350081979e+00 5.9844143088132400e+00
21 -3.9898935007645187e+00 5.9878546764713336e+00
22 -4.0481248845614646e+00 5.9840141079281430e+00
23 -4.2710097139716208e+00 5.9644249946991055e+00
24 -4.1669272803383759e+00 5.9755773822868594e+00
25 -4.3501250222288137e+00 5.9621017601632973e+00
26 -4.3423993982530034e+00 5.9629579832394963e+00
27 -4.3536625343534965e+00 5.9619719652139302e+00
28 -4.5994626250051134e+00 5.9449661420673046e+00
29 -4.8355721421800144e+00 5.9497937073441065e+00
30 -5.0649059399562937e+00 5.9867275869055723e+00
31 -4.6787323313525064e+00 6.5083057182521831e+00
32 -4.8141326100937700e+00 6.4542894515625662e+00
33 -4.9342687918179431e+00 6.3809965711081578e+00
34 -5.1634097020559047e+00 6.1065430547338000e+00
35 -5.0531145050966133e+00 6.3013914377386229e+00
36 -2.9513315005815022e+00 6.0278180861735411e+00
37 -2.9710958126999656e+00 6.0275671137010161e+00
38 -3.1387021904425225e+00 6.0239930325165369e+00
39 -3.2566787077560391e+00 6.0206457924972465e+00
40 -3.3232137892292353e+00 6.0187905687557359e+00
41 -3.5289803239031832e+00 6.0124684473418499e+00
42 -3.5103470811557278e+00 6.0136275679910813e+00
43 -3.5435702015809301e+00 6.0127391526960094e+00
44 -3.7730942553918796e+00 6.0017372124611912e+00
45 -3.6961276843585416e+00 6.0078913250748851e+00
46 -3.8324489412441216e+00 6.0012950668102061e+00
47 -4.2651473609487329e+00 6.6142497955175585e+00
48 -4.3449691349235042e+00 6.6024733302985821e+00
49 -4.4449545667189643e+00 6.5853358653453249e+00
50 -4.6613675544668318e+00 6.5219248699270276e+00
51 -4.6010070517906936e+00 6.5611958869146001e+00
52 -4.6960567430574081e+00 6.5411261179641951e+00
53 -4.7634477202110190e+00 6.5188253483477387e+00
54 -2.2602603778840091e+00 6.0312139171973973e+00
55 -2.4804386784575958e+00 6.0329437493657583e+00
56 -2.4548170827569971e+00 6.0336706046623076e+00
57 -2.4976909798474636e+00 6.0338687582867250e+00
58 -2.7219292474941459e+00 6.0306497578743246e+00
59 -2.6452752546079381e+00 6.0335628392126406e+00
60 -2.7743675510795289e+00 6.0325402835938640e+00
61 -2.8340159938800475e+00 6.0320375010880332e+00
62 -3.0399495801419918e+00 6.0295335823422835e+00
63 -3.0247602413204717e+00 6.0301853332409827e+00
64 -3.0514512241089085e+00 6.0298417517588092e+00
65 -3.2846832641543640e+00 6.0212879905146881e+00
66 -3.2112899473136491e+00 6.0261627136669809e+00
67 -3.6209422858213358e+00 6.6629322779646500e+00
68 -3.7947557910812622e+00 6.6596728572298289e+00
69 -3.8152066161376839e+00 6.6588903222751581e+00
70 -4.0496729395952169e+00 6.6452525008948840e+00
71 -4.0050366863281308e+00 6.6579450448866826e+00
72 -4.0498149543083768e+00 6.6569789459282624e+00
73 -4.1947768318117795e+00 6.6470574084436720e+00
74 -4.3871741882010395e+00 6.6099465955514853e+00
75 -4.3439533790210598e+00 6.6269875849762965e+00
76 -4.3972333064871059e+00 6.6188551296995257e+00
77 -4.7281026084656013e+00 6.5439056239614297e+00
78 -1.5557864350112445e+00 6.0193485961834678e+00
79 -1.7627529997477269e+00 6.0261211184154293e+00
80 -1.7541965288306245e+00 6.0261858232451830e+00
81 -1.7683230452441812e+00 6.0266130033816561e+00
82 -2.0009037166182018e+00 6.0300535588884649e+00
83 -1.9507152778245542e+00 6.0310571580457752e+00
84 -2.0338297217119083e+00 6.0327267867649041e+00
85 -2.2409192528187356e+00 6.0317349332012089e+00
86 -2.1435487302997878e+00 6.0343507245092542e+00
87 -2.3022198109110015e+00 6.0366675059585209e+00
88 -2.3369470933281478e+00 6.0369807724683735e+00
89 -2.5567894087380001e+00 6.0369181922064978e+00
90 -2.5300068498169090e+00 6.0378949056812949e+00
91 -2.5750977616749338e+00 6.0378630097274879e+00
92 -2.7986432247392701e+00 6.0334355391704380e+00
93 -3.0115381451623864e+00 6.6872548446670992e+00
94 -3.1399663019835966e+00 6.6765403049816179e+00
95 -3.3102949151762213e+00 6.6723262142128572e+00
96 -3.3265456891005529e+00 6.6724757259323288e+00
97 -3.5566700362146744e+00 6.6708094152712354e+00
98 -3.5190379609850910e+00 6.6769680578051451e+00
99 -3.5653306059077323e+00 6.6772308673119669e+00
100 -3.7176351854845269e+00 6.6785335767733338e+00
101 -3.7991465395011033e+00 6.6618961449863709e+00
102 -3.8574286027541054e+00 6.6795434362172692e+00
103 -3.9057014601429585e+00 6.6792093309905294e+00
104 -8.0894481599650880e-01 5.9892463452992679e+00
105 -8.3511255197079559e-01 5.9906379353528836e+00
106 -1.0533514828157398e+00 6.0024520066493352e+00
107 -1.0377176780496991e+00 6.0018665421221638e+00
108 -1.0631973614027153e+00 6.0032950556092901e+00
109 -1.2884965997807529e+00 6.0124894101748776e+00
110 -1.2388932507040082e+00 6.0119334134276130e+00
111 -1.3193838883819553e+00 6.0154378067692864e+00
112 -1.5257165200422300e+00 6.0193871152524734e+00
113 -1.4359768618364399e+00 6.0193948200768972e+00
114 -1.5818454090127454e+00 6.0239286905858425e+00
115 -1.6319158632858879e+00 6.0255247578939022e+00
116 -1.8384967440196078e+00 6.0315834140424061e+00
117 -1.8302229021425029e+00 6.0315221307280744e+00
118 -1.8440211914276787e+00 6.0319142208586731e+00
119 -2.0762954362254904e+00 6.0358068373596847e+00
120 -2.3158647576041105e+00 6.0376237598327629e+00
121 -2.4939350138934855e+00 6.7140889347565453e+00
122 -2.4835511288457246e+00 6.7152235672381462e+00
123 -2.5037628851141371e+00 6.7150970277517246e+00
124 -2.6693577429253326e+00 6.7112481514626721e+00
125 -2.7980076076474738e+00 6.7023838486802907e+00
126 -2.8531219832673043e+00 6.6985827652824428e+00
127 -3.0577284049721234e+00 6.6904668193293615e+00
128 -3.0422215679005169e+00 6.6911931994835365e+00
129 -3.0869359698665031e+00 6.6914900955149976e+00
130 -3.2158281711919758e+00 6.6902026801180705e+00
131 -3.3078765668028538e+00 6.6766146213718880e+00
132 -1.1527504519061929e-01 5.9529777428739044e+00
133 -1.0653659169567303e-01 5.9524847954862432e+00
134 -1.2021659502562101e-01 5.9534915163429734e+00
135 -3.4865722876907568e-01 5.9675038515021424e+00
136 -3.1086927797697422e-01 5.9659848495730046e+00
137 -3.7219314294090045e-01 5.9695255696240652e+00
138 -5.8399877498339836e-01 5.9786306335364197e+00
139 -5.1104052908782704e-01 5.9764232547139713e+00
140 -6.2860186388045569e-01 5.9819763390020890e+00
141 -8.1915297136991783e-01 5.9900025223894406e+00
142 -7.0977678150003720e-01 5.9858815044375024e+00
143 -8.8398621334257199e-01 5.9951887856864516e+00
144 -9.1197739928892152e-01 5.9967789593789123e+00
145 -1.1280648378403491e+00 6.0093673592238037e+00
146 -1.1158670812851592e+00 6.0089152580986358e+00
147 -1.1352266063080565e+00 6.0099905975437276e+00
148 -1.3636301903003745e+00 6.0194005090958447e+00
149 -1.6014387192305490e+00 6.0254566203389972e+00
150 -1.5167110769999563e+00 6.6295570252842815e+00
151 -1.6009265616664088e+00 6.6418177733651120e+00
152 -1.7306655903876786e+00 6.6602325690439175e+00
153 -1.8250275395212168e+00 6.6751462004204170e+00
154 -2.0222785495067055e+00 6.6942384797401617e+00
155 -1.9698699215298405e+00 6.6972718969401130e+00
156 -2.0501981979828736e+00 6.7068701939074487e+00
157 -2.2538847366623123e+00 6.7119738482487881e+00
158 -2.1733194108061666e+00 6.7174616054222724e+00
159 -2.3023687508719672e+00 6.7215240702843824e+00
160 -2.3716756272115882e+00 6.7217631185853808e+00
161 -2.5743565951742915e+00 6.7100218957626181e+00
162 -2.5486021107989236e+00 6.7095892975144436e+00
163 -2.6059729756121519e+00 6.7041647320536724e+00
164 -2.8227728403838164e+00 6.6982762202771022e+00
165 6.3329375289037526e-01 5.9030204842357179e+00
166 5.5331270982940506e-01 5.9081166884919698e+00
167 4.3161246896267175e-01 5.9155117123411900e+00
168 3.0082031177378132e-01 5.9239984985482748e+00
169 2.2831074143398733e-01 5.9288683946519791e+00
170 5.2958262928810604e-02 5.9417643298897405e+00
171 2.2393624703391110e-02 5.9440785626221677e+00
172 -1.9012546398337843e-01 5.9601666931244726e+00
173 -1.8468974621446269e-01 5.9598649924451763e+00
174 -1.9322875298284442e-01 5.9604516206955624e+00
175 -4.2427394115704919e-01 5.9739618319770837e+00
176 -3.8795427773766444e-01 5.9725354106296775e+00
177 -6.5969727237491804e-01 5.9846108035913543e+00
178 -8.9452818139165113e-01 5.9960947698916920e+00
179 -7.0825994991962837e-01 6.5280668742439003e+00
180 -7.3956567317992550e-01 6.5343056770440651e+00
181 -7.5499158481337658e-01 6.5319654827046625e+00
182 -9.6155043881698554e-01 6.5624546790939133e+00
183 -9.5134156631398603e-01 6.5606708404852236e+00
184 -9.6542551016932254e-01 6.5626623425033941e+00
185 -1.1482392592296766e+00 6.5788096483754561e+00
186 -1.1926591743690249e+00 6.5831595611180242e+00
187 -1.2284740907344507e+00 6.5880720627951570e+00
188 -1.3850968890537634e+00 6.6130090286773040e+00
189 -1.4146335491521780e+00 6.6172909188470053e+00
190 -1.4268977110439396e+00 6.6194120423335781e+00
191 -1.6076774786682970e+00 6.6481938147043369e+00
192 -1.6398999272616914e+00 6.6529718801108144e+00
193 -1.6471883053840537e+00 6.6543313420412895e+00
194 -1.8381911419763750e+00 6.6851163008216767e+00
195 -1.8628937700447676e+00 6.6882303444667466e+00
196 -1.8773991985500798e+00 6.6905937109445830e+00
197 -2.0921464581236711e+00 6.7144125975105906e+00
198 -2.3297772027067447e+00 6.7205060822148877e+00
199 1.6003370006457249e+00 5.8168689809163823e+00
200 1.4569820015009061e+00 5.8312761976248151e+00
201 1.3898418141064508e+00 5.8377626585096793e+00
202 1.2145638438973738e+00 5.8545797750156625e+00
203 1.1797878849151264e+00 5.8579024648450169e+00
204 9.7552804363849310e-01 5.8770276426529184e+00
205 9.6816371821809200e-01 5.8780649611750384e+00
206 7.4071725104522779e-01 5.8956891489515471e+00
207 7.6249973224863410e-01 5.8939878248524389e+00
208 7.2730576514617318e-01 5.8965233582707226e+00
209 5.0711555713160983e-01 5.9109246553159362e+00
210 5.5804888082921555e-01 5.9077904222428010e+00
211 4.7684291683482893e-01 5.9131881743904149e+00
212 2.7402334911166693e-01 5.9261561481028879e+00
213 4.1820520127647823e-02 5.9428823710942584e+00
214 1.7669094368246183e-01 6.4706398652598232e+00
215 -1.9240928297266226e-02 6.5082312168684604e+00
216 -2.9298896877461848e-02 6.5092475580977185e+00
217 -2.1852180426573611e-01 6.5176587829073096e+00
218 -2.5862060315326912e-01 6.5201394546977767e+00
219 -2.7520699615977651e-01 6.5199971834573649e+00
220 -4.1755760248820922e-01 6.5203795526515522e+00
221 -5.5526693188645948e-01 6.5228322189095689e+00
222 -6.0706363059740087e-01 6.5254073332984186e+00
223 -7.9803574722419879e-01 6.5397113339369550e+00
224 -8.1161564887904269e-01 6.5410026707238655e+00
225 -8.1700125120126010e-01 6.5423995888749786e+00
226 -1.0236369583031715e+00 6.5794049725466168e+00
227 -1.0445407609609509e+00 6.5818477676788385e+00
228 2.3825144513719465e+00 5.7207748634824362e+00
229 2.3245009557106147e+00 5.7276854429343320e+00
230 2.1170935977285490e+00 5.7548632088005771e+00
231 2.1697620555474346e+00 5.7463345694989005e+00
232 2.0885132970561280e+00 5.7573210784735878e+00
233 1.8897830138096663e+00 5.7841927819051477e+00
234 1.9493673867616281e+00 5.7758792763337921e+00
235 1.8599417830929721e+00 5.7883373487326777e+00
236 1.6618149626627101e+00 5.8109523923269979e+00
237 1.7334740709186829e+00 5.8037305547310920e+00
238 1.6251112795484137e+00 5.8157119731798659e+00
239 1.4323585954059603e+00 5.8339509106172542e+00
240 1.5208559910478716e+00 5.8263077540239534e+00
241 1.3831283347044618e+00 5.8393185915804011e+00
242 1.2022475281917879e+00 5.8558749040867015e+00
243 1.3119351816770597e+00 5.8459914237481865e+00
244 9.7227635337533835e-01 5.8774865525035382e+00
245 1.0470622705213297e+00 6.3640881679231862e+00
246 1.0084856711493924e+00 6.3697872427401423e+00
247 8.0623966191441643e-01 6.3950405538543320e+00
248 7.9440273293969799e-01 6.3972715557488371e+00
249 5.9280536422863728e-01 6.4334296240494275e+00
250 5.5673246731247916e-01 6.4368123693859198e+00
251 3.4850446058381951e-01 6.4533049212702700e+00
252 3.5708835477188994e-01 6.4525908736766882e+00
253 3.4289524717577508e-01 6.4541716126607733e+00
254 1.3601332158889826e-01 6.4763185677907273e+00
255 1.1739883335713654e-01 6.4774875867358279e+00
256 -2.1897005478080048e-02 6.5080051903658012e+00
257 1.1668557799660136e-01 6.4787430665448822e+00
258 -7.3865295945438211e-02 6.4957117126470356e+00
259 -1.1310742109139843e-01 6.5002425947652185e+00
260 -1.4754471186660678e-01 6.4982440967952222e+00
261 -3.3856280911751901e-01 6.5167131853935185e+00
262 -5.7415629955798697e-01 6.5253289375546339e+00
263 3.4265642441695729e+00 5.5558628900199212e+00
264 3.3740273317007285e+00 5.5640780994846724e+00
265 3.1692816829493791e+00 5.6000061946877189e+00
266 3.1921020065020027e+00 5.5957177945951813e+00
267 3.1591963110737424e+00 5.6013495500082904e+00
268 2.9394494137667051e+00 5.6312270865321441e+00
269 2.9837524675987881e+00 5.6248304808691687e+00
270 2.9180579325879554e+00 5.6346899608327687e+00
271 2.7187030478959437e+00 5.6678890839244067e+00
272 2.7509331068890130e+00 5.6621848139726207e+00
273 2.7031995098868813e+00 5.6692766345372609e+00
274 2.4955150106007351e+00 5.7029192033081317e+00
275 2.5231337480830049e+00 5.6976012780774479e+00
276 2.0024326033589839e+00 6.2380735031310817e+00
277 2.4824237856509535e+00 5.7037318230339933e+00
278 2.2646340026996397e+00 5.7304160679673819e+00
279 2.3173109630722655e+00 5.7226841927849836e+00
280 2.2331425874187385e+00 5.7340548678808432e+00
281 2.0416158633371246e+00 5.7626258241779853e+00
282 1.8173340077342939e+00 5.7956021586361430e+00
283 1.8647133591725937e+00 6.2370118441030424e+00
284 1.8325401036920723e+00 6.2397068876884445e+00
285 1.6314414880758696e+00 6.2660371740806644e+00
286 1.6056829297968538e+00 6.2708499332089298e+00
287 1.4278605638897610e+00 6.3142941042588685e+00
288 1.3547072717067365e+00 6.3294801815706503e+00
289 1.2607370491263001e+00 6.3455442953838643e+00
290 1.2277702573917635e+00 6.3569526443857773e+00
291 1.1092379632617306e+00 6.3727453183770413e+00
292 1.0294371651383081e+00 6.3691737340432173e+00
293 9.9277058251805250e-01 6.3844324259260112e+00
294 9.1639817205639951e-01 6.3908179978928468e+00
295 8.0080138816921820e-01 6.3959613805524880e+00
296 7.4447076566759296e-01 6.4061088957983454e+00
297 7.0575104390491683e-01 6.4118344833259551e+00
298 5.7831500836771499e-01 6.4340099664623809e+00
299 4.6206729953455969e+00 5.3425824110479079e+00
300 4.4917260889203101e+00 5.3605843605701251e+00
301 4.3930416221842412e+00 5.3755829270963176e+00
302 4.2030151554337793e+00 5.4101032417676036e+00
303 4.2767917048758886e+00 5.3949447787169209e+00
304 4.1710361247826455e+00 5.4155461846720465e+00
305 3.9806066840035768e+00 5.4524204805413028e+00
306 4.0370507872574422e+00 5.4420544622035436e+00
307 3.9587631955615263e+00 5.4584749881542853e+00
308 3.7638167023321309e+00 5.4982179672272213e+00
309 3.7984856011296175e+00 5.4920780943420580e+00
310 3.7477962929986379e+00 5.5014570777737113e+00
311 3.5408910230546513e+00 5.5360278848638576e+00
312 3.5690839670678565e+00 5.5313715747215575e+00
313 3.5261957646689486e+00 5.5378969303061973e+00
314 3.3126522974325794e+00 5.5685274092972872e+00
315 3.3623174806002676e+00 5.5597416655147702e+00
316 3.2936198754009660e+00 5.5713552733711094e+00
317 3.0252848401174370e+00 6.0931478036889954e+00
318 3.0960970328615769e+00 5.6104590919233956e+00
319 3.1114347569723795e+00 5.6076502156140613e+00
320 3.0885486279282151e+00 5.6117309935234525e+00
321 2.9644673853614667e+00 6.0974063778982082e+00
322 2.8366807358202148e+00 6.1070826031620964e+00
323 2.7259103499012061e+00 6.1242712250737039e+00
324 2.5423893823965886e+00 6.1688312622814614e+00
325 2.6134777139377157e+00 6.1483169481146591e+00
326 2.5182247987997242e+00 6.1710368630086014e+00
327 2.3238176579756145e+00 6.2129203939146915e+00
328 2.3445009499402398e+00 6.2086299362155568e+00
329 2.3100626331406566e+00 6.2150828647098129e+00
330 2.0958207988721345e+00 6.2395874572060643e+00
331 2.1239176257153334e+00 6.2365606383110226e+00
332 2.0772522977764938e+00 6.2401656925973059e+00
333 1.9455405244962087e+00 6.2392019283019593e+00
334 1.8502437588122982e+00 6.2369951666998249e+00
335 1.7928911526676390e+00 6.2476828870622887e+00
336 1.7446464872953746e+00 6.2537350072332876e+00
337 1.6253716932988296e+00 6.2669260258582584e+00
338 1.4125635130105947e+00 6.3230519043449060e+00
339 5.1976285188489442e+00 5.3586146431698518e+00
340 5.0394963363581926e+00 5.3098540611913823e+00
341 5.0498311201404906e+00 5.3109217130691242e+00
342 5.0297425003187177e+00 5.3084533411782990e+00
343 4.8042791978212600e+00 5.3180583156220411e+00
344 4.8517343252505647e+00 5.3123368222402902e+00
345 4.7748956945667222e+00 5.3174849975385836e+00
346 4.5747657110637343e+00 5.3439853659311645e+00
