# row axial thickness
1 -6.7381228228877825e+00 6.5887299658922833e+00
2 -6.1565295778472953e+00 6.6113219349839163e+00
3 -6.2297514900651700e+00 6.6066031865836576e+00
4 -6.3231443385914785e+00 6.5962486751525233e+00
5 -6.5325973115336051e+00 6.5757837088180242e+00
6 -6.5044002181555642e+00 6.5798533192777766e+00
7 -6.5456323867615511e+00 6.5810314183547876e+00
8 -6.7406064322239345e+00 6.6386161911614687e+00
9 -6.7873854582186084e+00 6.7886893544625639e+00
10 -6.7485865660105100e+00 6.8360848067744637e+00
11 -5.4470926624537856e+00 6.5991474475383587e+00
12 -5.5090652580198718e+00 6.5990514320566271e+00
13 -5.6382800079781816e+00 6.6002262748719387e+00
14 -5.7785794107553539e+00 6.6035946840810338e+00
15 -5.8325480688322173e+00 6.6056268075561908e+00
16 -6.0365589594117619e+00 6.6145217569874841e+00
17 -6.0295775218046641e+00 6.6141926117477032e+00
18 -6.2808273265992556e+00 6.6023601184967191e+00
19 -6.4433529593105678e+00 7.0443710087731528e+00
20 -6.6158474527993132e+00 6.9370423537001491e+00
21 -6.5710471191311077e+00 6.9761480901835649e+00
22 -6.7257451308308047e+00 6.8616174506415586e+00
23 -4.7624281911736794e+00 6.5992763120094837e+00
24 -4.7541262912806230e+00 6.5992709577007442e+00
25 -4.7675270907234300e+00 6.5995544289579833e+00
26 -5.0022109160499184e+00 6.6010706017850644e+00
27 -4.9473762902166465e+00 6.6019039076942914e+00
28 -5.0409344016113202e+00 6.6021406794206117e+00
29 -5.1376116631714082e+00 6.6019648690461432e+00
30 -5.3144773881002818e+00 6.6013717109993193e+00
31 -5.3280352640738737e+00 6.6013617521478638e+00
32 -5.5602436134733226e+00 6.6013293407117848e+00
33 -5.7991308347607777e+00 6.6049229171295343e+00
34 -6.0884588852987136e+00 7.2104401780047285e+00
35 -6.0958096942633873e+00 7.2075406188126960e+00
36 -6.2360601299219249e+00 7.1537648030863688e+00
37 -6.3719248653227076e+00 7.0928460696658968e+00
38 -4.0524067403925672e+00 6.5766136711111489e+00
39 -4.0384669164552074e+00 6.5759333362682471e+00
40 -4.0618760656037303e+00 6.5769502263960193e+00
41 -4.2890300596782955e+00 6.5849648163816443e+00
42 -4.2361865843836730e+00 6.5834435241838341e+00
43 -4.3228912601937033e+00 6.5872218683491841e+00
44 -4.5250847013526618e+00 6.5927019383504035e+00
45 -4.4360165667264724e+00 6.5917982175868914e+00
46 -4.5802542796476340e+00 6.5972162838173265e+00
47 -4.6321694966450258e+00 6.5987902463923183e+00
48 -5.7235866955419104e+00 7.3278464401089680e+00
49 -5.7084034810735798e+00 7.3324263403221996e+00
50 -5.7331869952390671e+00 7.3249524893154687e+00
51 -5.8609490474543779e+00 7.2868495151530714e+00
52 -6.0121914054537413e+00 7.2429361310924651e+00
53 -6.0927501529541059e+00 7.2091846917435403e+00
54 -3.3057374705236273e+00 6.5356450541168822e+00
55 -3.3747741489053853e+00 6.5402506946471908e+00
56 -3.5096086385881620e+00 6.5483987249943327e+00
57 -3.6276423979206260e+00 6.5552810932227858e+00
58 -3.8180342367355165e+00 6.5649773359705748e+00
59 -3.7115985522793231e+00 6.5598634939389457e+00
60 -3.8826292575404580e+00 6.5683849210338110e+00
61 -5.1210984099046630e+00 7.4330560146897513e+00
62 -5.2840356907334005e+00 7.4175700167500231e+00
63 -5.4179753753501387e+00 7.4058323939454374e+00
64 -5.4826539314516154e+00 7.3946007576230111e+00
65 -5.6310442042917712e+00 7.3632874496573724e+00
66 -5.8190710829113765e+00 7.3020962380800505e+00
67 -2.3579368897262394e+00 6.4673165972309343e+00
68 -2.4534189877419927e+00 6.4747559095511855e+00
69 -2.5629808035137307e+00 6.4819669869250074e+00
70 -2.7084378070876549e+00 6.4910928846523070e+00
71 -2.7641231562153212e+00 6.4949904390279363e+00
72 -2.9538703650525182e+00 6.5095479616142855e+00
73 -2.9717396813333332e+00 6.5109607435074777e+00
74 -3.1926743422400370e+00 6.5274731488651865e+00
75 -4.6328736350141106e+00 7.4323818352073321e+00
76 -4.6099619058909287e+00 7.4338713872020730e+00
77 -4.6492901116422924e+00 7.4340503411870493e+00
78 -4.8098689852660170e+00 7.4424280528298556e+00
79 -4.8632842398256111e+00 7.4429244028447039e+00
80 -4.8836591736920871e+00 7.4446160996514061e+00
81 -5.0109206207267922e+00 7.4428514112705075e+00
