# x_over_c y_over_c
2.2100530398804999e-01 2.2641944054725395e-04
2.4012925716707706e-01 5.9220745054257371e-04
2.4774793481693363e-01 1.2598087387586106e-03
2.6032743388032059e-01 1.0645847397670874e-03
2.7916794306097742e-01 1.2149860437965525e-03
2.9299571431977328e-01 1.9663363979920130e-03
3.0578054005400679e-01 2.1696011600130885e-03
3.2590456524668726e-01 2.2885600652987584e-03
3.3848490837074358e-01 2.1305984337608606e-03
3.5105868807736357e-01 1.8613077258086089e-03
3.7123955335671777e-01 2.2849149455383389e-03
3.8349083911168791e-01 1.9239928863796683e-03
4.0293532643177837e-01 1.5931168254725719e-03
4.0894997955183576e-01 1.2004248515495317e-03
4.3557971410573537e-01 1.0123978374780409e-03
4.4165166925374777e-01 8.0648412875839240e-04
4.6679733387391331e-01 8.3123574770372529e-05
4.7433704114530589e-01 3.0508884180542850e-04
4.9946631568456995e-01 -4.7018856335330749e-04
5.1204143218358178e-01 -8.3216271575839071e-04
5.3125950341173911e-01 -1.1421623256729935e-03
5.4408953544673455e-01 -1.6462810688703414e-03
5.5888702437258253e-01 -2.2264704602133305e-03
5.6988202064154936e-01 -2.1122374463163050e-03
5.9321508069746842e-01 -3.1481163773907582e-03
5.9493232146302244e-01 -3.4301564198775053e-03
6.1509518619332360e-01 -3.3033521687966046e-03
6.2762123585587837e-01 -4.2312082950104676e-03
6.5274454113583746e-01 -5.1798173374982496e-03
6.6527138686317311e-01 -6.0036606045033129e-03
6.7782058707660575e-01 -6.5519803066018687e-03
6.9047916873043824e-01 -6.9910293568990244e-03
7.0914971304517049e-01 -8.3029363433221315e-03
7.2682070051929371e-01 -9.1778812057399985e-03
7.4076195034034997e-01 -1.0055021194657990e-02
7.5360633131570376e-01 -1.0773361873202785e-02
7.6594283734248580e-01 -1.2023121958100375e-02
7.7851199769899526e-01 -1.3031640284885293e-02
7.9054632702760763e-01 -1.4383793100876303e-02
8.0307984093399709e-01 -1.5148139387370778e-02
8.1560975193205265e-01 -1.5823676377291901e-02
8.2892550463810877e-01 -1.5838523970516938e-02
8.4162161259842716e-01 -1.6613722505151633e-02
8.4944757903330381e-01 -1.7025833073310629e-02
8.6167235459488933e-01 -1.7529793087941000e-02
8.7328722035514439e-01 -1.7774003103892346e-02
8.7982794058024039e-01 -1.7760339566655330e-02
8.8586915678931533e-01 -1.7810483233550785e-02
8.9848517138856854e-01 -1.7642014058265199e-02
9.0604270927160813e-01 -1.7052535547554672e-02
9.1869787154824323e-01 -1.6326741455573772e-02
9.2498696835701544e-01 -1.6032066191884558e-02
9.3168531615230243e-01 -1.5597585778128160e-02
9.3877783833689099e-01 -1.4734312572931313e-02
9.4637592598642228e-01 -1.3524704236686882e-02
9.6659144869212499e-01 -8.9565729301059622e-03
9.7410081861185283e-01 -7.2837905218489599e-03
9.8132853934682585e-01 -5.5564845897771806e-03
9.9018604924843689e-01 -3.5344277770932653e-03
9.9669894004274340e-01 -1.2893016883869747e-03
9.9999999999999989e-01 -1.7347234759768071e-18
