# x_over_c y_over_c
1.0000000000000000e+00 3.0791341698588326e-17
9.9407749446542837e-01 7.6669108723646795e-03
9.8142955054181891e-01 1.2922171111040990e-02
9.7079776221708802e-01 1.5865206532587502e-02
9.5547253354050055e-01 1.8266509391236013e-02
9.4096423899861414e-01 2.0189946880495267e-02
9.3069964618583678e-01 2.1789051057473752e-02
9.2817577852417221e-01 2.1844503847707180e-02
9.1466630728797249e-01 2.4238815805791795e-02
8.9775390998993287e-01 2.7253312502946742e-02
8.8749236569392331e-01 2.8691431663495789e-02
8.7508741110620325e-01 3.0943643019360634e-02
8.6488279069525831e-01 3.3312812369089090e-02
8.5986703383241458e-01 3.3272735561043779e-02
8.4776371754904167e-01 3.5701886717872375e-02
8.3446336879030225e-01 3.7675910727689145e-02
8.2284740351338814e-01 3.9433450099013202e-02
8.0777449877698293e-01 4.1166204659970125e-02
7.9411193182950379e-01 4.3102487665125512e-02
7.9283151928553930e-01 4.3278052718664112e-02
7.6809229488050412e-01 4.6296446959992764e-02
7.5498412527469716e-01 4.7322625338828521e-02
7.4575607449417181e-01 4.8137063321811169e-02
7.2709823110782168e-01 5.0970593454995189e-02
7.1311699650244376e-01 5.2902153542646289e-02
6.9907418957860312e-01 5.4151981961355872e-02
6.8593213380435081e-01 5.4934332336171350e-02
6.7023703449037353e-01 5.5824329082221853e-02
6.5481618041844636e-01 5.7584980709395717e-02
6.4339535239812384e-01 5.8408185876358688e-02
6.2922005757348631e-01 6.0316157813919954e-02
6.1273776709200478e-01 5.9976031588733054e-02
5.9699062029575911e-01 6.0680546313299256e-02
5.7898498681975685e-01 6.2560232048245235e-02
5.6952836821201713e-01 6.3517899555173243e-02
5.5072024132712527e-01 6.4387793074126287e-02
5.3572680627760572e-01 6.4809038171878511e-02
5.1935606264475875e-01 6.5639520898554113e-02
5.0053641118910142e-01 6.7304136319066551e-02
4.8476501799573340e-01 6.8485380238535953e-02
4.7251672616636026e-01 6.8993790837716285e-02
4.5514619396501249e-01 6.8924095097200114e-02
4.4065824557180439e-01 7.0044096890749599e-02
4.2611992132956361e-01 7.2150629117311571e-02
4.0644155991935965e-01 7.2576759300261709e-02
3.9929220277749028e-01 7.1835508243476578e-02
3.8311109085873468e-01 7.1879300545275776e-02
3.6645086851584968e-01 7.3028500544618083e-02
3.5285582074287941e-01 7.3138972152218026e-02
3.3566548493465032e-01 7.2945676070701529e-02
3.2513319396398654e-01 7.3566001306260564e-02
3.0965035736061364e-01 7.3207400258190447e-02
2.9654020307181289e-01 7.2099620209643597e-02
2.7764365031687793e-01 7.2324960211917227e-02
2.6202542087974517e-01 7.3008408952251275e-02
2.4615201590237648e-01 7.3096923598573962e-02
2.3918624680795722e-01 7.2890811792101814e-02
2.2423535310419848e-01 7.2289713484288198e-02
2.1588502294696071e-01 7.1634711997536293e-02
2.0313879248444255e-01 6.9557728910142599e-02
1.8911083653739438e-01 6.7896446094547938e-02
1.7584514658033185e-01 6.6495872770497927e-02
1.6622339885002030e-01 6.5547620049061256e-02
1.5484405709589991e-01 6.3248908210840449e-02
1.4198730409977831e-01 6.1416284384070145e-02
1.3117684156753351e-01 6.0524241408442661e-02
1.1552436453443117e-01 5.8690983661391652e-02
1.1366700940124259e-01 5.8450387675953612e-02
1.0160559079845935e-01 5.6429426675614326e-02
9.3478821111968785e-02 5.4465891394914499e-02
8.2527910870169446e-02 5.1500445200067253e-02
7.1335524196266764e-02 4.7511831301916350e-02
6.5471123238007703e-02 4.5304466648211188e-02
5.7361972979587804e-02 4.2037663414104198e-02
4.4361370250692797e-02 3.6446400277767729e-02
3.9396669135954888e-02 3.3381640040441203e-02
3.2888262494988087e-02 2.9306425311816979e-02
2.1925288710274098e-02 2.2395575534006024e-02
1.7057692384282640e-02 1.8729051387328697e-02
8.7725656698937303e-03 1.2752162699337157e-02
1.2196451640112099e-03 5.9944021323072106e-03
0.0000000000000000e+00 0.0000000000000000e+00
0.0000000000000000e+00 0.0000000000000000e+00
2.1754876196952333e-03 -8.5794553621800843e-03
9.4043512340263660e-03 -1.6126979178071803e-02
1.3084580823998887e-02 -1.5669763856510019e-02
1.8819237009160727e-02 -1.4689864078867472e-02
2.8357729597073299e-02 -1.0671182712138669e-02
3.1653110810308083e-02 -9.2439760690193745e-03
3.9977395851057758e-02 -7.6467290320810033e-03
4.7781306902268755e-02 -6.3590190050701618e-03
6.2252778144923700e-02 -4.9106960334700765e-03
7.5352672810029567e-02 -3.2450964670833475e-03
8.1099788943557766e-02 -2.2919722932144026e-03
8.8469181887173620e-02 -1.3836118629499453e-03
9.6601222128249759e-02 -3.3893200148277030e-05
1.0950247041965507e-01 1.9805513968498734e-03
1.1794211722058466e-01 3.3412540562980995e-03
1.3548859867645721e-01 5.9076044081147906e-03
1.3641246341378727e-01 6.0550078701937611e-03
1.5013290555601039e-01 7.8846859007785982e-03
1.6839654070948101e-01 9.8720549322611831e-03
1.7080919866800637e-01 1.0112518514022364e-02
1.8458096843235094e-01 1.1485216297745859e-02
1.9911325256816451e-01 1.3011440277148671e-02
2.0692049079269212e-01 1.3755925924970921e-02
2.2059282645928294e-01 1.5154820000960518e-02
2.3409998521324152e-01 1.6688094934066509e-02
2.4759553259431250e-01 1.7787734288112859e-02
2.6518239485877049e-01 1.9169488424522495e-02
2.8247843362185410e-01 2.0327405045844130e-02
2.9414561130633837e-01 2.0964527738546186e-02
3.0907993817773649e-01 2.1742461408559344e-02
3.2367573379806480e-01 2.2419431265138675e-02
3.3845840944267264e-01 2.3021989306876562e-02
3.5311531221684161e-01 2.3603024542652951e-02
3.7488044767983159e-01 2.3950443881858591e-02
3.9049987628554389e-01 2.3390951472386557e-02
4.0100247555743307e-01 2.3204736748579209e-02
4.2045901987831269e-01 2.2985784958292583e-02
4.2581883799494563e-01 2.2919292407127957e-02
4.4810765665212310e-01 2.3379910564017253e-02
4.6441646182411173e-01 2.3566732619129126e-02
4.8063056882977689e-01 2.3597528014616811e-02
4.9227355207883916e-01 2.3767261419746277e-02
5.0602499994109840e-01 2.3612791789082641e-02
5.2386847903545530e-01 2.3871583954191290e-02
5.3903951047101273e-01 2.3649291833996028e-02
5.5477180137559623e-01 2.3739938658303292e-02
5.7590801945847891e-01 2.3920832697585419e-02
5.8309838217993359e-01 2.3557888033525844e-02
5.9790227332563894e-01 2.2956652157144677e-02
6.1581007927950426e-01 2.3111345288018222e-02
6.2925633664310998e-01 2.2225505076771682e-02
6.4425327535829835e-01 2.1875722462030525e-02
6.6595597523563477e-01 2.1815786455417090e-02
6.7205911175426669e-01 2.1369983465681509e-02
6.8767559730326100e-01 2.0715779347847831e-02
7.1025944727986812e-01 1.9440024733448236e-02
7.1313310681364384e-01 1.9160712264317228e-02
7.2847166189800017e-01 1.8215328192074942e-02
7.4428968241997540e-01 1.7681913347949225e-02
7.5999578185400263e-01 1.6445381379224258e-02
7.7604937255320394e-01 1.5428555376761618e-02
7.8747974841019497e-01 1.3725336069643407e-02
