step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
52,0.016049382716049384,41608,38.27080710009615,0.001742975118061946,0.7343023386857785,62.99606974169242,21.83313798904419,0.03484783635216064
53,0.016358024691358025,42636,33.77825581487549,0.001688566504468572,0.71138039803829,65.66356246463008,19.265356063842773,0.03842911327905327
54,0.016666666666666666,43686,36.36013130694978,0.0016421555527723396,0.691827812336969,67.63770469345911,23.212726831436157,0.0349793065910418
55,0.016975308641975308,44719,35.403848075931585,0.0016097426775968009,0.6781725112381255,73.21654511265363,29.833264112472534,0.03763275668128959
56,0.01728395061728395,45760,39.49027607486132,0.0015884202294783782,0.6691895238405352,80.81527769567137,28.23936891555786,0.03891897987551939
57,0.017592592592592594,46807,38.93405069406659,0.0015656998180006358,0.6596175849693937,87.5204041126874,27.68895196914673,0.03980253385214308
58,0.017901234567901235,47855,34.48151605565959,0.0015455800760795228,0.6511412886681275,93.73333205757798,29.459084033966064,0.03910434905935122
59,0.018209876543209876,48905,36.50411710413527,0.0015310587361377249,0.645023557112688,99.44014104419003,27.111915111541748,0.04511276201422285
60,0.018518518518518517,49954,37.237389174504585,0.0015348039973601384,0.6466014075628226,103.7063194667662,25.78718590736389,0.0489889795711702
61,0.018827160493827162,50999,39.383873367636866,0.0015470361659151435,0.6517547283899875,104.73506928037848,27.854583024978638,0.04660139278493434
62,0.019135802469135803,52040,36.855080283296466,0.0015426141204620827,0.649891753821786,106.25720564488044,28.72975492477417,0.0472503192279967
63,0.019444444444444445,53095,37.71188294086533,0.0015269604717065197,0.6432969890594774,103.59887756801102,30.30003309249878,0.04404510869420137
64,0.019753086419753086,54153,35.8863876305673,0.0015114226351163737,0.6367510150934531,100.03076760892772,29.058403968811035,0.042144786772324555
65,0.020061728395061727,55202,34.627632058126586,0.0014963754866108663,0.6304117643355696,104.07809585945621,32.18273210525513,0.03957536002940333
66,0.020370370370370372,56252,34.4964831522371,0.0014824004130500742,0.6245241707074942,106.85523844723011,33.40125298500061,0.04008608232457149
67,0.020679012345679013,57303,34.228750489257735,0.0014524905796556148,0.6119233823292444,109.46714383985643,34.68552494049072,0.043061628679628525
68,0.020987654320987655,58347,34.17100870061956,0.0014184939570425503,0.5976008603187473,117.70282394123664,34.15664005279541,0.04444106803624883
69,0.021296296296296296,59393,33.83123478872751,0.0013858412888533408,0.5838445362225503,126.79753699176155,32.31058597564697,0.0470083652928968
70,0.021604938271604937,60439,32.72635657202561,0.0013599040055690531,0.5729173533973673,134.7714100538098,27.47688603401184,0.046786578657016444
71,0.021913580246913582,61483,31.230641234385665,0.0013396181210776391,0.5643710624778973,142.57775770455032,27.023682832717896,0.04068017542377619
72,0.022222222222222223,62508,30.835115981800136,0.0013242044201498024,0.557877385934942,147.19747140468172,37.92924213409424,0.06141955609787949
73,0.022530864197530864,63490,32.08785763559421,0.0013129635226336732,0.5531416801583736,148.00874396220937,39.36147093772888,0.0565711915314122
74,0.022839506172839506,64496,30.57747974511373,0.0013049849662093611,0.5497803742045495,147.44274666051066,37.27956008911133,0.05548696954637708
75,0.023148148148148147,65448,27.98840609679492,0.0012903827932745626,0.5436285883156958,146.87878515849118,29.55289101600647,0.06374515646083288
76,0.02345679012345679,66425,27.749542373586692,0.0012786773306988396,0.5386971647654217,150.7521696363984,35.85095286369324,0.0664033487823689
