tag,last_step,n_health_rows,max_particles,terminal_particles_monitor,terminal_particles_vtp,negative_sigma_rows,min_sigma_ratio,min_p1_sigma_ratio,max_u,max_gamma_over_sigma2,max_dtZ,first_max_u_gt_1000_step,first_sustained_max_dtZ_gt_0p2_step,terminal_vtp_step,terminal_min_sigma_ratio,terminal_p1_sigma_ratio,terminal_median_sigma_ratio
scr_p020r_geom_s020v,184,185,175209,175209,175209,0,0.2779931872174284,0.7969100259693647,40.54822981031246,833.3189930936743,0.1627096105400817,,,184,0.27799878347142354,0.7969232030157546,1.0300780175058744
scr_p020r_geom_s020v,198,199,189645,189645,189645,0,0.22220525765141735,0.7837478330928745,41.83778755066011,1225.7091999579875,0.1627096105400817,,,198,0.22220973084399204,0.7837317817475492,1.031938299307291
scr_p020r_geom_s020v,200,201,191696,191696,191696,0,0.2211677331020147,0.7807214470117058,41.83778755066011,1356.7326580375154,0.1627096105400817,,,200,0.2231949792281608,0.7807020451140467,1.0320563274986658
scr_p020r_geom_s020v,216,217,208030,208030,207006,0,0.2211677331020147,0.7472090273982899,41.83778755066011,2229.286159831114,0.1627096105400817,,,215,0.22333463007949655,0.749359386698833,1.0343954061957832
scr_p020r_geom_s020v,237,238,229781,229781,229781,0,0.19290015182216694,0.6864034953663648,47.747887418607604,2343.022154125702,0.2353242783573902,,,237,0.19290403507648732,0.6863407762135296,1.037349668859056
scr_p020r_geom_s020v,243,244,235922,235922,235922,0,0.01371652644216186,0.6656151293790874,19554.34476900859,4604705402.365786,221.77295802370023,243,,243,0.013716802568230525,0.6656097003950605,1.0372234943181797
