step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ,p1_sigma_ratio,argmin_x,argmin_y,argmin_z
0,0.0,0,0.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.00030864197530864197,0,0.0,NaN,NaN,0.0,21.908879041671753,NaN,NaN,NaN,NaN,NaN
2,0.0006172839506172839,430,2.762584800520345,0.002373647782712288,1.0,5.970486248868928,14.664294004440308,0.0005001659280667478,1.0,-0.00544453170978868,-0.11901017151589782,-0.0045730848228628515
3,0.000925925925925926,866,3.1772941403754413,0.002373647782712288,1.0,6.529471700498725,14.69965410232544,0.0020251477529913656,1.0,-0.005457523555410843,-0.11903791517517892,0.0037664234121425094
4,0.0012345679012345679,1300,3.77663279634927,0.002371530614323538,0.9991080528441625,9.850475389837264,11.443777799606323,0.002966350255644276,1.0,-0.00018015004820843623,0.010607676768030193,0.018190051695556354
5,0.0015432098765432098,1740,4.45724864647856,0.0023666582308581167,0.997055354250501,12.421507122488391,11.018969058990479,0.003980237396228636,0.9999636883430035,0.0004494220742463996,0.013540212297589078,0.019899635148225462
6,0.001851851851851852,2190,5.175906462925456,0.0023612438238947726,0.9947743052242815,14.562246423493791,11.310962915420532,0.0051004707699614975,0.9992291584797481,0.0005729367104270822,0.01352790445731323,0.019917144123606987
7,0.0021604938271604936,2654,5.896431824144956,0.002356006434309864,0.9925678322913326,16.605827012066527,12.691211223602295,0.006483430013168923,0.997326306519288,0.0007061584753241164,0.013410131120363189,0.019921077214621656
8,0.0024691358024691358,3126,6.562520319989371,0.002347872145774949,0.9891409175678599,18.67042304478164,13.248891830444336,0.008140650234335437,0.9961655836503162,0.0013691140714123058,0.016945675184067893,0.016752888748730564
9,0.002777777777777778,3618,7.261955417570803,0.002331466906936105,0.9822295135430816,18.88467068078165,14.554273128509521,0.00959306828461852,0.9939589283363665,0.0014011447381282597,0.016682534836826166,0.016828770785656217
10,0.0030864197530864196,4126,7.800174680709441,0.0023194764099692127,0.9771780071425864,18.61715860961414,18.067709922790527,0.011079809707342786,0.9919811542688985,0.0013290581601916969,0.017752301155427693,0.015834339063029272
11,0.0033950617283950617,4650,8.229560257746796,0.002307675033625514,0.972206175841561,18.089377398268404,12.397166013717651,0.012139838656261805,0.9883425799617503,0.0012067527254268694,0.018785868547846737,0.014738493480511441
12,0.003703703703703704,5194,8.607485248250876,0.0022964292156638783,0.9674683971182216,18.117691030882522,13.90055799484253,0.012799432242765686,0.9850758978445063,0.001079361409242046,-0.019765138065172883,-0.01348488748165447
13,0.004012345679012346,5758,8.948785341882537,0.002287233877820597,0.963594470282803,19.68794461599054,12.342246055603027,0.016881722765872253,0.9837365580968501,0.0009963782604827344,-0.020800914263170073,-0.01190060641269364
14,0.004320987654320987,6344,9.24646911635781,0.0022822656868649676,0.9615014087124159,21.391741394723574,12.495301008224487,0.013641880372532106,0.9833616648983328,0.0009284003229446788,-0.021619938605134722,-0.010271277996862676
15,0.004629629629629629,6952,9.546373898470168,0.0022798978768374042,0.9605038681148561,23.243518582301412,14.45047903060913,0.013846864851803385,0.9812871406164663,0.000877751127475061,-0.022332488720012977,-0.008482934493306567
16,0.0049382716049382715,7582,9.850314460834737,0.0022792851913287925,0.9602457483074128,25.269642856780404,16.469069004058838,0.014061095679684197,0.9805340475884259,0.0008470473747376995,-0.022916541605888754,-0.006553409702615535
17,0.005246913580246914,8238,10.162455779404944,0.002279667325657589,0.9604067386327592,27.469098416762606,14.223516941070557,0.014386360345384925,0.9795224560622153,0.000830951620166452,-0.023339110902002635,-0.004493610989848613
18,0.005555555555555556,8924,10.655612379109668,0.0022810841500552994,0.961003636120259,28.263803600108382,16.807373046875,0.014791747128554038,0.9789514972920641,0.0008168426244011466,-0.02358274877435322,-0.0023172961696647535
19,0.005864197530864198,9632,13.653074625366822,0.002283204877827379,0.961897082817585,27.77161355275662,15.543205976486206,0.015182646540208752,0.9793330240650162,0.0007978981685856897,-0.02362341576776971,-3.9405421761411446e-5
20,0.006172839506172839,10366,15.007465155242198,0.0022859288931802112,0.9630446900458653,27.061571194305,13.228904008865356,0.015586869775805999,0.9796432590859857,0.0007699998564415977,0.023434777763957783,-0.0023217325722351746
21,0.006481481481481481,11122,11.680023562130051,0.002289164107823234,0.9644076616992782,28.39668782972572,13.916900873184204,0.016394143664729893,0.9787445751509143,0.0007340115279686779,0.022989808208940966,-0.00474028968184711
22,0.006790123456790123,11898,11.982454464626299,0.0022731321653754995,0.9576535246430147,30.57985724936643,14.498991012573242,0.016746880838250183,0.9792808338985369,-0.013491426138667944,-0.022085484340148433,-0.0030481454731326177
23,0.0070987654320987656,12692,12.260859785481754,0.002253503061314388,0.9493839303906265,32.834370633596045,14.380434036254883,0.01701818391473575,0.9802970140152568,-0.014650202105289192,0.0228338955595065,0.003090254618768146
24,0.007407407407407408,13516,12.513588382388928,0.0022382251334004196,0.9429474539996302,35.12524472067569,20.015284061431885,0.01719589367675977,0.9808772964410671,-0.015654098883595962,0.023412132261246523,0.003434130065589566
