n_rfl,n_span,panels,shedding,kerneloffset,offset_over_hmin,source_half,CL,CD,CL_error_pct,lift_positive,lift_negative,elapsed
8,24,4608,48,1.0e-10,1.1547846454908889e-8,positive,0.21423483305100965,-0.00032679648565091734,-9.985364264281653,73.17424876815511,73.17424876817672,8.246397125
16,24,9216,48,1.0e-10,1.6331272250658188e-8,positive,0.23035286683210857,0.0002475935903244056,-3.2130811629795897,78.67953937267376,78.6795393726533,11.766293125
24,24,13824,48,1.0e-10,2.0001837603098616e-8,positive,0.23586719967081887,0.0005392453626374727,-0.8961345920929064,80.56302002414449,80.56302002419508,40.302277709
32,24,18432,48,1.0e-10,2.309636185814993e-8,positive,0.2384126328066847,0.0006732182101911346,0.173375128859124,81.43244053284691,81.43244053265099,56.238747791
40,24,23040,48,1.0e-10,2.5822775200029137e-8,positive,0.2397277893774431,0.000731566425038684,0.7259619232954252,81.8816466336441,81.88164663408284,92.530803917
48,24,27648,48,1.0e-10,2.8287715799036937e-8,positive,0.24042084698984206,0.000748764697002967,1.0171626007739807,82.11836803618681,82.11836803650431,131.206438208
56,24,32256,48,1.0e-10,3.0554530970231276e-8,positive,0.24075533475048455,0.0007410127416511885,1.1577036766741855,82.23261598717133,82.23261598656995,192.44976125
8,24,4608,48,1.0e-10,1.154784645490889e-8,negative,0.2784795132714873,0.0073126494145090044,17.008198853566093,95.11772147768866,95.11772147769342,2.627162583
16,24,9216,48,1.0e-10,1.633127225065821e-8,negative,0.26719412674967147,0.005982319788509527,12.266439810786336,91.26307436438182,91.26307436436406,10.481774541
24,24,13824,48,1.0e-10,2.0001837603098672e-8,negative,0.26315836385011765,0.005717822331226916,10.570741113494815,89.88461543599684,89.88461543606257,26.057657584
32,24,18432,48,1.0e-10,2.3096361858149904e-8,negative,0.2615371638331386,0.005712310542050004,9.889564635772514,89.33087685079437,89.33087685094759,50.259840625
40,24,23040,48,1.0e-10,2.5822775200029236e-8,negative,0.260925846911823,0.005794294915006614,9.632708786480265,89.1220748748929,89.1220748747795,83.610747084
48,24,27648,48,1.0e-10,2.8287715799036937e-8,negative,0.2608180267010966,0.005911087439664206,9.587406176931353,89.08524770300953,89.08524770381332,130.32909025
56,24,32256,48,1.0e-10,3.0554530970223216e-8,negative,0.26099475092342733,0.006042848094487576,9.66166005186023,89.14560979247779,89.14560979373292,190.423501125
