solver,nps,AOA,CL,CD,t_build,t_solve,total_time
KrylovSolver,2572,-5.988657844990541,-0.058444663630488405,0.018472567997555575,0.00033109999999999943,1301.0650839000014,1301.0654150000014
KrylovSolver,2572,-4.136105860113403,0.085923563951783,0.010477494555892586,0.0003231999999999993,1211.0180940999992,1211.018417299999
KrylovSolver,2572,5.02079395085066,0.852606484589455,0.04820064083657313,0.0003483000000000002,1256.6264173999994,1256.6267656999994
KrylovSolver,2572,6.926275992438619,0.98892504269732,0.06799751902897154,0.00018539999999999974,504.90210840000003,504.90229380000005
KrylovCoupled,2572,-5.988657844990541,-0.052998101182779006,0.018391669855932165,5.0e-7,54.3871362,54.3871367
KrylovCoupled,2572,-4.136105860113403,0.0914656710443878,0.009863655150863616,7.0e-7,53.7528472,53.7528479
KrylovCoupled,2572,5.02079395085066,0.8568439072118877,0.04741621899670153,4.0e-7,52.9956899,52.9956903
KrylovCoupled,2572,6.926275992438619,0.9929514692720247,0.06660760739638757,4.0e-7,53.2143756,53.214375999999994
KrylovSolver,2572,-5.988657844990541,-0.05844466360487528,0.018472567998870308,0.0001482999999999997,370.7833672999998,370.78351559999976
KrylovSolver,2572,-4.136105860113403,0.08592356393408764,0.010477494559984344,0.00012390000000000006,347.4336397999998,347.4337636999998
KrylovSolver,2572,5.02079395085066,0.8526064842181639,0.048200640837436665,0.0001282,399.33945910000017,399.3395873000002
KrylovSolver,2572,6.926275992438619,0.9889250422816284,0.06799751902710056,0.00012580000000000005,409.99617400000005,409.99629980000003
KrylovCoupled,2572,-5.988657844990541,-0.052998101182779006,0.018391669855932165,6.0e-7,53.1841453,53.1841459
KrylovCoupled,2572,-4.136105860113403,0.0914656710443878,0.009863655150863616,9.0e-7,52.88058,52.880580900000005
KrylovCoupled,2572,5.02079395085066,0.8568439072118877,0.04741621899670153,4.0e-7,52.1580442,52.1580446
KrylovCoupled,2572,6.926275992438619,0.9929514692720247,0.06660760739638757,4.0e-7,51.9546959,51.954696299999995
KrylovSolver,2572,-5.988657844990541,-0.05844466360487528,0.018472567998870308,0.0001625999999999998,515.9853353000004,515.9854979000004
KrylovSolver,2572,-4.136105860113403,0.08592356393408764,0.010477494559984344,0.0001507999999999998,475.5166085999999,475.5167593999999
KrylovSolver,2572,5.02079395085066,0.8526064842181639,0.048200640837436665,0.00014599999999999986,544.0900843000003,544.0902303000003
KrylovSolver,2572,6.926275992438619,0.9889250422816284,0.06799751902710056,0.00014479999999999991,550.8893562000003,550.8895010000003
KrylovCoupled,2572,-5.988657844990541,-0.052998101182779006,0.018391669855932165,8.0e-7,71.6866937,71.6866945
KrylovCoupled,2572,-4.136105860113403,0.0914656710443878,0.009863655150863616,6.0e-7,72.0888338,72.08883440000001
KrylovCoupled,2572,5.02079395085066,0.8568439072118877,0.04741621899670153,7.0e-7,70.5714628,70.57146350000001
KrylovCoupled,2572,6.926275992438619,0.9929514692720247,0.06660760739638757,6.0e-7,72.2585862,72.2585868
KrylovCoupled-Direct,5692,-5.988657844990541,-0.03979395935820056,0.010858906767956424,1.5e-6,164.482546,164.4825475
KrylovCoupled-Direct,5692,-4.136105860113403,0.12421152302092907,0.00932873912710041,1.4e-6,160.7734367,160.7734381
KrylovCoupled-Direct,5692,5.02079395085066,0.8581596082828825,0.030653124155693923,1.5e-6,163.7913067,163.7913082
KrylovCoupled-Direct,5692,6.926275992438619,0.7280432343312389,0.01619603006079497,1.3e-6,158.7567593,158.7567606
KrylovCoupled,25580,-5.988657844990541,-0.0003619161635888255,0.001933294180886309,6.0e-7,195.2445122,195.2445128
KrylovCoupled,25580,-4.136105860113403,0.004766387159253889,0.002345180850294478,5.0e-7,188.3212123,188.3212128
KrylovCoupled,25580,5.02079395085066,-0.1627729182837038,-0.030670162455919695,5.0e-7,188.7608934,188.76089389999999
KrylovCoupled,25580,6.926275992438619,-0.10174171388871903,-0.03304281155092406,4.0e-7,187.8265356,187.826536
KrylovCoupled-Direct,25580,-5.988657844990541,-0.00030680507700853367,0.001925066446514632,1.1e-6,1571.0604856,1571.0604867
KrylovCoupled-Direct,25580,-4.136105860113403,0.004759496939167446,0.002344755097575824,4.0e-7,1575.6200408,1575.6200412
KrylovCoupled-Direct,25580,5.02079395085066,-0.16276828717136113,-0.030671413344836543,5.0e-7,1579.9699126,1579.9699131
KrylovCoupled-Direct,25580,6.926275992438619,-0.10171048557334023,-0.03302794341840333,5.0e-7,1582.2364866,1582.2364871
