step,time,CL_b_panel,CL_c_particle,CL_a_semiinfinite
0,0.0,0.08049879768204102,0.08049879768204102,0.2938588737139286
1,0.0015142337976983646,0.13321329656488337,0.13321329656488337,0.2938588737139286
2,0.0030284675953967293,0.16785554748379705,0.16785554748379705,0.2938588737139286
3,0.0045427013930950935,0.19184408283116905,0.19184408283116905,0.2938588737139286
4,0.0060569351907934586,0.208978108494626,0.208978108494626,0.2938588737139286
5,0.007571168988491823,0.22147053819353055,0.22147053819353055,0.2938588737139286
6,0.009085402786190187,0.23071671206480335,0.23071671206480335,0.2938588737139286
7,0.010599636583888553,0.23764150848887028,0.23764150848887028,0.2938588737139286
8,0.012113870381586917,0.24287892941689848,0.24287892941689848,0.2938588737139286
9,0.013628104179285281,0.24687411177116686,0.24687411177116686,0.2938588737139286
10,0.015142337976983646,0.24994522594055268,0.24994522594055268,0.2938588737139286
11,0.01665657177468201,0.25232287510040025,0.25232287810173637,0.2938588737139286
12,0.018170805572380374,0.2541760841961502,0.2541553396751971,0.2938588737139286
13,0.01968503937007874,0.25562991151342374,0.2555602634162566,0.2938588737139286
14,0.021199273167777106,0.25677763519995817,0.2566398219039669,0.2938588737139286
15,0.02271350696547547,0.25768932829131547,0.2574756680977255,0.2938588737139286
16,0.024227740763173834,0.2584179724048694,0.2581300706654835,0.2938588737139286
17,0.0257419745608722,0.2590038656802614,0.25864957640688313,0.2938588737139286
18,0.027256208358570563,0.2594778303795001,0.25906862367849004,0.2938588737139286
19,0.02877044215626893,0.259863566400976,0.25941245099085364,0.2938588737139286
20,0.03028467595396729,0.2601793899115003,0.25969945469487526,0.2938588737139286
21,0.03179890975166566,0.2604395261627449,0.2599429630611302,0.2938588737139286
22,0.03331314354936402,0.260655076552708,0.26015261496244363,0.2938588737139286
23,0.034827377347062385,0.2608347451203419,0.2603353843674155,0.2938588737139286
24,0.03634161114476075,0.26098538821972356,0.26049638281963683,0.2938588737139286
25,0.03785584494245912,0.26111243177128096,0.26063939261859187,0.2938588737139286
26,0.03937007874015748,0.2612201888940223,0.2607672275492379,0.2938588737139286
27,0.04088431253785584,0.26131210541301614,0.2608820041619689,0.2938588737139286
28,0.04239854633555421,0.2613909417735269,0.26098535021375274,0.2938588737139286
29,0.043912780133252574,0.261458927788814,0.26107855710562455,0.2938588737139286
30,0.04542701393095094,0.2615178610366348,0.2611626851464065,0.2938588737139286
31,0.046941247728649306,0.26156921100965236,0.2612386425683063,0.2938588737139286
32,0.04845548152634767,0.2616141735250281,0.26130721580829314,0.2938588737139286
33,0.04996971532404603,0.2616537303447389,0.26136911805900237,0.2938588737139286
34,0.0514839491217444,0.26168868732884365,0.2614249866388936,0.2938588737139286
35,0.05299818291944276,0.26171971800132904,0.2614754083134854,0.2938588737139286
36,0.054512416717141125,0.261747378324519,0.26152092571301133,0.2938588737139286
37,0.05602665051483949,0.2617721327031556,0.26156200440187233,0.2938588737139286
38,0.05754088431253786,0.2617943675278791,0.2615991306901632,0.2938588737139286
39,0.05905511811023622,0.2618144153726851,0.2616326985536754,0.2938588737139286
40,0.06056935190793458,0.26183255360091895,0.2616630692203416,0.2938588737139286
41,0.06208358570563295,0.2618490169525986,0.2616905802245619,0.2938588737139286
42,0.06359781950333132,0.26186400429560736,0.26171553080672855,0.2938588737139286
43,0.06511205330102968,0.26187768967377306,0.26173819152607514,0.2938588737139286
44,0.06662628709872805,0.261890222259911,0.26175880159934156,0.2938588737139286
45,0.0681405208964264,0.26190172745161183,0.2617775763277127,0.2938588737139286
46,0.06965475469412477,0.26191231540450044,0.2617947051446973,0.2938588737139286
47,0.07116898849182314,0.2619220815239797,0.261810359320483,0.2938588737139286
48,0.0726832222895215,0.2619311138593442,0.261824688752361,0.2938588737139286
49,0.07419745608721987,0.26193948154433383,0.26183782706754355,0.2938588737139286
50,0.07571168988491823,0.2619472480957957,0.26184989210125903,0.2938588737139286
51,0.07722592368261659,0.26195447127602756,0.261860991008462,0.2938588737139286
52,0.07874015748031496,0.26196120213150575,0.26187121603059876,0.2938588737139286
53,0.08025439127801333,0.26196748589444524,0.26188065121571225,0.2938588737139286
54,0.08176862507571168,0.26197335708623537,0.2618893705236926,0.2938588737139286
55,0.08328285887341005,0.26197885397662024,0.26189744084958594,0.2938588737139286
56,0.08479709267110842,0.2619840127612485,0.2619049202183319,0.2938588737139286
57,0.08631132646880678,0.2619888518718447,0.26191186259463267,0.2938588737139286
58,0.08782556026650515,0.2619934018764304,0.2619183152437965,0.2938588737139286
59,0.08933979406420352,0.26199768822474645,0.2619243201511452,0.2938588737139286
60,0.09085402786190187,0.26200173022725537,0.261929915069741,0.2938588737139286
61,0.09236826165960024,0.2620055409649286,0.26193514579100313,0.2938588737139286
62,0.09388249545729861,0.2620091404733827,0.261940033379225,0.2938588737139286
63,0.09539672925499697,0.2620125494887571,0.26194460846022144,0.2938588737139286
64,0.09691096305269534,0.2620157809867995,0.2619488812212988,0.2938588737139286
65,0.0984251968503937,0.2620188361790871,0.26195289434265523,0.2938588737139286
66,0.09993943064809206,0.26202173881762186,0.26195666367221065,0.2938588737139286
67,0.10145366444579043,0.2620244962317837,0.2619602073539033,0.2938588737139286
68,0.1029678982434888,0.2620271213731148,0.2619635449123903,0.2938588737139286
69,0.10448213204118716,0.26202961227662985,0.26196669095728814,0.2938588737139286
70,0.10599636583888553,0.26203198458292665,0.2619696608044865,0.2938588737139286
71,0.1075105996365839,0.26203424991033064,0.26197246481507475,0.2938588737139286
72,0.10902483343428225,0.2620364116503222,0.26197511738644,0.2938588737139286
73,0.11053906723198062,0.26203847229845156,0.26197761805859676,0.2938588737139286
74,0.11205330102967898,0.262040439967242,0.2619799924118835,0.2938588737139286
75,0.11356753482737734,0.26204232064854116,0.26198224548962024,0.2938588737139286
76,0.11508176862507571,0.262044123352611,0.26198438560856374,0.2938588737139286
77,0.11659600242277407,0.2620458428928692,0.261986414379038,0.2938588737139286
78,0.11811023622047244,0.2620474908657982,0.2619883451506148,0.2938588737139286
79,0.11962447001817081,0.2620490751735509,0.2619901833508543,0.2938588737139286
80,0.12113870381586916,0.26205059281939236,0.26199193460080383,0.2938588737139286
