eta,cl_a_semiinfinite,cl_b_panel,cl_c_particle
-1.0026488785329266,0.0931949743696221,0.08511914883491872,0.0850995751542169
-0.9335006800134142,0.1511525393757902,0.1364706524272375,0.13643995110158458
-0.8643524814939022,0.1899045929612837,0.17115370243190245,0.17111547913962835
-0.7952042829743899,0.22379442922215356,0.2014850726931589,0.20144027121486474
-0.7260560844548778,0.2524151270507287,0.22673877428624506,0.22668832403930111
-0.6569078859353656,0.271082504356114,0.24321008392444254,0.2431559493614723
-0.5877596874158535,0.29216835925537665,0.2615492070276692,0.26149085964850766
-0.5186114888963412,0.3022278039144968,0.2702982662825608,0.2702379090920099
-0.4494632903768291,0.3178958163674718,0.2837533640701475,0.2836898463483412
-0.38031509185731693,0.32315224690837696,0.28826738824225057,0.28820281020005784
-0.3111668933378048,0.3344969910464258,0.29789863765032615,0.2978317602427926
-0.2420186948182926,0.33697778734396233,0.30000473784804454,0.2999373576299622
-0.17287049629878035,0.34449922772265373,0.3063118162682828,0.30624292153597193
-0.10372229777926835,0.3454066963136274,0.30707277098958713,0.30700369352976364
-0.03457409925975599,0.34918380656303166,0.3101643106418954,0.3100945058967315
0.03457409925975599,0.3493148460672915,0.31026658549835984,0.31019675830307936
0.10372229777926835,0.3490581286513111,0.30992267278320823,0.3098529697480558
0.17287049629878035,0.3485624814896372,0.3094858376795552,0.3094162464844686
0.2420186948182927,0.3444543717297205,0.30586518433669824,0.3057965201140674
0.3111668933378047,0.3427247960881555,0.30436000926904605,0.304291717413724
0.38031509185731704,0.33481540298706086,0.29747680566122076,0.2974102166510084
0.449463290376829,0.3307545480267923,0.29394203733902663,0.2938762981106642
0.5186114888963413,0.31865022635982015,0.2834058391224739,0.28334263286634453
0.5877596874158534,0.31038427777566874,0.2761727734418009,0.2761112543013712
0.6569078859353658,0.29305781509741746,0.26101136258983776,0.26095337985505046
0.7260560844548777,0.2769334352046223,0.2467862378085885,0.24673146633338344
0.79520428297439,0.2522116439730466,0.22497637179059035,0.22492652379706404
0.8643524814939021,0.2216711266050115,0.1978554379160156,0.1978114990849141
0.9335006800134144,0.18674892289577266,0.16684342963406043,0.16680624776033026
1.0026488785329264,0.11249855105794893,0.1015217889950606,0.10149876825854445
