# x_over_c y_over_c
1.0000000000000000e+00 0.0000000000000000e+00
9.9993831624083029e-01 8.3399825952964245e-06
9.9975328018286580e-01 3.3489441864795300e-05
9.9944493748098495e-01 7.5835715213986947e-05
9.9901336421413578e-01 1.3602037831486917e-04
9.9845866686656404e-01 2.1493327737923676e-04
9.9778098230154000e-01 3.1370419924245624e-04
9.9698047772758991e-01 4.3369220495573929e-04
9.9605735065723888e-01 5.7647266105163484e-04
9.9501182885827877e-01 7.4382201193202361e-04
9.9384417029756889e-01 9.3770034708626465e-04
9.9255466307738693e-01 1.1602318282099235e-03
9.9114362536434442e-01 1.4136830538768257e-03
9.8961140531088287e-01 1.7004394532991198e-03
9.8795838096937372e-01 2.0229798159398862e-03
9.8618496019883828e-01 2.3838490803325127e-03
9.8429158056431554e-01 2.7856295233688534e-03
9.8227870922889904e-01 3.2309105104629818e-03
9.8014684283847142e-01 3.7222569872307387e-03
9.7789650739916500e-01 4.2621769144484851e-03
9.7552825814757682e-01 4.8530878698006992e-03
9.7304267941377265e-01 5.4972830619640558e-03
9.7044038447711278e-01 6.1968970245143140e-03
9.6772201541493363e-01 6.9538712785228232e-03
9.6488824294412567e-01 7.7699202730166358e-03
9.6193976625564337e-01 8.6464979311482761e-03
9.5887731284199051e-01 9.5847651463438766e-03
9.5570163831772259e-01 1.0585558586238705e-02
9.5241352623300968e-01 1.1649361172207669e-02
9.4901378788030777e-01 1.2776274608099545e-02
9.4550326209418389e-01 1.3965994332751978e-02
9.4188281504434679e-01 1.5217787266393650e-02
9.3815334002193174e-01 1.6530472710594633e-02
9.3431575721909554e-01 1.7902406744536546e-02
9.3037101350197182e-01 1.9331470436688630e-02
9.2632008217704609e-01 2.0815062160246735e-02
9.2216396275100754e-01 2.2350094262832739e-02
9.1790368068413519e-01 2.3932994296021144e-02
9.1354028713728086e-01 2.5559710958494703e-02
9.0907485871251170e-01 2.7225724848457280e-02
9.0450849718747373e-01 2.8926064056964160e-02
8.9984232924354524e-01 3.0655324564870370e-02
8.9507750618784521e-01 3.2407695333153158e-02
8.9021520366916485e-01 3.4176987900607525e-02
8.8525662138789452e-01 3.5956670225693030e-02
8.8020298280001552e-01 3.7739904432120899e-02
8.7505553481522980e-01 3.9519588042220152e-02
8.6981554748930479e-01 4.1288398209915173e-02
8.6448431371070567e-01 4.3038838398038737e-02
8.5906314888159430e-01 4.4763286884453649e-02
8.5355339059327373e-01 4.6454046429800465e-02
8.4795639829615710e-01 4.8103394398278917e-02
8.4227355296434436e-01 4.9703632593232835e-02
8.3650625675488655e-01 5.1247136052798820e-02
8.3065593266182591e-01 5.2726400048624680e-02
8.2472402416509172e-01 5.4134084543542904e-02
8.1871199487434487e-01 5.5463055392652436e-02
8.1262132816785260e-01 5.6706421616761232e-02
8.0645352682648808e-01 5.7857568137424278e-02
8.0021011266294195e-01 5.8910183438373509e-02
7.9389262614623646e-01 5.9899153694686368e-02
7.8750262602163934e-01 6.0868560598675264e-02
7.8104168892606540e-01 6.1817877170854608e-02
7.7451140899906579e-01 6.2746660632129317e-02
7.6791339748949827e-01 6.3654605165405484e-02
7.6124928235797440e-01 6.4541544958861885e-02
7.5452070787518566e-01 6.5407455420169167e-02
7.4772933421620380e-01 6.6252452468338413e-02
7.4087683705085750e-01 6.7076789841157877e-02
7.3396490713028661e-01 6.7880854389334111e-02
7.2699524986977337e-01 6.8665159362914105e-02
7.1996958492795760e-01 6.9430335730728238e-02
7.1288964578253633e-01 7.0177121608833368e-02
7.0575717930255433e-01 7.0906349908614913e-02
6.9857394531739025e-01 7.1618934348690766e-02
6.9134171618254481e-01 7.2315854006427163e-02
