step,time,category,path,quantity,units,scale,min,q05,mean,median,q95,max,rms
1,0.0048611111111111112,frame,state,omega,rad/s,none,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865
1,0.0048611111111111112,frame,state,omega_r,m/s,none,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073
1,0.0048611111111111112,frame,state,q_rotor,Pa,none,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555
1,0.0048611111111111112,frame,state,q_uinf,Pa,none,0,0,0,0,0,0,0
1,0.0048611111111111112,frame,state,ct_force_reference,N,none,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068
1,0.0048611111111111112,frame,state,uinf_norm,m/s,none,0,0,0,0,0,0,0
1,0.0048611111111111112,velocity,state,rotor_relative,m/s,none,0.51934308835556875,3.9174806708187346,103.32603688193775,36.740409728831033,81.640830278815031,198305.15889142451,3298.5357492561757
1,0.0048611111111111112,velocity,state,kinematic,m/s,none,0.53158490883555021,4.6332849398382612,36.326173446890117,35.559005406112114,74.002072431598194,74.769408303031,43.115967762168118
1,0.0048611111111111112,velocity,state,inertial_estimate,m/s,none,0.22480286360748455,3.052519216579662,84.823996266654945,11.675878824660064,67.300144768520951,198305.10758482717,3298.3378873112697
1,0.0048611111111111112,kinematics,state,angular_velocity_body,rad/s,none,-628.31853071795865,-628.31853071795865,-209.43951023931956,0,0,0,362.75987284684356
1,0.0048611111111111112,strength,state,sigma,solver units,none,-39.263777318446515,-23.374922281661622,0.97712573793358792,1.3731162437094957,21.598325245648802,60.7520767398006,14.406166161408693
1,0.0048611111111111112,strength,state,gamma,solver units,none,-0.17121792723549742,-0.15369539719062247,0.0019974419432568944,0.012928601421591095,0.1385796486284627,0.15502666750200025,0.0903157838136458
1,0.0048611111111111112,pressure,laplace_md,gauge_pressure,Pa,absolute,-81310.342271179732,-2427.0306950329455,-255.67327154083549,273.82657831887462,772.81081346247743,3346.3958153205172,2382.9732949071968
1,0.0048611111111111112,pressure,laplace_md,gauge_pressure_over_q_rotor,1,q_rotor,-27.140465186356572,-0.81011517409524159,-0.085340822969275351,0.09140018979598781,0.25795543829425766,1.1169887690617646,0.79540931625582512
1,0.0048611111111111112,force,laplace_md,axial_dimensional,N,none,-0.69346941598024159,-0.69346941598024159,-0.69346941598024159,-0.69346941598024159,-0.69346941598024159,-0.69346941598024159,0.69346941598024159
1,0.0048611111111111112,force,laplace_md,ct_axial_global,1,none,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,0.02016576239473282
1,0.0048611111111111112,force_cancellation,laplace_md,ct_positive_sum,1,none,0.077366647117604576,0.077366647117604576,0.077366647117604576,0.077366647117604576,0.077366647117604576,0.077366647117604576,0.077366647117604576
1,0.0048611111111111112,force_cancellation,laplace_md,ct_negative_sum,1,none,-0.097532409512337062,-0.097532409512337062,-0.097532409512337062,-0.097532409512337062,-0.097532409512337062,-0.097532409512337062,0.097532409512337062
1,0.0048611111111111112,force_cancellation,laplace_md,ct_abs_sum,1,none,0.17489905662994187,0.17489905662994187,0.17489905662994187,0.17489905662994187,0.17489905662994187,0.17489905662994187,0.17489905662994187
1,0.0048611111111111112,force_cancellation,laplace_md,ct_net_panel_sum,1,none,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,0.02016576239473282
1,0.0048611111111111112,force_cancellation,laplace_md,cancellation_ratio,1,none,8.6730693938764496,8.6730693938764496,8.6730693938764496,8.6730693938764496,8.6730693938764496,8.6730693938764496,8.6730693938764496
1,0.0048611111111111112,force_correlation,laplace_md,corr_pressure_ct_panel,1,none,0.014726942996669729,0.014726942996669729,0.014726942996669729,0.014726942996669729,0.014726942996669729,0.014726942996669729,0.014726942996669729
1,0.0048611111111111112,force_correlation,laplace_md,corr_abs_pressure_abs_ct_panel,1,none,0.10760755345803136,0.10760755345803136,0.10760755345803136,0.10760755345803136,0.10760755345803136,0.10760755345803136,0.10760755345803136
1,0.0048611111111111112,force_correlation,laplace_md,corr_pressure_axial_weight,1,none,-0.024209023878491005,-0.024209023878491005,-0.024209023878491005,-0.024209023878491005,-0.024209023878491005,-0.024209023878491005,0.024209023878491005
1,0.0048611111111111112,pressure,laplace_lamb,gauge_pressure,Pa,absolute,-65806.316847094087,-1179.28505612653,-77.676129583576085,245.82520697405803,283.27584072796446,304.35767792055685,1884.4209378628343
1,0.0048611111111111112,pressure,laplace_lamb,gauge_pressure_over_q_rotor,1,q_rotor,-21.965398269685501,-0.39363190605996523,-0.025927406426884559,0.082053651300065047,0.094554245851923902,0.1015911227412344,0.62899822374300285
1,0.0048611111111111112,force,laplace_lamb,axial_dimensional,N,none,0.15771461339142157,0.15771461339142157,0.15771461339142157,0.15771461339142157,0.15771461339142157,0.15771461339142157,0.15771461339142157
1,0.0048611111111111112,force,laplace_lamb,ct_axial_global,1,none,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282
1,0.0048611111111111112,force_cancellation,laplace_lamb,ct_positive_sum,1,none,0.047899632357139718,0.047899632357139718,0.047899632357139718,0.047899632357139718,0.047899632357139718,0.047899632357139718,0.047899632357139718
1,0.0048611111111111112,force_cancellation,laplace_lamb,ct_negative_sum,1,none,-0.04331336604670271,-0.04331336604670271,-0.04331336604670271,-0.04331336604670271,-0.04331336604670271,-0.04331336604670271,0.04331336604670271
1,0.0048611111111111112,force_cancellation,laplace_lamb,ct_abs_sum,1,none,0.091212998403842546,0.091212998403842546,0.091212998403842546,0.091212998403842546,0.091212998403842546,0.091212998403842546,0.091212998403842546
1,0.0048611111111111112,force_cancellation,laplace_lamb,ct_net_panel_sum,1,none,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282
1,0.0048611111111111112,force_cancellation,laplace_lamb,cancellation_ratio,1,none,19.8882908731815,19.8882908731815,19.8882908731815,19.8882908731815,19.8882908731815,19.8882908731815,19.8882908731815
1,0.0048611111111111112,force_correlation,laplace_lamb,corr_pressure_ct_panel,1,none,-0.3413947313521295,-0.3413947313521295,-0.3413947313521295,-0.3413947313521295,-0.3413947313521295,-0.3413947313521295,0.3413947313521295
1,0.0048611111111111112,force_correlation,laplace_lamb,corr_abs_pressure_abs_ct_panel,1,none,0.41904975544293838,0.41904975544293838,0.41904975544293838,0.41904975544293838,0.41904975544293838,0.41904975544293838,0.41904975544293838
1,0.0048611111111111112,force_correlation,laplace_lamb,corr_pressure_axial_weight,1,none,0.0069282513587815521,0.0069282513587815521,0.0069282513587815521,0.0069282513587815521,0.0069282513587815521,0.0069282513587815521,0.0069282513587815521
2,0.0050000000000000001,frame,state,omega,rad/s,none,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865,628.31853071795865
2,0.0050000000000000001,frame,state,omega_r,m/s,none,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073,74.769905155437073
2,0.0050000000000000001,frame,state,q_rotor,Pa,none,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555,2995.9082024892555
2,0.0050000000000000001,frame,state,q_uinf,Pa,none,0,0,0,0,0,0,0
2,0.0050000000000000001,frame,state,ct_force_reference,N,none,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068,34.388455165046068
2,0.0050000000000000001,frame,state,uinf_norm,m/s,none,0,0,0,0,0,0,0
2,0.0050000000000000001,velocity,state,rotor_relative,m/s,none,0.52991263721478199,3.9303700803229709,104.16585203987087,36.699186241427235,81.431898157913295,198974.36254372622,3311.1502628799826
2,0.0050000000000000001,velocity,state,kinematic,m/s,none,0.5315849088355501,4.6332849398382603,36.326173446890117,35.559005406112114,74.002072431598208,74.769408303031,43.115967762168125
2,0.0050000000000000001,velocity,state,inertial_estimate,m/s,none,0.24611883441037413,3.0383623419660264,85.737735701168859,11.632173322919749,69.024166345613594,198974.31123767665,3310.9531888826668
2,0.0050000000000000001,kinematics,state,angular_velocity_body,rad/s,none,-628.31853071795865,-628.31853071795865,-209.43951023931956,0,0,0,362.75987284684356
2,0.0050000000000000001,strength,state,sigma,solver units,none,-39.188236540342508,-23.181065742011246,0.97748214068366135,1.3321548133154084,21.392338640632314,60.772347314580891,14.31157617800366
2,0.0050000000000000001,strength,state,gamma,solver units,none,-0.17180281720816953,-0.15183385419832171,0.0019506391796308643,0.013051621363827811,0.1367782379522442,0.15305145353929289,0.089183504559631963
2,0.0050000000000000001,pressure,laplace_md,gauge_pressure,Pa,absolute,-161466.81489381715,-2438.7614492615025,-359.21647775984172,284.97777252451704,783.36361406871458,10115.543027736892,4417.554399394945
2,0.0050000000000000001,pressure,laplace_md,gauge_pressure_over_q_rotor,1,q_rotor,-53.895781839929803,-0.81403076610797753,-0.11990236465235286,0.095122331280956221,0.26147784281835784,3.3764529298100783,1.47452929155989
2,0.0050000000000000001,force,laplace_md,axial_dimensional,N,none,-0.7838733467128135,-0.7838733467128135,-0.7838733467128135,-0.7838733467128135,-0.7838733467128135,-0.7838733467128135,0.7838733467128135
2,0.0050000000000000001,force,laplace_md,ct_axial_global,1,none,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,0.022794665911877794
2,0.0050000000000000001,force_cancellation,laplace_md,ct_positive_sum,1,none,0.076672611573936955,0.076672611573936955,0.076672611573936955,0.076672611573936955,0.076672611573936955,0.076672611573936955,0.076672611573936955
2,0.0050000000000000001,force_cancellation,laplace_md,ct_negative_sum,1,none,-0.099467277485814673,-0.099467277485814673,-0.099467277485814673,-0.099467277485814673,-0.099467277485814673,-0.099467277485814673,0.099467277485814673
2,0.0050000000000000001,force_cancellation,laplace_md,ct_abs_sum,1,none,0.17613988905975192,0.17613988905975192,0.17613988905975192,0.17613988905975192,0.17613988905975192,0.17613988905975192,0.17613988905975192
2,0.0050000000000000001,force_cancellation,laplace_md,ct_net_panel_sum,1,none,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,0.022794665911877794
2,0.0050000000000000001,force_cancellation,laplace_md,cancellation_ratio,1,none,7.7272415283774496,7.7272415283774496,7.7272415283774496,7.7272415283774496,7.7272415283774496,7.7272415283774496,7.7272415283774496
2,0.0050000000000000001,force_correlation,laplace_md,corr_pressure_ct_panel,1,none,-0.0083319055419387687,-0.0083319055419387687,-0.0083319055419387687,-0.0083319055419387687,-0.0083319055419387687,-0.0083319055419387687,0.0083319055419387687
2,0.0050000000000000001,force_correlation,laplace_md,corr_abs_pressure_abs_ct_panel,1,none,0.058948817529238771,0.058948817529238771,0.058948817529238771,0.058948817529238771,0.058948817529238771,0.058948817529238771,0.058948817529238771
2,0.0050000000000000001,force_correlation,laplace_md,corr_pressure_axial_weight,1,none,-0.014725118502495745,-0.014725118502495745,-0.014725118502495745,-0.014725118502495745,-0.014725118502495745,-0.014725118502495745,0.014725118502495745
2,0.0050000000000000001,pressure,laplace_lamb,gauge_pressure,Pa,absolute,-147780.68283786392,-1253.3777009660166,-179.86758208687669,248.36181247642392,286.22464975092919,308.26615204335695,3730.6124885382778
2,0.0050000000000000001,pressure,laplace_lamb,gauge_pressure_over_q_rotor,1,q_rotor,-49.32750700274299,-0.41836318613654577,-0.060037748131744291,0.082900341295525606,0.095538524682802162,0.10289572684077009,1.2452359139170444
2,0.0050000000000000001,force,laplace_lamb,axial_dimensional,N,none,0.15693189797895896,0.15693189797895896,0.15693189797895896,0.15693189797895896,0.15693189797895896,0.15693189797895896,0.15693189797895896
2,0.0050000000000000001,force,laplace_lamb,ct_axial_global,1,none,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919
2,0.0050000000000000001,force_cancellation,laplace_lamb,ct_positive_sum,1,none,0.047989171377871641,0.047989171377871641,0.047989171377871641,0.047989171377871641,0.047989171377871641,0.047989171377871641,0.047989171377871641
2,0.0050000000000000001,force_cancellation,laplace_lamb,ct_negative_sum,1,none,-0.043425666061166733,-0.043425666061166733,-0.043425666061166733,-0.043425666061166733,-0.043425666061166733,-0.043425666061166733,0.043425666061166733
2,0.0050000000000000001,force_cancellation,laplace_lamb,ct_abs_sum,1,none,0.091414837439038388,0.091414837439038388,0.091414837439038388,0.091414837439038388,0.091414837439038388,0.091414837439038388,0.091414837439038388
2,0.0050000000000000001,force_cancellation,laplace_lamb,ct_net_panel_sum,1,none,0.004563505316704991,0.004563505316704991,0.004563505316704991,0.004563505316704991,0.004563505316704991,0.004563505316704991,0.004563505316704991
2,0.0050000000000000001,force_cancellation,laplace_lamb,cancellation_ratio,1,none,20.031714897845909,20.031714897845909,20.031714897845909,20.031714897845909,20.031714897845909,20.031714897845909,20.031714897845909
2,0.0050000000000000001,force_correlation,laplace_lamb,corr_pressure_ct_panel,1,none,-0.20256480408752836,-0.20256480408752836,-0.20256480408752836,-0.20256480408752836,-0.20256480408752836,-0.20256480408752836,0.20256480408752836
2,0.0050000000000000001,force_correlation,laplace_lamb,corr_abs_pressure_abs_ct_panel,1,none,0.22799592532009053,0.22799592532009053,0.22799592532009053,0.22799592532009053,0.22799592532009053,0.22799592532009053,0.22799592532009053
2,0.0050000000000000001,force_correlation,laplace_lamb,corr_pressure_axial_weight,1,none,0.0034833823565299463,0.0034833823565299463,0.0034833823565299463,0.0034833823565299463,0.0034833823565299463,0.0034833823565299463,0.0034833823565299463
1,0.0048611111111111112,force,laplace_md,ct_axial_monitor,1,none,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,-0.02016576239473282,0.02016576239473282
2,0.0050000000000000001,force,laplace_md,ct_axial_monitor,1,none,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,-0.022794665911877794,0.022794665911877794
1,0.0048611111111111112,force,laplace_lamb,ct_axial_monitor,1,none,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282,0.0045862663104369282
2,0.0050000000000000001,force,laplace_lamb,ct_axial_monitor,1,none,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919,0.0045635053167049919
