phase,nt,idx,sigma,G1,G2,G3,M1,M2,M3,M4,M5,M6,nume_raw,deno_raw,C2_old,C3_old,nume_rlx,deno_rlx,abs_ratio,clamp,C1_pre_force,C1_final,SFS1,SFS2,SFS3,GdotSFS
beforeUJ_end,1,1,0.08307767239493008,-3.054523979213035e-5,2.4663574180377842e-5,0.0018030912764720921,-8.006068113510994e-6,6.482070422626584e-6,-5.841460408722992e-8,-0.00021376610958371775,-0.0001834979394487831,0.00012746162223795085,,,,,,,,,,,,,,
beforeUJ_end,1,2,0.08307767239493008,6.497907698224491e-6,2.2940210684605853e-6,0.0007303182804303469,-4.299414228613406e-6,-8.56232798479215e-7,1.9556059280665953e-7,0.0002488440496914861,-0.0011246462808968377,0.00014196138281041267,,,,,,,,,,,,,,
beforeUJ_end,1,3,0.08307767239493008,1.0956577906428737e-5,6.783123655575467e-7,0.00047801030357812766,-2.938675828507834e-6,-1.7611691785143366e-6,2.0902146544860805e-7,0.0003706923623120154,-0.0012589312846682907,0.00014637318812150456,,,,,,,,,,,,,,
beforeUJ_end,1,4,0.08307767239493008,7.2605828088982444e-6,-1.041101397853948e-6,0.0003661000488379896,-2.458824046262136e-6,-1.0656564607752057e-6,1.4635464331149284e-7,0.0003693212822703005,-0.0012114891019348408,0.00013919045062760001,,,,,,,,,,,,,,
beforeUJ_end,1,5,0.08307767239493008,6.478630638895706e-6,-2.455284915413724e-6,0.0003316497183421762,-2.422774034226065e-6,-8.825181198939037e-7,1.308972085014573e-7,0.00029878198005214537,-0.001182289248577291,0.00013267840811181572,,,,,,,,,,,,,,
beforeUJ_end,1,6,0.08307767239493008,5.9477521488942894e-6,-3.387987312973194e-6,0.00028711284356211774,-2.2549785465283956e-6,-7.700560711003957e-7,1.1618934556112599e-7,0.00024054037789663025,-0.0011580893188091134,0.0001248997611116971,,,,,,,,,,,,,,
beforeUJ_end,1,7,0.08307767239493008,5.723362479955372e-6,-4.456261438446208e-6,0.00025726932989263536,-2.1900828463867123e-6,-7.090036763810906e-7,1.0864162852165815e-7,0.00016339917149105947,-0.0011314820180077113,0.00011677763850625501,,,,,,,,,,,,,,
beforeUJ_end,1,8,0.08307767239493008,5.858459277997377e-6,-5.522599673293677e-6,0.00023523855104668365,-2.168529980241192e-6,-7.116593978548554e-7,1.0624678238871331e-7,7.42757784599875e-5,-0.001104880431399545,0.0001074087207943679,,,,,,,,,,,,,,
beforeUJ_end,1,9,0.08307767239493008,5.176222813003988e-6,-5.509893732810091e-6,0.0001845664358121229,-1.8310817884734323e-6,-6.214067785519683e-7,8.856735968512828e-8,2.325863261299515e-5,-0.001074214972426043,9.375129895252206e-5,,,,,,,,,,,,,,
beforeUJ_end,1,10,0.08307767239493008,3.264262721104322e-6,-3.985256485731884e-6,0.00010962979641961608,-1.1616941815941837e-6,-3.760693600070123e-7,5.4056710523147095e-8,1.4449685365085251e-5,-0.001034225493806933,7.806784786100398e-5,,,,,,,,,,,,,,
beforeUJ_end,1,11,0.08307767239493008,1.717963067212445e-6,-2.5184473686606838e-6,5.82828659133021e-5,-6.566085230143838e-7,-1.8160250882475898e-7,2.8483231292349585e-8,-2.356477466774814e-5,-0.0009897475939516895,6.25142069018499e-5,,,,,,,,,,,,,,
beforeUJ_end,1,12,0.08307767239493008,1.0026333408100743e-6,-1.8439668350983834e-6,3.547574093910815e-5,-4.291525721701057e-7,-9.362290240539474e-8,1.7082169529414933e-8,-0.00010620271325799207,-0.0009446096912213289,4.5435306753339616e-5,,,,,,,,,,,,,,
beforeUJ_end,1,13,0.08307767239493008,7.588613767395297e-7,-1.6322859655933716e-6,2.6896277508933305e-5,-3.4595967727164675e-7,-6.37482341204991e-8,1.3088657549387522e-8,-0.0002160012927218928,-0.0008982770274787248,2.860732014595164e-5,,,,,,,,,,,,,,
beforeUJ_end,1,14,0.08307767239493008,-1.5099805420183815e-7,3.697256997183789e-7,-5.36496016749447e-6,7.249386654825418e-8,1.1269260492627948e-8,-2.6481487886578527e-9,-0.000283535326441129,-0.0008527359699864222,1.0811243521196903e-5,,,,,,,,,,,,,,
beforeUJ_end,1,15,0.08307767239493008,-5.174601454489578e-7,1.5962951798763132e-6,-1.98351466983988e-5,2.8628244972581553e-7,2.99173379893057e-8,-9.902723112161956e-9,-0.00038242184533790534,-0.000806735784883354,-9.738102215082529e-6,,,,,,,,,,,,,,
