kind,step,idx,X1,X2,X3,sigma,G1,G2,G3,absG,J11,J12,J13,J21,J22,J23,J31,J32,J33,absJ,SFS1,SFS2,SFS3,absSFS,C1,C2,C3,JdotG1,JdotG2,JdotG3,GdotSFS
seed,42,68,-0.0028773533243570313,-0.018963983485732385,-0.010408738871588623,0.004751312591155622,-4.9297117260793346e-5,-4.7685755182651956e-5,0.0005526945074980345,0.0005569338880298623,399.8764130302641,915.8971706501482,125.28031186305631,-1159.292958617863,-35.38168035323184,665.3877121393135,-431.47253995084975,-220.78055139786565,-364.49473267703297,1780.5015526169736,-20782.3762554538,180366.2075793383,-106093.53110342885,210284.83859130318,0.0,4.816775048507541e-7,4.816775048507541e-7,0.005853737589267147,0.42659313692395373,-0.16965579704274159,-66.2136995005657
nbr,42,4700,-0.0036937672599777387,-0.019168066362281484,-0.009731070612414664,0.005617323397018123,5.4109804793463974e-5,-2.826248575264908e-5,9.720401232144467e-5,0.00011478353142804518,369.5166648587716,1175.658549512581,158.70788295169658,-1380.0579865277232,-3.3759685671604163,648.7215865823766,-417.6061787288671,-220.7236160972697,-366.1406962916122,2055.842349913667,-60870.3209310349,109190.8746976571,-117302.74575392125,171428.63602355277,0.0,1.11629652652447e-8,1.3042884121491551e-7,0.0021944846078076913,-0.011520913895804785,-0.05194873551005336,-17.78198426735908
nbr,42,4830,-0.004709495398435588,-0.01876496006334316,-0.011082892689370813,0.005777756715409705,4.3158214593423756e-5,-3.330725039578741e-5,8.886148740315241e-5,0.00010425146694085561,277.50826103811494,1104.6544834960514,224.34724844796864,-1367.2053648953274,29.97797729635704,676.75983333872,-542.234981650985,-283.21853198285777,-307.4862383344711,2035.8134518246388,-66223.66915629778,102804.48965571304,-94801.269492755,154730.79249888292,0.0,1.904819753527791e-8,1.5102149591955462e-7,-0.004880412209410306,0.00013325887758642435,-0.04129234763107536,-14.706412018218675
nbr,42,4575,-0.001669990734804225,-0.01948487547324191,-0.007894356536773329,0.005889015811920631,3.13304328653885e-5,-1.869359895983329e-5,9.747542911145047e-5,0.00010407932525754143,512.2564740013581,1118.4691060488117,79.38119611101928,-1350.6603652604886,-70.8195265989995,593.4331512142483,-233.3255428159725,-163.19976526184757,-441.43694740235935,1994.2628949251218,-22914.58658036332,104475.84028338747,-127144.23731220403,166150.3432520406,0.0,1.2667899601753063e-8,2.5169236794664083e-5,0.002878720305422253,0.01685224899460122,-0.04728865516652602,-15.064392466798626
nbr,42,4319,0.00016636974271215846,-0.020398642860224782,-0.011704856339877836,0.008765678236609677,4.354687784962075e-5,-4.7353303974937613e-5,0.0001465420979038998,0.00016004140847252247,437.58192951571357,807.3285479812548,100.87420174040935,-1273.6207395029232,-78.19147017700351,560.1448070742734,-389.0688293843815,-28.181662841965288,-359.39045933871046,1754.0664455420242,-17500.535107599226,92656.28883061622,-94342.0193612001,133386.1807162344,0.0,4.435517682965198e-8,6.197254891018097e-7,-0.004392030158958419,0.030325212844300703,-0.06827406981936264,-18.974752512500004
nbr,42,4323,-0.0015708339809117557,-0.01894226410810087,-0.014203680098131326,0.006756393194569853,-5.029754261428754e-5,-5.0216896278373515e-5,0.00014488929780655545,0.00016138304769629835,335.8608092532368,802.0954372922449,137.57725984917255,-1223.7114627622989,-89.93589929654273,602.6429543972722,-578.7414570992703,-63.204096277518516,-245.92490995669417,1744.4882659383327,-44010.13291060707,103693.22636323636,-67097.04140965748,131115.17821501812,0.0,5.2560177312752426e-8,3.423710404760423e-7,-0.03723824417204846,0.15338249566324436,-0.0033487008685239017,-12.715193672263474
nbr,42,4449,-0.006762234565178786,-0.01867916724598672,-0.012746959817132213,0.0054957091494667355,6.900134110339938e-5,-4.921871947335861e-5,8.555876147164597e-5,0.00012043242538962194,122.23939985535915,919.6069425846181,363.1906442151627,-1333.4844943414969,88.4747837481635,703.1202895943564,-689.1637544046343,-403.24419730006235,-210.71418360352317,1988.6846657107174,-42433.79582844528,79596.40402248722,-50075.62971210682,103168.71256725672,0.0,1.3267388427508732e-8,1.1389404117787159e-7,-0.005753051909992309,-0.0362087328686404,-0.04573450484122854,-11.130030759022086
nbr,42,4569,-0.0007446023836976798,-0.019909094223369176,-0.006298024665630497,0.005798239752996319,4.0860952796236845e-5,-9.55734949385325e-6,0.00010251191118657034,0.00011076846269533236,562.1482223712894,1036.3032108330235,63.273440122047745,-1317.3942129997326,-94.77066640069341,542.9423713945805,-99.95518115592486,-147.6097973274936,-467.37755597059464,1919.233018048023,10457.865100822111,90578.73046192723,-115714.19875877716,147321.5841244834,0.0,-2.9408085041105093e-9,1.6451571415631174e-5,0.019551881285528348,0.0027338337849662636,-0.050585272025429756,-12.300457917684977
nbr,42,4441,-0.002541758463024667,-0.01792164917188669,-0.015340116446792035,0.0068121634255073685,2.9126006258075447e-5,-3.436874842199483e-5,6.600926380598472e-5,7.991719475086638e-5,270.76927003764513,755.8736440573609,167.91108711444636,-1176.0049637214129,-94.48557541618122,588.6278445068365,-693.4614064075726,-89.63210171620554,-176.28369462146452,1712.0898374108024,-51778.87687057876,90651.66558368543,-58028.31945422251,119440.62299634992,0.0,1.0792895291634234e-8,1.330185565244985e-7,-0.007008316412525761,0.007849913709708414,-0.02875357501130374,-8.454102827320815
nbr,42,4708,-0.005761144632393794,-0.018273755498182786,-0.005964753857932533,0.008518362107310107,0.0009192890835356853,-0.0006586243619026048,0.0006909653642133864,0.0013252590704243572,286.3771588516697,1132.7434903817102,51.13615907817976,-1270.4290255218075,85.41714393127307,561.3145472622762,-50.27643527459658,-66.25060731189095,-371.7943027829422,1857.213634374961,-77455.17913195115,64857.196917040994,-64094.21393406308,119640.415521361,0.0,-7.893124978256387e-7,5.539939976923838e-5,-0.44745574786375025,-0.8363004358990029,-0.2594812999754486,-158.20711244850202
