step,n,min,p1,p5,p25,median,p75,p95,max
700,179702,0.16265,0.68105,0.88485,0.96679,1.01713,1.05066,1.12979,2.72474
701,179974,0.16110,0.68116,0.88468,0.96675,1.01718,1.05071,1.12998,2.71194
702,180250,0.15983,0.68042,0.88459,0.96677,1.01721,1.05072,1.13006,2.69784
703,180523,0.15907,0.68062,0.88441,0.96677,1.01727,1.05075,1.13021,2.68152
704,180793,0.15878,0.68054,0.88425,0.96672,1.01729,1.05082,1.13029,2.66136
705,181066,0.15894,0.68020,0.88412,0.96671,1.01731,1.05092,1.13040,2.63652
706,181341,0.15948,0.67973,0.88402,0.96667,1.01735,1.05099,1.13048,2.60927
707,181609,0.16035,0.67909,0.88382,0.96664,1.01740,1.05106,1.13061,2.58083
708,181880,0.16153,0.67997,0.88380,0.96662,1.01742,1.05110,1.13071,2.55239
709,182155,0.16300,0.67934,0.88361,0.96654,1.01745,1.05118,1.13092,2.52503
