bin_lo,bin_hi,count,frac
0.0000,0.0250,0,0.000000e+00
0.0250,0.0500,0,0.000000e+00
0.0500,0.0750,0,0.000000e+00
0.0750,0.1000,0,0.000000e+00
0.1000,0.1250,0,0.000000e+00
0.1250,0.1500,0,0.000000e+00
0.1500,0.1750,44,2.435083e-05
0.1750,0.2000,21,1.162199e-05
0.2000,0.2250,95,5.257565e-05
0.2250,0.2500,96,5.312908e-05
0.2500,0.2750,174,9.629646e-05
0.2750,0.3000,243,1.344830e-04
0.3000,0.3250,292,1.616010e-04
0.3250,0.3500,368,2.036615e-04
0.3500,0.3750,565,3.126868e-04
0.3750,0.4000,629,3.481062e-04
0.4000,0.4250,770,4.261395e-04
0.4250,0.4500,913,5.052797e-04
0.4500,0.4750,1056,5.844199e-04
0.4750,0.5000,1055,5.838665e-04
0.5000,0.5250,1287,7.122617e-04
0.5250,0.5500,1301,7.200097e-04
0.5500,0.5750,1306,7.227769e-04
0.5750,0.6000,1590,8.799504e-04
0.6000,0.6250,1804,9.983840e-04
0.6250,0.6500,2092,1.157771e-03
0.6500,0.6750,2006,1.110176e-03
0.6750,0.7000,2177,1.204813e-03
0.7000,0.7250,2509,1.388551e-03
0.7250,0.7500,3143,1.739424e-03
0.7500,0.7750,3602,1.993447e-03
0.7750,0.8000,7203,3.986341e-03
0.8000,0.8250,10802,5.978129e-03
0.8250,0.8500,15472,8.562637e-03
0.8500,0.8750,17551,9.713214e-03
0.8750,0.9000,32873,1.819284e-02
0.9000,0.9250,100250,5.548115e-02
0.9250,0.9500,141835,7.849545e-02
0.9500,0.9750,154114,8.529099e-02
0.9750,1.0000,186475,1.032005e-01
1.0000,1.0250,299910,1.659786e-01
1.0250,1.0500,353062,1.953944e-01
1.0500,1.0750,189829,1.050567e-01
1.0750,1.1000,111842,6.189649e-02
1.1000,1.1250,60288,3.336506e-02
1.1250,1.1500,31344,1.734665e-02
1.1500,1.1750,19347,1.070717e-02
1.1750,1.2000,12481,6.907334e-03
1.2000,1.2250,8092,4.478339e-03
1.2250,1.2500,6162,3.410223e-03
1.2500,1.2750,4310,2.385274e-03
1.2750,1.3000,3214,1.778717e-03
1.3000,1.3250,2815,1.557900e-03
1.3250,1.3500,2149,1.189317e-03
1.3500,1.3750,1780,9.851017e-04
1.3750,1.4000,1482,8.201802e-04
1.4000,1.4250,1045,5.783322e-04
1.4250,1.4500,859,4.753946e-04
1.4500,1.4750,728,4.028955e-04
1.4750,1.5000,468,2.590043e-04
