step,n,min,p1,p5,p25,median,p75,p95,max
314,168226,0.23113,0.66995,0.78491,0.91853,0.98502,1.03299,1.13459,3.01134
315,168639,0.22844,0.66897,0.78411,0.91837,0.98477,1.03271,1.13486,2.99197
316,169039,0.22590,0.66726,0.78328,0.91815,0.98454,1.03232,1.13538,2.93995
317,169434,0.22361,0.66515,0.78242,0.91795,0.98428,1.03200,1.13588,2.90199
318,169861,0.22179,0.66326,0.78148,0.91769,0.98390,1.03165,1.13618,2.86620
319,170287,0.22079,0.66133,0.78058,0.91755,0.98360,1.03136,1.13680,2.82485
320,170685,0.22110,0.65964,0.77974,0.91735,0.98325,1.03125,1.13707,2.77398
321,171076,0.22308,0.65764,0.77893,0.91721,0.98294,1.03109,1.13740,2.71222
322,171479,0.22251,0.65652,0.77812,0.91709,0.98264,1.03115,1.13764,2.70878
323,171839,0.22134,0.65564,0.77738,0.91701,0.98231,1.03134,1.13788,2.71084
