cos_theta,P_num,P_exact,rel_err,is_cap
2.550739e-01,9.595101e-02,7.641975e-02,1.762550e-02,0
3.082068e-01,1.446205e-01,1.378509e-01,6.109044e-03,0
2.428094e-01,8.083149e-02,6.251607e-02,1.652829e-02,0
2.853507e-01,1.172900e-01,1.111867e-01,5.507732e-03,0
2.212138e-01,5.386859e-02,3.828622e-02,1.406192e-02,0
2.515287e-01,7.741263e-02,7.239008e-02,4.532468e-03,0
1.911171e-01,1.672702e-02,5.054255e-03,1.053379e-02,0
2.080406e-01,2.726818e-02,2.366392e-02,3.252580e-03,0
1.536759e-01,-2.835390e-02,-3.541612e-02,6.373124e-03,0
1.565577e-01,-3.038925e-02,-3.233556e-02,1.756401e-03,0
1.103290e-01,-7.876994e-02,-8.106346e-02,2.069726e-03,0
9.905828e-02,-9.256303e-02,-9.272029e-02,1.419166e-04,0
6.274228e-02,-1.317847e-01,-1.296848e-01,1.895019e-03,0
3.775214e-02,-1.562480e-01,-1.545934e-01,1.493165e-03,0
1.274436e-02,-1.847566e-01,-1.790888e-01,5.114778e-03,0
-2.500480e-02,-2.186398e-01,-2.152483e-01,3.060597e-03,0
-3.774332e-02,-2.353320e-01,-2.272288e-01,7.312543e-03,0
-8.680081e-02,-2.772968e-01,-2.723226e-01,4.488856e-03,0
-8.678054e-02,-2.815844e-01,-2.723043e-01,8.374617e-03,0
-1.452611e-01,-3.302409e-01,-3.238939e-01,5.727607e-03,0
-1.324828e-01,-3.220859e-01,-3.128226e-01,8.359426e-03,0
-1.981391e-01,-3.759911e-01,-3.685124e-01,6.748944e-03,0
-1.730939e-01,-3.559084e-01,-3.476194e-01,7.480173e-03,0
-2.434028e-01,-4.135368e-01,-4.051754e-01,7.545468e-03,0
-2.070530e-01,-3.825642e-01,-3.758442e-01,6.064269e-03,0
-2.793126e-01,-4.422620e-01,-4.332576e-01,8.125715e-03,0
-2.330553e-01,-4.019008e-01,-3.969186e-01,4.496055e-03,0
-3.044885e-01,-4.618437e-01,-4.524159e-01,8.507876e-03,0
-2.501013e-01,-4.139738e-01,-4.104812e-01,3.151800e-03,0
-3.179632e-01,-4.721454e-01,-4.624904e-01,8.712928e-03,0
-2.575361e-01,-4.189239e-01,-4.163340e-01,2.337132e-03,0
-3.192187e-01,-4.731281e-01,-4.634227e-01,8.758404e-03,0
-2.550739e-01,-4.168784e-01,-4.144000e-01,2.236633e-03,0
-3.082068e-01,-4.647980e-01,-4.552084e-01,8.653842e-03,0
-2.428094e-01,-4.078991e-01,-4.047039e-01,2.883405e-03,0
-2.853507e-01,-4.471991e-01,-4.378923e-01,8.398711e-03,0
-2.212138e-01,-3.919815e-01,-3.873791e-01,4.153350e-03,0
-2.515287e-01,-4.204542e-01,-4.116079e-01,7.983115e-03,0
-1.911171e-01,-3.691088e-01,-3.626982e-01,5.785048e-03,0
-2.080406e-01,-3.848435e-01,-3.766532e-01,7.391176e-03,0
-1.536759e-01,-3.393480e-01,-3.311233e-01,7.422168e-03,0
-1.565577e-01,-3.409086e-01,-3.335878e-01,6.606495e-03,0
-1.103290e-01,-3.029709e-01,-2.933614e-01,8.671871e-03,0
-9.905828e-02,-2.895570e-01,-2.833308e-01,5.618737e-03,0
-6.274228e-02,-2.605768e-01,-2.504151e-01,9.170127e-03,0
-3.775214e-02,-2.321462e-01,-2.272370e-01,4.430198e-03,0
-1.274436e-02,-2.131902e-01,-2.036118e-01,8.643818e-03,0
