t,U,dUdt,Fx_num,Fy_num,Fz_num,Fx_exact,rel_err
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,NaN
2.000000e-02,9.866358e-04,9.863112e-02,-1.310916e-01,-6.334766e-17,-1.341531e-17,-2.530513e-01,4.819564e-01
4.000000e-02,3.942649e-03,1.968730e-01,-5.235905e-01,-2.164364e-16,-5.434563e-18,-5.051040e-01,3.659940e-02
6.000000e-02,8.856375e-03,2.943379e-01,-7.829314e-01,-1.874857e-16,2.990907e-16,-7.551633e-01,3.677101e-02
8.000000e-02,1.570842e-02,3.906412e-01,-1.039182e+00,-2.877509e-16,4.216191e-17,-1.002242e+00,3.685750e-02
1.000000e-01,2.447174e-02,4.854028e-01,-1.291332e+00,-1.059008e-15,-1.081194e-15,-1.245366e+00,3.690994e-02
1.200000e-01,3.511176e-02,5.782487e-01,-1.538386e+00,7.790681e-16,1.443317e-15,-1.483575e+00,3.694537e-02
1.400000e-01,4.758647e-02,6.688125e-01,-1.779368e+00,-2.919432e-15,-1.041485e-15,-1.715928e+00,3.697108e-02
1.600000e-01,6.184666e-02,7.567369e-01,-2.013328e+00,-6.157366e-16,1.660537e-15,-1.941510e+00,3.699073e-02
1.800000e-01,7.783604e-02,8.416748e-01,-2.239342e+00,1.764621e-15,-1.956822e-15,-2.159429e+00,3.700635e-02
2.000000e-01,9.549150e-02,9.232909e-01,-2.456518e+00,-2.091114e-15,3.073171e-15,-2.368827e+00,3.701914e-02
2.200000e-01,1.147434e-01,1.001263e+00,-2.664000e+00,-1.537139e-15,-3.221544e-15,-2.568875e+00,3.702990e-02
2.400000e-01,1.355157e-01,1.075284e+00,-2.860968e+00,1.828168e-15,1.453969e-15,-2.758785e+00,3.703914e-02
2.600000e-01,1.577264e-01,1.145061e+00,-3.046646e+00,-4.845741e-15,-4.152494e-15,-2.937808e+00,3.704721e-02
2.800000e-01,1.812880e-01,1.210319e+00,-3.220299e+00,-2.822517e-16,5.574534e-15,-3.105237e+00,3.705439e-02
3.000000e-01,2.061074e-01,1.270801e+00,-3.381244e+00,-2.281234e-15,-1.207508e-14,-3.260410e+00,3.706085e-02
3.200000e-01,2.320866e-01,1.326267e+00,-3.528844e+00,-1.859274e-15,2.286420e-14,-3.402716e+00,3.706675e-02
3.400000e-01,2.591232e-01,1.376499e+00,-3.662517e+00,5.031708e-15,-1.994038e-14,-3.531593e+00,3.707220e-02
3.600000e-01,2.871104e-01,1.421299e+00,-3.781737e+00,-7.591503e-15,2.020533e-14,-3.646533e+00,3.707728e-02
3.800000e-01,3.159377e-01,1.460489e+00,-3.886031e+00,-4.997021e-15,-2.400296e-14,-3.747081e+00,3.708207e-02
4.000000e-01,3.454915e-01,1.493916e+00,-3.974989e+00,-1.262683e-14,2.215539e-14,-3.832842e+00,3.708663e-02
4.200000e-01,3.756551e-01,1.521447e+00,-4.048260e+00,1.775555e-14,-1.395538e-14,-3.903476e+00,3.709101e-02
4.400000e-01,4.063093e-01,1.542973e+00,-4.105554e+00,-2.718106e-14,-9.897748e-15,-3.958705e+00,3.709524e-02
4.600000e-01,4.373334e-01,1.558410e+00,-4.146645e+00,2.268225e-14,2.421353e-14,-3.998310e+00,3.709938e-02
4.800000e-01,4.686047e-01,1.567697e+00,-4.171371e+00,-1.365604e-14,-3.282736e-14,-4.022136e+00,3.710345e-02
5.000000e-01,5.000000e-01,1.570796e+00,-4.179635e+00,4.299256e-15,3.870515e-14,-4.030088e+00,3.710749e-02
5.200000e-01,5.313953e-01,1.567697e+00,-4.171404e+00,2.926983e-15,-2.378984e-14,-4.022136e+00,3.711153e-02
5.400000e-01,5.626666e-01,1.558410e+00,-4.146710e+00,-1.390231e-14,1.079714e-14,-3.998310e+00,3.711560e-02
5.600000e-01,5.936907e-01,1.542973e+00,-4.105651e+00,1.988987e-14,-1.199117e-14,-3.958705e+00,3.711973e-02
5.800000e-01,6.243449e-01,1.521447e+00,-4.048388e+00,6.682329e-15,2.157215e-14,-3.903476e+00,3.712397e-02
6.000000e-01,6.545085e-01,1.493916e+00,-3.975149e+00,7.369983e-15,-1.239915e-14,-3.832842e+00,3.712834e-02
6.200000e-01,6.840623e-01,1.460489e+00,-3.886221e+00,-1.844143e-14,-8.414601e-15,-3.747081e+00,3.713290e-02
6.400000e-01,7.128896e-01,1.421299e+00,-3.781957e+00,-6.049035e-16,3.531030e-15,-3.646533e+00,3.713769e-02
6.600000e-01,7.408768e-01,1.376499e+00,-3.662767e+00,-1.603436e-14,2.057837e-14,-3.531593e+00,3.714277e-02
6.800000e-01,7.679134e-01,1.326267e+00,-3.529121e+00,2.926674e-14,-2.390644e-14,-3.402716e+00,3.714822e-02
7.000000e-01,7.938926e-01,1.270801e+00,-3.381548e+00,-2.732937e-14,4.697631e-15,-3.260410e+00,3.715412e-02
7.200000e-01,8.187120e-01,1.210319e+00,-3.220629e+00,-1.592019e-14,-2.777986e-14,-3.105237e+00,3.716059e-02
