run,sigma_over_R,outcome,M_direct,M_proxy,ratio_proxy_over_direct
scr_p019_fid144,0.02094,ignited,3.234717e+00,2.262983e-02,0.0070
scr_p019_s015,0.01496,ignited,1.750188e+00,1.512318e-01,0.0864
scr_p019_s015v,0.01496,ignited,1.258469e+01,1.384209e+00,0.1100
scr_p019_s020v,0.01995,ignited,2.824016e+01,1.416196e+00,0.0501
scr_p019_s025,0.02493,ignited,1.326863e+00,1.830446e+00,1.3795
scr_p019_s025v,0.02493,ignited,1.116329e+00,5.889249e-01,0.5276
scr_p019_s030v,0.02992,survivor,2.953716e-01,7.920391e-02,0.2682
scr_p019_s038,0.03808,survivor,1.412350e-01,3.028474e-02,0.2144
scr_p019_s038v,0.03808,survivor,1.122855e-01,2.744340e-02,0.2444
scr_p019_sstab,0.03117,survivor,1.337900e-01,4.829940e-02,0.3610
