step,time,alpha_deg,panel_CL,panel_cl_eta0.15,panel_cl_eta0.3,panel_cl_eta0.45,panel_cl_eta0.6,panel_cl_eta0.75,panel_cl_eta0.9,particle_CL,particle_cl_eta0.15,particle_cl_eta0.3,particle_cl_eta0.45,particle_cl_eta0.6,particle_cl_eta0.75,particle_cl_eta0.9
0,0.0,3.94,0.07299375795555772,0.07943195233057351,0.07899991034254046,0.07722149595835177,0.07400451541024805,0.0671929490282344,0.05218468717309732,0.07299375795555772,0.07943195233057351,0.07899991034254046,0.07722149595835177,0.07400451541024805,0.0671929490282344,0.05218468717309732
1,0.0015142337976983646,4.015904039621255,0.1685975185639903,0.1905409887261732,0.18872040339222926,0.18202810070664255,0.17089120935238078,0.15013437306609637,0.11050748538513652,0.1685975185639903,0.1905409887261732,0.18872040339222926,0.18202810070664255,0.17089120935238078,0.15013437306609637,0.11050748538513652
2,0.0030284675953967293,4.091697608680651,0.1862374511046469,0.21305089862368898,0.21085732925761586,0.20150747174926514,0.1873391627869756,0.1623816936574332,0.11775142394866514,0.1862374511046469,0.21305089862368898,0.21085732925761586,0.20150747174926514,0.1873391627869756,0.1623816936574332,0.11775142394866514
3,0.0045427013930950935,4.167270397394925,0.2037000710181399,0.23429855329451726,0.23189934718962577,0.22050962214727854,0.20411584010998096,0.17590226191697375,0.12662112669608333,0.2037000710181399,0.23429855329451726,0.23189934718962577,0.22050962214727854,0.20411584010998096,0.17590226191697375,0.12662112669608333
4,0.0060569351907934586,4.242512417304017,0.2176588756097926,0.25144369993330096,0.24888505536213248,0.2356968195098869,0.2174234365357827,0.18652867672335033,0.13354354780219094,0.2176588756097926,0.25144369993330096,0.24888505536213248,0.2356968195098869,0.2174234365357827,0.18652867672335033,0.13354354780219094
5,0.007571168988491823,4.317314161348006,0.22900904283674545,0.26542541167980754,0.262743991090459,0.24801586548664842,0.22818946231697884,0.19512053834480195,0.139168964687565,0.22900904283674545,0.26542541167980754,0.262743991090459,0.24801586548664842,0.22818946231697884,0.19512053834480195,0.139168964687565
6,0.009085402786190187,4.391566763243442,0.2385098301338347,0.2771102258684506,0.27433247923498244,0.25830293318354736,0.23719216882442243,0.20233639384469332,0.14393585905772827,0.2385098301338347,0.2771102258684506,0.27433247923498244,0.25830293318354736,0.23719216882442243,0.20233639384469332,0.14393585905772827
7,0.010599636583888553,4.465162155927071,0.24667373962918737,0.287110023654211,0.28425411944435397,0.2671278562155248,0.2449433096610655,0.2085882411783962,0.14810486916566074,0.24667373962918737,0.287110023654211,0.28425411944435397,0.2671278562155248,0.2449433096610655,0.2085882411783962,0.14810486916566074
8,0.012113870381586917,4.537993228836392,0.25384983706115566,0.2958551392154168,0.29293304525321096,0.274878347523947,0.25178155926055923,0.2141402375417905,0.15183905031837955,0.25384983706115566,0.2958551392154168,0.29293304525321096,0.274878347523947,0.25178155926055923,0.2141402375417905,0.15183905031837955
9,0.013628104179285281,4.609953983798115,0.26028086735605205,0.303651478554431,0.30067085455134185,0.2818224866194596,0.2579364907278702,0.21916803718827443,0.15524559996779946,0.26028086735605205,0.303651478554431,0.30067085455134185,0.2818224866194596,0.2579364907278702,0.21916803718827443,0.15524559996779946
