step,time,particle10_CL,particle10_cl_eta0.15,particle10_cl_eta0.3,particle10_cl_eta0.45,particle10_cl_eta0.6,particle10_cl_eta0.75,particle10_cl_eta0.9
0,0.0,0.07299375795555772,0.07943195233057351,0.07899991034254046,0.07722149595835177,0.07400451541024805,0.0671929490282344,0.05218468717309732
1,0.0015142337976983646,0.1685975185639903,0.1905409887261732,0.18872040339222926,0.18202810070664255,0.17089120935238078,0.15013437306609637,0.11050748538513652
2,0.0030284675953967293,0.1862374511046469,0.21305089862368898,0.21085732925761586,0.20150747174926514,0.1873391627869756,0.1623816936574332,0.11775142394866514
3,0.0045427013930950935,0.2037000710181399,0.23429855329451726,0.23189934718962577,0.22050962214727854,0.20411584010998096,0.17590226191697375,0.12662112669608333
4,0.0060569351907934586,0.2176588756097926,0.25144369993330096,0.24888505536213248,0.2356968195098869,0.2174234365357827,0.18652867672335033,0.13354354780219094
5,0.007571168988491823,0.22900904283674545,0.26542541167980754,0.262743991090459,0.24801586548664842,0.22818946231697884,0.19512053834480195,0.139168964687565
6,0.009085402786190187,0.2385098301338347,0.2771102258684506,0.27433247923498244,0.25830293318354736,0.23719216882442243,0.20233639384469332,0.14393585905772827
7,0.010599636583888553,0.24667373962918737,0.287110023654211,0.28425411944435397,0.2671278562155248,0.2449433096610655,0.2085882411783962,0.14810486916566074
8,0.012113870381586917,0.25384983706115566,0.2958551392154168,0.29293304525321096,0.274878347523947,0.25178155926055923,0.2141402375417905,0.15183905031837955
9,0.013628104179285281,0.26028086735605205,0.303651478554431,0.30067085455134185,0.2818224866194596,0.2579364907278702,0.21916803718827443,0.15524559996779946
10,0.015142337976983646,0.2661384914893877,0.3107184928384305,0.30768419433764654,0.28814849800493486,0.2635671500185313,0.22379197622437183,0.15839759418187288
11,0.01665657177468201,0.27152628904183823,0.3171949083067148,0.3141102315124304,0.2939708960622514,0.26876678045623237,0.22807802867863713,0.1613284459166328
12,0.018170805572380374,0.2764742591558483,0.3231274991201216,0.3199957099936235,0.2993206409469629,0.2735544971203748,0.23203315521932094,0.1640385161043631
13,0.01968503937007874,0.28112648592138667,0.32868788020215134,0.3255106861374635,0.3043522183879636,0.27806953741329743,0.23577544790718835,0.16661331930557477
14,0.021199273167777106,0.2855505708577304,0.3339603263847321,0.330738956220158,0.30913815282567003,0.2823746130851631,0.2393548227999096,0.16908585841257084
15,0.02271350696547547,0.2897646837898867,0.3389726716291277,0.335708221869905,0.3136985256749769,0.2864837478181096,0.2427781703837767,0.17145608734829595
16,0.024227740763173834,0.29379340079246,0.34375767204878305,0.34045112540240796,0.3180597911498397,0.2904183919834782,0.24606081791723797,0.17373239112361338
17,0.0257419745608722,0.2988620453371685,0.3496700646315416,0.3463089195671472,0.3235253946502853,0.29541982232601244,0.25033148145495654,0.17680995003263056
18,0.027256208358570563,0.3023025941464924,0.35379966065487667,0.35039935742693634,0.3272694972989736,0.29877230586494075,0.2530852681628406,0.17865961135449687
19,0.02877044215626893,0.30605693875937207,0.3582521463178008,0.3548095903726538,0.33133942018643503,0.3024495484770885,0.2561560078222522,0.180788749425025
20,0.03028467595396729,0.30963507496778164,0.3624973724371985,0.3590144102723739,0.33521900891441053,0.3059537695242277,0.25908079738463785,0.18281494191263511
21,0.03179890975166566,0.3130478522105578,0.3665476431769704,0.3630260042189989,0.3389197609551337,0.30929573174639746,0.26186925079797363,0.18474587035253165
22,0.03331314354936402,0.3162980926960474,0.3704062941712346,0.3668477123829785,0.34244462193296954,0.31247809315293656,0.264523616718146,0.18658312954878886
23,0.034827377347062385,0.3193886178170588,0.3740766797763306,0.3704828876985303,0.3457965956508961,0.3155035537395665,0.2670461201145333,0.18832817633946597
24,0.03634161114476075,0.3223218802485455,0.37756177586717254,0.37393449827210684,0.34897832673794155,0.3183744495431961,0.2694386230575085,0.1899821665045664
25,0.03785584494245912,0.3250996253188027,0.380863768724816,0.3772047230870643,0.35199170958239157,0.3210924047653012,0.2717023578405979,0.19154580410259964
26,0.03937007874015748,0.3277227484248748,0.383983872795886,0.38029477471542994,0.3548377217341221,0.32365819096549464,0.2738378240543585,0.19301927864194848
27,0.04088431253785584,0.33019150215557336,0.38692254269544546,0.38320511099219173,0.3575166395140863,0.3260719447514331,0.2758449987712521,0.1944024364594016
28,0.04239854633555421,0.332505694931074,0.38967969685805615,0.38593565818922915,0.3600282580649614,0.32833337943769225,0.2777235239637983,0.19569490789786081
29,0.043912780133252574,0.334662447041759,0.39225217391333445,0.3884833077260301,0.36236946483340554,0.33043949353732427,0.2794706452952349,0.1968945092873844
30,0.04542701393095094,0.33666343195889153,0.39464186203995466,0.39084991914604317,0.36454201894048666,0.3323919400961567,0.2810878786229322,0.19800250036159917
31,0.046941247728649306,0.3385074979180766,0.39684746963215656,0.3930342217264494,0.3665446621942018,0.3341895255596862,0.2825741611459709,0.19901807240868877
32,0.04845548152634767,0.34019347384787346,0.39886767117936195,0.39503490851369283,0.3683761176288298,0.3358310493316268,0.2839284374918426,0.19994043865744815
33,0.04996971532404603,0.3417211684554605,0.40070220018831487,0.3968517128373009,0.37003615697870684,0.3373163293548461,0.2851506007948411,0.20076958565017594
34,0.0514839491217444,0.34309111032157963,0.4023515998776811,0.3984851866503858,0.37152530399083894,0.33864588242803373,0.2862411561848246,0.2015059561962471
35,0.05299818291944276,0.3442965035108601,0.40380833536451466,0.3999278704256652,0.37283632030860625,0.33981282894998904,0.2871938660963387,0.2021446160678242
36,0.054512416717141125,0.3453389854342554,0.4050740556731669,0.40118140439092187,0.3739708767464193,0.3408188564858033,0.28801041860495824,0.20268709810939733
37,0.05602665051483949,0.34621730526557937,0.40614727390298705,0.40224432040229763,0.3749276077451582,0.3416627314784737,0.2886897867966642,0.20313268873547305
38,0.05754088431253786,0.34693050717722973,0.4070268314996064,0.403115474023506,0.375705465826936,0.34234352184949013,0.2892312130121235,0.2034808820775896
39,0.05905511811023622,0.3474778410992915,0.40771180490661285,0.4037939545808051,0.37630362484893753,0.3428605009979527,0.2896341175524874,0.2037313021943764
40,0.06056935190793458,0.34785875540892136,0.40820149887769364,0.404279074713529,0.3767214771699474,0.34321314568621825,0.28989809661823474,0.2038837012710914
41,0.06208358570563295,0.348072907986874,0.40849546127517,0.40457038762533076,0.37695864268227736,0.343401142025843,0.2900229253779466,0.20393795967734551
42,0.06359781950333132,0.3481201585163875,0.408593475470136,0.40466768095175243,0.3770149588455861,0.3434243748708037,0.29000854751917227,0.2038940777149907
43,0.06511205330102968,0.34800057726107797,0.4084955701716573,0.4045709826668279,0.3768904951941759,0.3432829434326851,0.28985509062847936,0.20375218845150467
44,0.06662628709872805,0.34771444677825086,0.4082020246254342,0.4042805700746647,0.37658554903154706,0.3429771523656613,0.28956285414545047,0.20351254554082598
45,0.0681405208964264,0.3472622643738335,0.4077133689845758,0.4037969684801572,0.3761006519519929,0.3425075218584283,0.28913232186055393,0.20317553526599003
46,0.06965475469412477,0.34664473952463704,0.4070303821006427,0.40312094644370344,0.37543656917722773,0.3418747863080347,0.2885641594609387,0.2027416733433707
47,0.07116898849182314,0.34586282173018035,0.406154123198689,0.40225355552029723,0.37459431890722095,0.3410799084365878,0.28785922493518024,0.20221161298679177
48,0.0726832222895215,0.3449176848459264,0.4050859112786505,0.40119610004099976,0.37357516510593514,0.34012407835507197,0.2870185711446434,0.20158614645651485
49,0.07419745608721987,0.3438107036075478,0.4038273198216823,0.39995013548861025,0.3723806030110851,0.33900869415394147,0.2860434243553337,0.2008661877306778
50,0.07571168988491823,0.3425435031958403,0.4023801914695096,0.39851748618699945,0.3710123795291039,0.3377353849373413,0.2849352074926122,0.20005279111584534
51,0.07722592368261659,0.3411179102956142,0.4007466226571696,0.39690022657632273,0.36947247274579237,0.3363059889271435,0.28369551894484146,0.1991471342043467
52,0.07874015748031496,0.33953596129798114,0.3989289528472183,0.3951006709584773,0.36776308577775046,0.3347225491408848,0.2823261294401927,0.19815051550349932
53,0.08025439127801333,0.3377999260771194,0.3969297951254053,0.39312140733459816,0.3658866721865739,0.3329873359529163,0.2808290017244311,0.19706437066565496
54,0.08176862507571168,0.3359122871161378,0.39475201429794343,0.3909652681859481,0.3638459209050557,0.33110283542669516,0.2792062816688443,0.19589026456289146
55,0.08328285887341005,0.33387574209088944,0.3923987278188533,0.3886353397556002,0.3616437507335089,0.32907174131475375,0.2774602890376288,0.19462988435063477
56,0.08479709267110842,0.33169305029359136,0.38987312926828543,0.3861347733041923,0.3592831627209323,0.32689682595097225,0.2755934107139944,0.19328496188367056
57,0.08631132646880678,0.3293670079240485,0.38717845406503926,0.3834667788820192,0.356767179073216,0.3245808717945155,0.27360803059652383,0.19185721423665036
