step,n_particles,max_u,min_sr,max_dtZ
38,27072,27.619554330332367,0.9265965138371645,0.038076637009459756
39,28110,27.430942425305275,0.9200586591272822,0.03610228588593055
40,29159,27.188209220784604,0.9049001373478716,0.03606869613730969
41,30203,27.63012768809183,0.8749406877630815,0.03555680065604583
42,31247,30.32452311720049,0.8527098383586731,0.033657343502246945
43,32276,29.488090881270708,0.847861560326445,0.03101492887081231
44,33313,29.26915613787762,0.829655736711545,0.03317881353212607
45,34356,32.29570234324028,0.8082661061265223,0.04309305693660936
46,35395,31.96099703397157,0.7873368058663636,0.038748285620857574
47,36430,32.937669780324015,0.7673226514886687,0.030081916550016005
48,37460,32.479460666461286,0.7484755527097824,0.02826999898133866
49,38494,32.84833809271793,0.7320529772496001,0.03353869223972307
50,39528,36.83207042103238,0.7330222399223342,0.050558902499490826
51,40572,36.55551530316488,0.7329318633235076,0.03962160876476259
52,41614,36.64547624357285,0.7328727140259959,0.035659703518865195
53,42642,33.8612221940564,0.7146877932195633,0.04032531275018333
54,43691,36.624863997197956,0.6962577883246803,0.03429979966983764
55,44726,37.97083185537502,0.6837087991062569,0.0387469195141049
56,45770,40.29417794494654,0.6750336390059484,0.038016369009279884
57,46818,37.5255366949419,0.6659876058859464,0.039569063454825554
58,47867,33.96393364025506,0.6570658612559787,0.03889039320263267
59,48914,38.27869474522371,0.6506823797518517,0.04289246332755128
60,49966,37.49781491914129,0.6512944520510945,0.047416476130431005
61,51008,38.61852904597239,0.6580125881027458,0.04597583956467758
62,52053,37.01544615787062,0.6554854635354892,0.04699700427228673
63,53114,36.77616317343176,0.6487898060807329,0.04186720782528496
64,54168,36.091451488998004,0.6426146588486878,0.04001006580772846
65,55216,35.28791181427726,0.6372890617608562,0.04039544445152051
66,56267,29.155249270142356,0.6329055308694442,0.04094815875655687
67,57310,33.54282791108099,0.6295273527411921,0.04480375882300179
68,58355,35.37585362950955,0.6260475527105444,0.04423509678717951
69,59404,34.31506336657153,0.6143835157905825,0.04895415800157119
70,60445,33.35594128521943,0.6054243571398086,0.04519019344945397
71,61480,32.539762723502804,0.5967667442126745,0.042638069884248946
72,62511,32.98411451263373,0.5927242055031752,0.046531438373362134
73,63506,30.0196807227646,0.5744324553996847,0.044834612391858264
74,64520,25.53118972925126,0.5565322170686258,0.053181269090466624
75,65490,26.25673280008378,0.5439326183776582,0.05297208353583146
76,66477,27.495735285584196,0.5371110937413588,0.056136744937577615
77,67456,25.683509274972533,0.5336207809180746,0.053061209778582724
78,68432,23.695936928069443,0.5330757907764095,0.050288558237663525
79,69397,23.232602305065676,0.5352421405148097,0.055496804519712915
80,70359,21.144840974200882,0.5335813546190498,0.05790769347453083
81,71337,23.648812533137974,0.5330252457154574,0.05542725546480674
82,72295,23.871316114660257,0.5494859098121597,0.05708199314537636
83,73272,23.308248685144648,0.5514105175774274,0.05619984591072543
84,74255,23.482704443655283,0.5316157623249255,0.05138759335608347
85,75237,23.120209508177016,0.5146542930760759,0.05428974512541685
86,76235,18.336700686344663,0.5040755131187661,0.05226066629405274
87,77218,21.334877803446748,0.5021644993558438,0.054794717803746826
88,78209,20.81015431784064,0.487289886705518,0.052081641615176526
89,79187,19.457948939333853,0.4770265891032347,0.04742632574127723
90,80151,21.423623021861513,0.47125637528208186,0.0523543250326651
91,81119,20.0977679003632,0.4702054531646956,0.04927310872753924
92,82091,18.252917399746703,0.501877779424652,0.056933303673979224
93,83059,24.099312242466723,0.4928055713067638,0.05492532833650242
94,84040,19.84615770283647,0.48561074679725047,0.04706717381762349
95,85009,19.28129276646977,0.4809056171977737,0.046347737461562226
96,85985,20.142685757969904,0.4781255544326781,0.04934434214417104
97,86967,18.63905445273525,0.4761226477177351,0.043188242819921674
98,87941,18.36765580874945,0.47283437837350517,0.05825301250484558
99,88913,17.750590614676867,0.47439969181490615,0.049303101471746824
100,89894,16.974930537554492,0.4745557517410946,0.0421275933276274
101,90866,19.415482575332337,0.47303991549324437,0.045862595813334815
102,91861,20.851421209227947,0.46330743016274756,0.04840072445634995
103,92855,18.341491562561018,0.455707498467782,0.05060206232834355
104,93835,19.220468840943997,0.4497955126111969,0.04963996183350267
105,94830,20.610456111492137,0.44552828572331493,0.052456336237549694
106,95832,17.033188033348193,0.4424413644442891,0.05345362790386699
107,96825,19.35203545805007,0.4432433472065799,0.05244930989220522
108,97818,15.455108390944096,0.44880081978674385,0.0523168162447046
109,98818,20.842578737657707,0.4578287716990643,0.04687936515276981
110,99819,20.446956298982837,0.4669704451217484,0.04336729655004636
111,100823,20.65589885755874,0.46292171836926477,0.042679522858236583
112,101829,31.254688250620735,0.46175425598024294,0.0466422185073796
113,102823,28.745564601167132,0.4647898302539761,0.04878285598222216
114,103814,23.103629893482385,0.4724849197646382,0.04363048493936785
115,104805,22.09330689463285,0.48380072962083354,0.03984884443933355
116,105785,21.39070648459822,0.4868749706693218,0.04594942865443174
117,106786,20.2653734463754,0.4893262094035121,0.05150467726079426
118,107794,19.499941593959537,0.49171766460413946,0.053128635758202584
119,108797,17.961351291156355,0.4937392473351722,0.05218906016346511
120,109809,21.25271450064692,0.49528224157671397,0.04814386403325892
121,110828,18.380086604597395,0.48485135892727244,0.04615677466707493
122,111851,20.64956897700747,0.47367287851354045,0.05098518996348773
123,112880,22.8556007670676,0.46389265231066756,0.05998750551041356
124,113907,21.40282081743778,0.4552743542244072,0.06284054905008972
125,114939,23.6840965483888,0.4477753594429354,0.05996170502929209
126,115971,21.50318437228328,0.44210114317751364,0.05492170865032577
127,117007,22.919849925014653,0.43857129318409593,0.05004481317213609
128,118038,23.582856809383586,0.43705618982725675,0.0484516209680495
129,119058,22.149211553249035,0.4371056344416548,0.06623593498072164
130,120083,20.671049234581723,0.4382851025412786,0.04412458631823678
131,121117,27.739136172026967,0.4403923570066645,0.04718699935774981
132,122143,28.469522800740382,0.44311988865628305,0.05061682211822483
133,123181,27.85139042971358,0.440832692071654,0.05118968895381587
134,124207,27.188983786296188,0.4350092360190289,0.05462219884852444
135,125235,26.611306519939987,0.42887614796905427,0.05699660694964109
136,126259,28.528995511336046,0.4235842920873376,0.05757065602151627
137,127287,27.075558478378454,0.4198205904023522,0.054991825452133276
138,128314,25.54032862599408,0.4175603005295623,0.053416684639156733
139,129342,24.301745104571882,0.4165364455271901,0.054797136258649154
140,130378,22.477675699858615,0.4165847862822095,0.049639223030374054
141,131410,23.040879211015096,0.417033694701826,0.0518482429089961
142,132446,27.59978631854079,0.4072399486350726,0.06954324888321842
143,133470,24.049032733248445,0.39375666112973984,0.07003846003799896
144,134497,24.658705574371947,0.3801525241634508,0.07029546236648841
145,135527,24.081857129784122,0.3672715018994254,0.0729208563210916
146,136553,24.18521873558487,0.35623347468586086,0.08531944980362581
147,137583,23.250119925385953,0.3478623804218337,0.0668307685900837
148,138612,20.87779278858046,0.3427656768009631,0.07784636357562544
149,139639,23.98991383680475,0.3411380389366233,0.07683102063422895
150,140674,22.404537330551353,0.3421723989646818,0.06936225077167361
151,141708,21.843721573868883,0.3436981545665583,0.07408600380412408
152,142742,27.68633553363527,0.3442032146764131,0.06302450651801575
153,143773,24.684848788552515,0.34487111012388627,0.09061952796310804
154,144809,22.59731067049008,0.34844688400019697,0.09269825811598334
155,145832,22.78116399480694,0.34846993905618084,0.05688300456288965
156,146860,25.954143813717316,0.3470950650760117,0.07801417972846518
157,147882,25.481280361199328,0.34581976035638506,0.06267292800729658
158,148913,27.41539923052608,0.3440028215891523,0.048991058976668334
159,149932,22.558777372737136,0.3411019743224287,0.06440382531119047
160,150955,22.768165313879244,0.3371913322784673,0.07882865595678985
161,151971,23.986599268112336,0.3326005461421317,0.06801467568179582
162,152976,25.787621260697666,0.3273912066383693,0.06847459350262539
163,153995,24.934198815995007,0.3213311270546593,0.07450145807305371
164,155012,26.657180643447347,0.3144898940739654,0.09046822724194443
165,156020,22.771840936636153,0.3071399649428918,0.09395291061471488
166,157034,24.87696296426937,0.29985307381207277,0.08784305725925591
167,158059,25.566954930302845,0.2928846611626754,0.08453393874906959
168,159085,23.307132854583315,0.2859884698204294,0.06211568297604837
169,160115,24.296754795660405,0.27900115544067833,0.06316324854402192
170,161143,24.28702611613527,0.2716185037230232,0.06982662854517617
171,162172,21.161003856604573,0.2637172430514345,0.04868145527816639
172,163208,21.542795607770888,0.25554811289962265,0.07243929937017762
173,164231,22.781069735177358,0.24684890603777107,0.07178501580237634
174,165263,23.849794023809718,0.23614428444692526,0.0690598601409074
175,166293,23.522818634751175,0.22392117782040466,0.06481494408821498
176,167315,24.373975483410824,0.21357684102063015,0.05746882679972833
177,168340,24.575443942304194,0.20681768295111086,0.053493849951855105
178,169363,25.926951667299885,0.20322131982055158,0.05548392538576299
179,170378,26.45530000150608,0.20156742295547336,0.06341923780371501
180,171409,27.63765745840846,0.20135532504781894,0.06887318579478184
181,172435,26.867104488859777,0.20263933760224695,0.06583602567080042
182,173463,24.588424355562932,0.20564470167894813,0.07876309028952337
183,174471,25.798090531909132,0.20985758983397662,0.07969727941524299
184,175481,28.41250464008917,0.2145633057451428,0.07083210070734569
185,176487,29.92976901336413,0.21861092876887947,0.07788848690021843
186,177498,24.082237786103295,0.22144078887983587,0.07514135906030422
187,178506,30.831755876917747,0.22319984545253466,0.08829294252310385
188,179517,24.06608361640015,0.2241634926572605,0.07986179773386234
189,180535,32.348734134173725,0.22579483945226048,0.06181530122906016
190,181562,27.023767302828443,0.2271470936962497,0.05701201969331923
191,182590,27.841888027980186,0.2287495382706337,0.06584868044196258
192,183621,20.57503303103854,0.23020907468117993,0.06617522273368373
193,184647,23.872678832187017,0.26366333662045705,0.07149302641388851
194,185682,21.84193452912265,0.26395112047936325,0.075919338648667
195,186719,23.166295851507293,0.26480088734767476,0.08184251245265459
196,187757,24.057223728691596,0.2666460342043143,0.09302256249449913
197,188794,22.51289164294521,0.2696327924268996,0.0917696586873614
198,189833,27.269492958846424,0.27290749631706296,0.07966964914360891
199,190872,23.961473124365455,0.27623160847248673,0.10176878707294063
200,191903,21.34316110489709,0.27857793585233065,0.09405253154971915
201,192934,23.32876380003846,0.27800319172953525,0.09694230819102645
202,193964,25.947758394663847,0.2738772400212218,0.09455431132451037
203,194996,28.781937179819074,0.26808354160553066,0.09802791284228654
204,196026,37.773469851493324,0.26273425506312714,0.09699432545513405
205,197057,56.94563841914031,0.2578093424876025,0.07559606418491518
206,198091,54.24228199303168,0.2529739768149637,0.07738960532884694
207,199122,44.38096012712082,0.24924958190306112,0.06943212429172024
208,200156,37.75367292730785,0.248541384453725,0.14785419958977272
209,201189,31.360505980579145,0.2525329516765232,0.15979838849575442
210,202224,31.17007864614555,0.2610697620723743,0.13977727475687884
211,203261,25.54969728608921,0.24966379783064835,0.1517956691533026
212,204300,20.138803408166375,0.22883408865661836,0.12884312382289276
213,205335,19.591749181745655,0.21570305459973677,0.10781963703484745
214,206371,19.535444236901707,0.21563448768122054,0.09671073260615466
215,207408,19.292819423028032,0.22524012878450994,0.14102751753870754
216,208436,18.43972547148543,0.2393766011034531,0.09496962640910799
217,209462,18.975130899935355,0.25397182368899596,0.10513133507497587
218,210489,23.412278645027882,0.2610038032342515,0.1441537632772943
219,211519,23.509027836996285,0.25684747694973126,0.10102212301994871
220,212549,20.834517163929462,0.25767221185481687,0.10359881539733475
221,213584,27.300653642278007,0.25175113685627576,0.1479743548841778
222,214611,21.014551466492286,0.2449144383752387,0.13651343875575372
223,215646,26.770367996748725,0.23805049820779203,0.10364020268800778
224,216667,19.18723539885085,0.23273262959309918,0.1249114859727052
225,217688,31.555948861931196,0.22976333304127916,0.413421302653458
226,218708,91.19813595775383,0.22908143942271045,0.8058899764808395
227,219733,699.791207443978,0.2302011346846446,4.734346993868344
228,220747,376.84768598885006,0.04038615254738955,0.9723906776337855
229,221771,406.2080347141449,0.05659256607335809,4.190510481383256
230,222770,125.81920334354001,0.041023495687554465,0.44136460871322825
231,223753,126.44391134963341,0.0570407935169176,0.32721511120378083
232,224773,159.5815110291109,0.06944067418832679,0.43600333914488937
233,225797,66.25378695888601,0.07989751817770495,0.3621171427772276
234,226822,141.01481353091822,0.08910361114048271,0.618286020435937
235,227848,47.645804843316355,0.09742048376606564,0.2011541120216588
236,228886,44.937165197772295,0.10505896105907747,0.20156382155589184
237,229920,43.291551557116165,0.11213651024466276,0.19086735655827597
238,230952,47.15286775215518,0.11874470700846357,0.1814763142061287
239,231936,60.92700643604713,0.12497179455234074,0.17555969596493115
240,232709,82.97444816539232,0.13087285082197597,0.20271424739707677
241,233589,102.68725368960115,0.13650933795018763,0.19121115708374475
242,234536,114.32235595802838,0.14192402911651678,0.33144443200581214
243,235454,136.72192161710177,0.1471066400514914,0.343569083634528
244,236358,70.24774263195889,0.15209257128179024,0.2308063524804696
245,237313,33.77761996079879,0.1568838407226892,0.1346400591174124
246,238296,28.99622148751152,0.161549482790074,0.1414133006559189
247,239273,41.53136745470793,0.16608291039711606,0.13637695611302542
248,240250,29.899625163046903,0.1704837284567665,0.12290610445900309
249,241199,30.87691420209155,0.1747548767497486,0.15368732876082722
250,242154,30.44920115722863,0.178902009187651,0.14247941368314512
251,243102,30.90845411293414,0.18293199949909425,0.15143893873468955
252,244024,29.624269800202125,0.1857395416512747,0.13970496139605298
253,244947,28.472832117039342,0.18761154445093378,0.1280303645175973
254,245850,26.800629974644814,0.18927934156618972,0.14439506175228722
255,246754,25.588888135656376,0.19076959130061344,0.13739140331121658
256,247630,24.43100122478156,0.19209268174394248,0.1451695097642715
257,248517,25.272325583724996,0.19322599125414724,0.18195847410957694
258,249370,25.4331946421832,0.1941569488058519,0.17863859077628957
259,250223,24.900847975380444,0.1949099220959902,0.1911593080728073
260,251076,27.008541915929726,0.19551054958119063,0.1969518811778962
261,251963,26.52072339871891,0.19595514775358283,0.17615133324617985
262,252836,29.14893419398694,0.19620500151040626,0.27196477234526434
263,253685,31.574348611182074,0.19626637591393534,0.16539429826724886
264,254478,28.242510186286395,0.19625739665044117,0.1421901603466862
265,255240,26.915777433055084,0.19098709899514507,0.17930301956336395
266,256026,27.989102950905913,0.18105350939020962,0.29621710107231336
267,256821,27.48986813014431,0.17327257838646548,0.19261876107948878
268,257548,36.63060831926653,0.1677643845498127,0.149762172509065
269,258276,30.798152479299045,0.17162006888724812,0.5842549713118861
270,259024,37.52021168918538,0.20410051836824436,0.23992410260617802
271,259765,72.85781042848276,0.20379512997404475,0.5486232120021752
272,260517,29.43484338568761,0.20058398721980217,0.20199520448772584
273,261224,39.14212255674687,0.19666348097808803,0.3989999814777424
274,261941,27.55844564184807,0.1948840760646755,0.365140855300599
275,262662,33.363520282705565,0.19597873546284955,0.24480868996984043
276,263384,28.961723255208458,0.1996870096879957,0.2478978322666428
277,264148,30.633639496009877,0.20523235686730107,0.25336110143154095
278,264849,26.74418234447904,0.20875263456772455,0.40708428561427795
279,265586,27.92029635226357,0.21086385875127026,0.24475203212518148
280,266282,37.464742557027826,0.19354544148183103,0.664758036473961
281,267023,58.49559605597271,0.18452915247514376,0.405323330245853
282,267763,295.4866040401582,0.18819816545820564,0.5349196070136948
283,268484,458.55843253974984,0.18913587343455593,0.5466501697244707
284,260069,163.28348538243395,0.17768456088089202,2.4678770026219787
285,241550,309.52707858016413,0.13566189091023712,2.384329020171096
286,226434,461.88235656909006,0.11595506617350967,9.00624776930622
287,206169,328.1026248128339,0.03962919398279655,1.7594121514747854
288,196067,395.7360053981017,0.055937311442710046,0.3300335247048033
289,186533,403.923320457698,0.06806372677695294,0.20990384464733564
290,180664,531.6008459022866,0.07745410641174655,0.8310071705883251
291,179434,409.44436282676685,0.08647868134604679,1.4379177358396191
292,175945,344.1226269847607,0.09465678214564664,1.2541434284891997
293,167729,518.0502052898527,0.10222087984395699,3.062139812296751
294,153521,2448.7340190370214,0.10932920575594304,9.432635656972373
295,131145,5900.390268137938,0.04082399684098058,27.127039383742506
296,73694,2858.3098643463436,0.03963574422203116,6.22997610500729
297,33870,2020.7994518697978,0.07835827587621981,0.8349417569608549
298,19314,1753.4200564314497,0.08443113276903225,1.3264389480251981
299,19178,1593.98547414729,0.4378856775054793,0.5456113570028998
300,15415,1059.1468608227426,0.42734936178103394,0.6947745978701652
301,14520,1022.3908389080509,0.500757494763204,1.7133710086926266
302,15381,1335.6296001343371,0.1629528435740563,2.87158285148039
303,19241,1399.3882589195669,0.9053916961088189,0.4158347857118073
304,25016,1370.9186731781153,0.9537022674587613,0.3461932832934324
305,16782,920.4425130209986,0.9036009855564636,0.6894462219811035
306,14977,1329.3381768964643,0.5681915550491792,0.9357250959027564
307,16418,933.3938587274208,0.5782785078132159,0.8753778359191516
308,14863,1085.45735272521,0.522847653241143,1.615757581910364
309,18398,937.6227530155965,0.9649304712909622,0.37518456299236
310,15991,1043.8522100214034,0.6883042035013899,0.7770969656826592
311,18110,1538.2010306774748,0.5844730500643391,2.9686709490501073
312,19849,1303.1515218751497,0.9749700003827884,0.21361429691173367
313,23944,679.4348680930585,0.9973933605157964,0.06599606152045638
314,17753,980.6845687264829,0.9540270741008909,0.40421298779888476
315,19806,1389.0533928922187,1.0,0.09925092528859437
316,24696,1976.2403624063047,1.0,0.09650341608718462
317,29977,1226.0647443262208,1.0,0.11818094021005938
318,26561,1552.2749381483006,1.0,0.6639344670473672
319,31141,2231.5995062340917,1.0,0.47557791221900103
320,34636,1622.9635970246547,1.0,0.2825496110157674
321,33365,1463.9317586670131,1.0,0.2965601523640722
322,28338,1238.7064116077156,1.0,0.48604706930927105
323,23503,1336.044019196979,1.0,0.7763983686812976
