step,n_particles,max_u,min_sr,max_dtZ
0,0,0.0,NaN,NaN
1,0,0.0,NaN,NaN
2,430,2.762584800520345,1.0,0.0005001659280667478
3,866,3.1772947677463654,1.0,0.0020250800578619386
4,1300,3.776644781937299,0.9991143621689927,0.002966943447312451
5,1740,4.45735252739453,0.9971598691496163,0.003979716720587104
6,2190,5.1764363248074545,0.9950186441000118,0.0050977238385501705
7,2654,5.898185044135479,0.9931130045949862,0.0064740378973583
8,3126,6.566906214385973,0.9892836389519081,0.008115347310719032
9,3618,7.268471699540732,0.9828684436667084,0.009524163762862439
10,4126,7.817665032533622,0.9779117888121183,0.010983250586755977
11,4650,8.255792035754467,0.9732034815529609,0.012015793706293632
12,5194,8.622620832769474,0.9688497383619401,0.01269985783592755
13,5758,8.949938907788141,0.9652961999155232,0.014182169989317692
14,6344,9.266797202719413,0.9635333202934299,0.016415291601979527
15,6952,9.586309343795389,0.9627568856130129,0.013579970469563385
16,7582,9.912124959521563,0.9628893285621939,0.013738901753352068
17,8238,10.23889977542918,0.9636605687081108,0.0139807302578758
18,8924,10.748144039331063,0.9648168013766129,0.01434206691303799
19,9632,13.727873539769044,0.9662323596416952,0.014690637345278533
20,10366,14.79902182187601,0.9676751930107883,0.015047929869909934
21,11122,11.798310256576416,0.9678062024885752,0.015835989655371783
22,11898,12.107549741762135,0.9607522198026518,0.016156597524532804
23,12690,12.39236428080938,0.9525665426822649,0.016400282818346056
24,13516,12.651477370044557,0.9462824201894484,0.0165523862984334
25,14363,15.513798609166706,0.9417181524756367,0.01655998657572084
26,15245,18.939357920406152,0.9384606432453948,0.016825397158480918
27,16146,19.320634643681334,0.9360799016787086,0.018818019509336543
28,17065,17.573123085638617,0.9342233968487085,0.023252999138475998
29,18009,15.883853206042208,0.932713002498664,0.02060057000609718
30,18967,15.899091947003546,0.9244912081701336,0.025128759248762338
31,19942,24.827528854402697,0.916027120683946,0.029493315823700485
32,20931,25.798200221193714,0.9089397685943258,0.031752183515608656
33,21938,28.109583079311978,0.9057509774172768,0.03382957195382847
34,22948,30.789774130067716,0.9095564993616573,0.03083205140077842
35,23969,32.21566901893763,0.9179893335960886,0.034655266873596845
36,25002,30.75462189891914,0.9239894745823618,0.03980249630666897
37,26036,29.434693088664876,0.9243231040806843,0.04082216502439762
