# row axial thickness
1 -6.3998986930450652e+00 6.6867548709901738e+00
2 -6.4618984749793160e+00 6.6894157857300769e+00
3 -6.6040362103039083e+00 6.6929758184805754e+00
4 -6.7367079320349834e+00 6.6831301821029916e+00
5 -6.7766691932791883e+00 6.6770216260450796e+00
6 -6.9617289540837248e+00 6.7203681552498775e+00
7 -7.0264420896384818e+00 6.8633239901479648e+00
8 -7.0035121704560828e+00 6.9163398183352678e+00
9 -5.6809177482526696e+00 6.6567147131951634e+00
10 -5.7705590053198046e+00 6.6571039141179993e+00
11 -5.8712048790798317e+00 6.6587917282684810e+00
12 -6.0337860110374395e+00 6.6654927384798395e+00
13 -6.0701214257006706e+00 6.6676054539047147e+00
14 -6.7633399663605029e+00 6.6748886222425865e+00
15 -6.6956877386960079e+00 7.1214968374510086e+00
16 -6.8374999308107371e+00 7.0484668376398236e+00
17 -6.8258379531136395e+00 7.0568549353534777e+00
18 -6.9514615034444027e+00 6.9686857437102452e+00
19 -4.9775024104321242e+00 6.6468328222649209e+00
20 -5.0452314453384677e+00 6.6485168638217509e+00
21 -5.1705212864131394e+00 6.6507808640261663e+00
22 -5.3097709610371950e+00 6.6535289131573849e+00
23 -5.3657714835599180e+00 6.6547342853446763e+00
24 -5.8112499068235657e+00 6.6581942233424023e+00
25 -6.0474275539741145e+00 6.6665290535878663e+00
26 -6.3226124188358170e+00 7.2914882831549743e+00
27 -6.3434501146691673e+00 7.2830170504957827e+00
28 -6.4859382126029015e+00 7.2276094759775029e+00
29 -4.0863215316671635e+00 6.6090751683237645e+00
30 -4.2559833238967553e+00 6.6180987463484575e+00
31 -4.3417557360164167e+00 6.6224514266409207e+00
32 -4.4561355983534723e+00 6.6279449181271035e+00
33 -4.5990574988980768e+00 6.6346891754020287e+00
34 -4.6549599749380697e+00 6.6372708667766318e+00
35 -5.8953707605132024e+00 7.4403246934027072e+00
36 -5.9786943665024097e+00 7.4184040957279347e+00
37 -6.1262969675035066e+00 7.3736663136759821e+00
38 -6.3362222792714187e+00 7.2871194156198618e+00
39 -3.3116449599759159e+00 6.5551568960418622e+00
40 -3.4106971870339300e+00 6.5639721221412781e+00
41 -3.5207512570419635e+00 6.5731875115345009e+00
42 -3.6573076878896194e+00 6.5835827981373685e+00
43 -3.7254574525631332e+00 6.5883643132084702e+00
44 -3.9083844857703807e+00 6.5998419969828968e+00
45 -3.9283734960890162e+00 6.6010071294358372e+00
46 -5.3892584298020303e+00 7.5275173968216365e+00
47 -5.5476496156718351e+00 7.5021852664910558e+00
48 -5.6544185214037785e+00 7.4845749111894317e+00
49 -5.7216294448533809e+00 7.4731442826270316e+00
50 -5.9506347427877744e+00 7.4267992596365726e+00
51 -2.5163992619767419e+00 6.4812879327090789e+00
52 -2.5528630223479785e+00 6.4856800112179309e+00
53 -2.7558589727306271e+00 6.5056919067424781e+00
54 -2.7629952119693839e+00 6.5063392423967166e+00
55 -2.9896556319342134e+00 6.5266231985549696e+00
56 -2.9729303803893901e+00 6.5252054234760841e+00
57 -2.9994014318235025e+00 6.5274962585428060e+00
58 -3.2205821117244509e+00 6.5467126547734624e+00
59 -3.1800957824765894e+00 6.5430562303105155e+00
60 -3.4511523843942875e+00 6.5674441289814078e+00
61 -3.6822841658011396e+00 6.5856094982235227e+00
62 -3.9161955534553208e+00 6.6002839955658574e+00
63 -4.8152722267919312e+00 7.5531999764106912e+00
64 -4.9156364464214013e+00 7.5540558187691698e+00
65 -5.0950059930819336e+00 7.5483790523637602e+00
