cell,x,y,z,rA,rB,phi_tr,phi_sigma_fw,err4a,is_te_upper,is_te_lower
1,0.30297290962958634,-0.5825066666666667,-0.018048304958273784,0.002548150650810155,-2.220446049250313e-16,0.0036631201230387747,-0.004756982687664224,0.00031502835362155063,0,1
2,0.30185051676777963,-0.5554133333333333,-0.018160860633162218,0.003873384708198313,-2.1094237467877974e-15,0.0011943051686876022,-0.008653954127371577,0.0010212452043648849,0,0
3,0.2974112652741312,-0.5825066666666667,-0.018590078058503712,0.007050963193876214,-1.5543122344752192e-15,-0.00413737655343484,-0.016360622166701533,0.00027342325220719096,0,0
4,0.2940944066422895,-0.5554133333333333,-0.018906739808956765,0.008621365626513722,-2.6645352591003757e-15,-0.009029209560453137,-0.02270430769419196,0.0010082273887689862,0,0
5,0.2854145277597574,-0.5825066666666667,-0.019687871800114446,0.01095212197425166,-9.992007221626409e-16,-0.01154534097330469,-0.026493905406213658,-5.377793471892517e-5,0,0
6,0.2800515075090671,-0.5554133333333333,-0.020152342040819074,0.011770497186696538,2.220446049250313e-15,-0.016336096243619858,-0.03187703291755284,0.0008174272026224422,0,0
7,0.26751806681517887,-0.5825066666666667,-0.02115324363305271,0.013251622769951732,-1.1102230246251565e-16,-0.015526412380125471,-0.03156540545789477,-0.00028166776920218045,0,0
8,0.260347646371981,-0.5554133333333333,-0.021689674984581714,0.01384201195207968,6.661338147750939e-16,-0.019451168728727753,-0.035806788409385115,0.0006895065836097988,0,0
9,0.24451728777100037,-0.5825066666666667,-0.02275386739601546,0.014335806967375464,-3.3306690738754696e-15,-0.017108497577149055,-0.03320027634363654,-0.0003900800526254744,0,0
10,0.2358573496132177,-0.5554133333333333,-0.023281628455920203,0.015230112896093106,-1.1102230246251565e-15,-0.019993939565210412,-0.03668906696712637,0.0005735706594505174,0,0
11,0.21743090311950256,-0.5825066666666667,-0.024248659992596774,0.014783723654286596,-1.9984014443252818e-15,-0.01714613715111242,-0.03286873228092957,-0.0003855791078531262,0,0
12,0.20766439478357013,-0.5554133333333333,-0.024687930469368603,0.016070290203022863,-3.9968028886505635e-15,-0.019083911883174026,-0.03580837020605521,0.0004532408969423335,0,0
13,0.1874566524699967,-0.5825066666666667,-0.025395235613478728,0.014976007024211868,7.771561172376096e-16,-0.01610971722709573,-0.03139811815793658,-0.00032321242652954066,0,0
14,0.17701541849235572,-0.5554133333333333,-0.025663270280817024,0.01652747527426779,3.3306690738754696e-16,-0.017249426749179585,-0.03382618430308659,0.0003494571397155838,0,0
15,0.15592075284740697,-0.5825066666666667,-0.02593766271817903,0.015108967255125949,-5.551115123125783e-17,-0.014247829565987698,-0.02919700350742327,-0.0002468981185837424,0,0
16,0.14526732118009925,-0.5554133333333333,-0.02594402048820274,0.01678833975048108,2.7755575615628914e-17,-0.014710493162025228,-0.031103844902294703,0.00027467879778581006,0,0
17,0.12422118008598422,-0.5825066666666667,-0.02560185004794062,0.015299376794253028,5.551115123125783e-17,-0.0116800118638362,-0.02646609126794975,-0.00017530900742218636,0,0
18,0.11382847065917695,-0.5554133333333333,-0.025253321837654788,0.0170163081277417,-5.551115123125783e-17,-0.011548334451317655,-0.027843910546780523,0.00022749979827799832,0,0
19,0.09376521969627272,-0.5825066666666667,-0.024124690297555654,0.0156272545754369,7.216449660063518e-16,-0.00846769251154262,-0.023315904689924782,-0.00011220421048236534,0,0
20,0.08409467816017575,-0.5554133333333333,-0.02334458696774235,0.0173274553366769,-1.7763568394002505e-15,-0.007802652888916378,-0.024167873000551232,0.0002000626858548113,0,0
21,0.06590368880322851,-0.5825066666666667,-0.021319851918052787,0.01613538841026063,-2.7755575615628914e-15,-0.00466983044513704,-0.019823315429577715,-5.471041353287409e-5,0,0
22,0.057383240982378216,-0.5554133333333333,-0.020075220198176525,0.017779696090386543,-3.885780586188048e-15,-0.003527405180591673,-0.02016162974681135,0.00018263140710912673,0,0
23,0.04186667943867567,-0.5825066666666667,-0.017152242954226425,0.01682027363720562,4.440892098500626e-16,-0.00037124983995038294,-0.01605096110155313,3.7128865754514073e-6,0,0
24,0.034870565715823414,-0.5554133333333333,-0.01547389743015259,0.018377624308795637,-2.4424906541753444e-15,0.001192212185955431,-0.015896439224039938,0.00016457979061106423,0,0
25,0.022706923852331116,-0.5825066666666667,-0.01177605937217759,0.017635340951405176,2.220446049250313e-16,0.00432384998960194,-0.01204330206232851,7.169093338628418e-5,0,0
26,0.017539395711691073,-0.5554133333333333,-0.009756566838276429,0.019099966527803547,-6.8833827526759706e-15,0.006260471586281666,-0.011434211312811193,0.00013799518083003684,0,0
27,0.009255828367759154,-0.5825066666666667,-0.00550208328067262,0.018518767777683465,-5.329070518200751e-15,0.009330307825046947,-0.007814781047760011,0.00015125198019227612,0,0
28,0.0061397891644672745,-0.5554133333333333,-0.0032670922569699745,0.019944017755024523,-4.440892098500626e-16,0.01162140760606057,-0.0068199203988155155,0.00011024496764384245,0,0
29,0.002094133030628812,-0.5825066666666667,0.0013047935426423762,0.019437030528518306,1.1102230246251565e-15,0.014640906888518672,-0.003332951834109421,0.00022661592934436654,0,0
30,0.0011645161000822292,-0.5554133333333333,0.0036416883185520802,0.020939461696382722,-2.886579864025407e-15,0.017324799921838066,-0.0020276830616992036,0.00010890934513881761,0,0
31,0.0028023845448265266,-0.5825066666666667,0.010303982286744397,0.020969390455720438,-4.218847493575595e-15,0.022097818374827723,0.002689726295357131,0.00025195063007408397,0,0
32,0.0015186418571810864,-0.5554133333333333,0.008141282690603092,0.021434132674595485,-4.440892098500626e-15,0.021230784878070154,0.0014325795755729676,1.756763740788994e-5,0,0
33,0.010940737662654765,-0.5825066666666667,0.01590671918215479,0.022010761916985366,0.0,0.02758914056566356,0.007192317884634258,0.0002238261817844346,0,0
