eta,y,dmu_marched,dmu_A,dmu_Aprime,Cphi_tr,D1_measured_deficit,D2_A_minus_Aprime,D3_Aprime_minus_marched,D4_negCphi,D5_eq3,E1_composite,E2_pot_vs_sigma,E2a_P5,E2b_P1P2,E1_geom,E1_rest
-0.9555555555555556,-0.5825066666666667,-2.3624948023070917,-2.534979956761582,-2.4134553853890033,0.007758946280745017,-0.17248515445449009,-0.12152457137257855,-0.05096058308191154,-0.007758946280745017,-0.03271538545271346,-0.024505943082631664,-0.14797921137182085,-0.09271460319364706,-0.05526460817817373,-0.023976477835658736,-0.0005294652469728916
-0.8222222222222223,-0.5012266666666667,-3.4646333127915163,-3.7384984526985163,-3.549347737299782,0.012184652478430095,-0.273865139907,-0.18915071539873418,-0.08471442450826583,-0.012184652478430095,-0.05271030900551055,-0.024507479065236096,-0.2493576608417333,-0.15395933928140954,-0.09539832156032363,-0.02372370895409872,-0.0007837701111372006
-0.6888888888888889,-0.4199466666666667,-4.114839680091593,-4.459575553190937,-4.221059660814786,0.014888640944261924,-0.34473587309934395,-0.23851589237615034,-0.10621998072319361,-0.014888640944261924,-0.06527876048666917,-0.021790638953757872,-0.322945234145522,-0.19793356170499873,-0.12501167244052372,-0.020852255636932535,-0.0009383833168252298
-0.5555555555555556,-0.33866666666666667,-4.533947805231354,-4.930735193841736,-4.65442850574302,0.0166499337387592,-0.3967873886103819,-0.2763066880987157,-0.12048070051166615,-0.0166499337387592,-0.07355272512418871,-0.019339995968894224,-0.3774473926415266,-0.2302897137691834,-0.14715767887234424,-0.018299182685429613,-0.0010408132834643538
-0.42222222222222217,-0.25738666666666665,-4.812228127371642,-5.247347950324588,-4.942341318056018,0.017827578317476334,-0.43511982295294604,-0.3050066322685705,-0.13011319068437555,-0.017827578317476334,-0.07911044556574882,-0.017521673208971945,-0.417598149743693,-0.25400137004766743,-0.16359677969602635,-0.016411181889260554,-0.0011104913197109213
-0.28888888888888886,-0.17610666666666666,-4.994427800049999,-5.456949296560006,-5.130960468720163,0.01860477340938401,-0.46252149651000707,-0.3259888278398426,-0.13653266867016445,-0.01860477340938401,-0.08278950926430934,-0.0162952880586627,-0.4462262084510606,-0.27081007071102037,-0.17541613774003995,-0.015138183254111228,-0.0011571048045519573
-0.15555555555555556,-0.09482666666666667,-5.104419824280944,-5.585053872999784,-5.244950382711465,0.01908078022566584,-0.48063404871883986,-0.34010349028831843,-0.14053055843052142,-0.01908078022566584,-0.08505225595719468,-0.015582633834199148,-0.46505141488462587,-0.2817603069949538,-0.18329110788967257,-0.014396774427393972,-0.001185859406803946
-0.022222222222222223,-0.013546666666666667,-5.154519531067465,-5.64489339907889,-5.2970538956109126,0.019307782654861737,-0.49037386801142446,-0.3478395034679771,-0.14253436454344737,-0.019307782654861737,-0.08614455737036558,-0.015332797686346242,-0.47504107032504767,-0.28743192410020824,-0.1876091462248398,-0.01413334361178602,-0.001199454074558562
0.11111111111111109,0.06773333333333333,-5.149311131079698,-5.641411074509577,-5.292035709537458,0.019306498897948565,-0.49209994342987873,-0.3493753649721185,-0.1427245784577602,-0.019306498897948565,-0.0861655588196636,-0.015532165118780559,-0.47656777831135655,-0.2880413555705625,-0.18852642274079318,-0.01433327769912398,-0.0011988874196554203
0.24444444444444444,0.14901333333333333,-5.086812575461865,-5.57246648332773,-5.2278880599454745,0.0190713011767588,-0.48565390786586526,-0.34457842338225575,-0.14107548448360951,-0.0190713011767588,-0.08509092701282851,-0.016207376984244366,-0.46944653088154514,-0.28346573886664395,-0.18598079201490159,-0.015023679165659647,-0.0011836978185815323
0.3777777777777777,0.2302933333333333,-4.9576596243392785,-5.427952490633354,-5.094998321738575,0.01856766411952554,-0.4702928662940753,-0.332954168894779,-0.13733869739929627,-0.01856766411952554,-0.08276107377836803,-0.017431360727142634,-0.45286150556667115,-0.2731984200279639,-0.17966308553870738,-0.01627958198766005,-0.001151778739480175
0.5111111111111111,0.3115733333333333,-4.741689623673185,-5.186154925407812,-4.872644545341879,0.017719951790197797,-0.4444653017346267,-0.31351038006593246,-0.13095492166869427,-0.017719951790197797,-0.07882484517485816,-0.019331695685938476,-0.4251336060483476,-0.25620678794929796,-0.16892681809904958,-0.01823306536324021,-0.0010986303226962557
0.6444444444444444,0.39285333333333333,-4.399068715267493,-4.80429770614059,-4.519891429223224,0.016379756739473117,-0.4052289908730966,-0.2844062769173652,-0.12082271395573141,-0.016379756739473117,-0.07259356946487727,-0.022076550776648454,-0.3831524400958565,-0.23058588941452973,-0.15256655068132713,-0.02106113452177759,-0.0010154162548695
0.7777777777777778,0.47413333333333335,-3.8452165264700255,-4.191708986217219,-3.9498790292147063,0.014239344514496682,-0.34649245974719367,-0.24182995700251286,-0.10466250274468081,-0.014239344514496682,-0.06264192877036398,-0.02566257639555707,-0.32082988335107604,-0.19262178707641575,-0.12820809627466018,-0.02477914299264767,-0.0008834334029085634
0.911111111111111,0.5554133333333333,-2.8516539544446773,-3.1029122536392104,-2.928299847972968,0.010521378300300805,-0.25125829919453313,-0.1746124056662426,-0.07664589352829054,-0.010521378300300805,-0.04535502332643352,-0.02809357003803653,-0.22316472915631413,-0.13324988853447195,-0.08991484062184253,-0.027441590717504863,-0.0006519793205310416
