solver,nps,AOA,CL,CD,t_build,t_solve,total_time
BackslashCoupled,15152,-9.58790170132325,-0.27614387929456824,0.01633361761736021,12.9592896,38.7903568,51.749646399999996
BackslashCoupled,15152,-7.841209829867704,-0.1493304988624841,0.011364183771527068,12.336363,38.6356295,50.9719925
BackslashCoupled,15152,-5.988657844990541,-0.01354119440172026,0.008271405313708352,12.2582094,38.4727773,50.730986699999995
BackslashCoupled,15152,-4.136105860113403,0.12332902813426767,0.007503814734854892,11.9268749,39.6081021,51.534977000000005
BackslashCoupled,15152,-2.3894139886577754,0.25314551522884426,0.008976870225209894,12.3022903,38.7198607,51.022150999999994
BackslashCoupled,15152,-0.536862003780719,0.3914120356323703,0.012928597409390275,11.9185022,38.5212321,50.4397343
BackslashCoupled,15152,1.3156899810964084,0.5300419240362563,0.019388809400326397,12.6069937,38.3897592,50.996752900000004
BackslashCoupled,15152,3.168241965973529,0.668793910593692,0.028394307658200238,11.9495506,39.0603983,51.009948900000005
BackslashCoupled,15152,5.02079395085066,0.8074266899044176,0.039968579254760925,12.2990298,38.951776,51.2508058
BackslashCoupled,15152,6.926275992438619,0.9496401620168039,0.05456370831730427,12.3492412,38.5310363,50.8802775
BackslashCoupled,15152,8.672967863894144,1.0794388400810904,0.0703351267903739,12.3909237,38.6088047,50.9997284
BackslashCoupled,15152,10.472589792060482,1.2123927434286637,0.08896209743187554,12.2838172,38.8238552,51.1076724
BackslashCoupled,15152,12.325141776937613,1.348221035557703,0.11062927356998499,12.1957506,38.7308656,50.9266162
BackslashCoupled,15152,14.230623818525515,1.4866084102043002,0.13550971396795453,12.1786139,38.2529337,50.4315476
BackslashCoupled,15152,15.077504725897917,1.5476219712828958,0.14739704839109535,12.262122,39.1632921,51.4254141
BackslashCoupled,15152,16.400756143667294,1.6422799368688603,0.1669727013225991,12.2600823,38.9933182,51.2534005
BackslashIterative,15152,-9.58790170132325,-0.2814328948495367,0.01810567922043693,589.0592449000005,0.0,589.0592449000005
BackslashIterative,15152,-7.841209829867704,-0.1539617438031941,0.012148085697608762,586.710929,0.0,586.710929
BackslashIterative,15152,-5.988657844990541,-0.017609792973569162,0.00843853235967592,573.1386272999996,0.0,573.1386272999996
BackslashIterative,15152,-4.136105860113403,0.11971263727647015,0.00747606133028267,883.0474675000002,0.0,883.0474675000002
BackslashIterative,15152,-2.3894139886577754,0.24985395002482094,0.009131012790327252,985.0535849000005,0.0,985.0535849000005
BackslashIterative,15152,-0.536862003780719,0.38834358610190456,0.013639943174895785,952.9821664000001,0.0,952.9821664000001
BackslashIterative,15152,1.3156899810964084,0.5270520446319088,0.021006012339350354,936.5562184,0.0,936.5562184
BackslashIterative,15152,3.168241965973529,0.6657167545599473,0.031236814671326635,3067.9103992999994,0.0,3067.9103992999994
BackslashIterative,15152,5.02079395085066,0.8040760018329414,0.0443243559074896,1251.8116891000002,0.0,1251.8116891000002
BackslashIterative,15152,6.926275992438619,0.9457946235827871,0.06074116491231866,514.9505358000001,0.0,514.9505358000001
BackslashIterative,15152,8.672967863894144,1.0749353137741189,0.07838642185600185,498.4423772000003,0.0,498.4423772000003
BackslashIterative,15152,10.472589792060482,1.2069956149264711,0.0991150758546854,504.79373149999975,0.0,504.79373149999975
BackslashIterative,15152,12.325141776937613,1.3416668001798917,0.12309183168716678,489.38490580000035,0.0,489.38490580000035
BackslashIterative,15152,14.230623818525515,1.4786072236464403,0.15046373763473095,487.4002226,0.0,487.4002226
BackslashIterative,15152,15.077504725897917,1.5388934387649513,0.1634856726876068,487.2840621,0.0,487.2840621
BackslashIterative,15152,16.400756143667294,1.6323112707473053,0.18485641795273391,489.6922946,0.0,489.6922946
BackslashIterative,42636,-9.58790170132325,-0.28419545364666177,0.008739914558358855,6901.7881174,0.0,6901.7881174
BackslashIterative,42636,-7.841209829867704,-0.1511964370282225,0.004630817117394669,12302.169736300006,0.0,12302.169736300006
BackslashIterative,42636,-5.988657844990541,-0.009020953618853893,0.0025475474830005634,4572.9615152,0.0,4572.9615152
BackslashIterative,42636,-4.136105860113403,0.13400314617205497,0.0028551887403643647,9188.060008300003,0.0,9188.060008300003
BackslashIterative,42636,-2.3894139886577754,0.2694183911866355,0.005367374684225686,4054.405620200001,0.0,4054.405620200001
BackslashIterative,42636,-0.536862003780719,0.4134422949668441,0.01041328645496117,4076.5740830999976,0.0,4076.5740830999976
BackslashIterative,42636,1.3156899810964084,0.5576822571632483,0.017927543831681263,3957.373099399999,0.0,3957.373099399999
BackslashIterative,42636,3.168241965973529,0.7019207683805285,0.02791704907856551,3965.968349499999,0.0,3965.968349499999
BackslashIterative,42636,5.02079395085066,0.8459465615591436,0.0403781954204624,3968.9901426999977,0.0,3968.9901426999977
BackslashIterative,42636,6.926275992438619,0.9936743990140285,0.055762418670795795,3961.631319700003,0.0,3961.631319700003
