solver,nps,AOA,CL,CD,t_build,t_solve,total_time
KrylovCoupled,5692,-7.841209829867704,-0.19985455722729956,0.015683829816888824,7.0e-7,49.7186974,49.718698100000005
KrylovCoupled,5692,-5.988657844990541,-0.03897053339404304,0.010820608855547899,1.0e-6,49.2196317,49.2196327
KrylovCoupled,5692,-4.136105860113403,0.12199249845776829,0.008440224122725251,6.0e-7,49.1411844,49.141185
KrylovCoupled,5692,5.02079395085066,0.9276616818076865,0.037517100211418394,7.0e-7,48.8565175,48.856518200000004
KrylovCoupled-FMM,5692,-7.841209829867704,-0.19985455722729956,0.015683829816888824,4.0e-7,42.7888273,42.7888277
KrylovCoupled-FMM,5692,-5.988657844990541,-0.03897053339404304,0.010820608855547899,9.0e-7,43.2385427,43.23854360000001
KrylovCoupled-FMM,5692,-4.136105860113403,0.12199249845776829,0.008440224122725251,6.0e-7,42.8398397,42.8398403
KrylovCoupled-FMM,5692,5.02079395085066,0.9276616818076865,0.037517100211418394,6.0e-7,42.7285855,42.7285861
KrylovCoupled,10176,-7.841209829867704,-0.20175375271156146,0.013553083612571556,8.0e-7,97.936957,97.9369578
KrylovCoupled,10176,-5.988657844990541,-0.038174609595486506,0.009121042140113037,6.0e-7,96.8771061,96.87710670000001
KrylovCoupled,10176,-4.136105860113403,0.1279499420878781,0.007497866494195754,5.0e-7,96.536633,96.5366335
KrylovCoupled,10176,5.02079395085066,1.0033120873253945,0.038498830210189246,7.0e-7,98.449655,98.44965570000001
KrylovCoupled-FMM,10176,-7.841209829867704,-0.20175375271156146,0.013553083612571556,5.0e-7,97.1731287,97.1731292
KrylovCoupled-FMM,10176,-5.988657844990541,-0.038174609595486506,0.009121042140113037,6.0e-7,99.0454137,99.0454143
KrylovCoupled-FMM,10176,-4.136105860113403,0.1279499420878781,0.007497866494195754,6.0e-7,96.0580537,96.05805430000001
KrylovCoupled-FMM,10176,5.02079395085066,1.0033120873253945,0.038498830210189246,5.0e-7,96.4605584,96.4605589
KrylovCoupled,22432,-7.841209829867704,-0.2401434234328975,0.00867574329133825,5.0e-7,212.2008133,212.2008138
KrylovCoupled,22432,-5.988657844990541,-0.05513330533739974,0.006160613540752967,6.0e-7,212.935299,212.93529959999998
KrylovCoupled,22432,-4.136105860113403,0.14020725642456755,0.005459422469480505,5.0e-7,223.5706837,223.5706842
KrylovCoupled,22432,5.02079395085066,1.0396127982079149,0.034538539294225706,5.0e-7,214.0124231,214.0124236
KrylovCoupled-FMM,22432,-7.841209829867704,-0.2401434234328975,0.00867574329133825,7.0e-7,215.4355326,215.43553329999997
KrylovCoupled-FMM,22432,-5.988657844990541,-0.05513330533739974,0.006160613540752967,4.0e-7,215.6884208,215.6884212
KrylovCoupled-FMM,22432,-4.136105860113403,0.14020725642456755,0.005459422469480505,3.0e-7,214.6120958,214.6120961
KrylovCoupled-FMM,22432,5.02079395085066,1.0396127982079149,0.034538539294225706,6.0e-7,214.4020182,214.40201879999998
KrylovCoupled,25580,-7.841209829867704,-0.15143372652447998,0.01202301062742921,5.9e-6,240.3667553,240.36676119999998
KrylovCoupled,25580,-4.136105860113403,0.12088364846430186,0.007677792142655828,8.0e-7,224.0652778,224.0652786
KrylovCoupled,25580,-0.536862003780719,0.3861117659361324,0.013633878687668475,9.0e-7,219.9112735,219.9112744
KrylovCoupled,25580,3.168241965973529,0.6601834125802278,0.030484010947557493,1.1e-6,222.6949862,222.69498729999998
KrylovCoupled,25580,6.926275992438619,0.9367001800847549,0.05868094834790803,6.0e-7,221.9255081,221.9255087
KrylovCoupled,25580,10.472589792060482,1.1946608989816547,0.09536236412950409,1.0e-6,222.8308406,222.83084159999999
KrylovCoupled,25580,14.230623818525515,1.4630907589365127,0.1445019059696239,1.1e-6,225.7862156,225.78621669999998
KrylovCoupled,25580,16.400756143667294,1.6150877177757093,0.1774537000109159,1.0e-6,218.6306337,218.6306347
KrylovCoupled,33708,-7.841209829867704,-0.14945185787064832,0.007948709013343321,1.0e-6,359.3880421,359.3880431
KrylovCoupled,33708,-4.136105860113403,0.13292195799698628,0.0054528650944530915,6.0e-7,358.0854129,358.0854135
KrylovCoupled,33708,-0.536862003780719,0.40459105571599946,0.012198978092482873,8.0e-7,703.7095002,703.7095009999999
KrylovCoupled,33708,3.168241965973529,0.6866217256903995,0.0288667781938224,1.3e-6,695.3081879,695.3081892
KrylovCoupled,33708,6.926275992438619,0.9716949443075282,0.055902056499342524,1.2e-6,706.1640953,706.1640965
KrylovCoupled,33708,10.472589792060482,1.2379563755168623,0.09064418303976893,5.0e-7,702.3364795,702.33648
KrylovCoupled,33708,14.230623818525515,1.5156546883385387,0.13697650034822456,9.0e-7,706.2634348,706.2634357000001
KrylovCoupled,33708,16.400756143667294,1.6733152406845724,0.1680298581497133,1.2e-6,687.7379495,687.7379507
KrylovCoupled-FMM,25580,-7.841209829867704,-0.15143372652447998,0.01202301062742921,5.0e-7,236.7836469,236.7836474
KrylovCoupled-FMM,25580,-0.536862003780719,0.3861117659361324,0.013633878687668475,8.0e-7,224.9122551,224.91225590000002
KrylovCoupled-FMM,25580,6.926275992438619,0.9367001800847549,0.05868094834790803,6.0e-7,202.6653056,202.6653062
KrylovCoupled-FMM,25580,14.230623818525515,1.4630907589365127,0.1445019059696239,5.0e-7,278.9185189,278.9185194
KrylovCoupled-FMM,33708,-7.841209829867704,-0.14945185787064832,0.007948709013343321,7.0e-7,310.3325058,310.33250649999997
KrylovCoupled-FMM,33708,-0.536862003780719,0.40459105571599946,0.012198978092482873,4.0e-7,310.3062147,310.3062151
KrylovCoupled-FMM,33708,6.926275992438619,0.9716949443075282,0.055902056499342524,4.0e-7,309.8678712,309.8678716
KrylovCoupled-FMM,33708,14.230623818525515,1.5156546883385387,0.13697650034822456,4.0e-7,312.4742861,312.47428649999995
