AOA,CL,CD,t_build,t_solve
BackslashCoupled
-9.58790170132325,-0.25632798523787365,0.020020491564017872,1.5767279,0.0316421
-7.841209829867704,-0.13925874293557527,0.013267546286176024,1.4318341,0.0055233
-5.988657844990541,-0.014350031612522395,0.008982937913277806,1.577079,0.0079057
-4.136105860113403,0.11113312187206105,0.007698081699942101,1.4638893,0.0067813
-2.3894139886577754,0.22981744786029643,0.009262602827702004,1.5281585,0.005634
-0.536862003780719,0.35593381474833996,0.013891195623994677,1.6035125,0.0057148
1.3156899810964084,0.4821337331007181,0.02159606829126456,1.6270084,0.0056407
3.168241965973529,0.6082416190475545,0.032389321739195696,1.5470328,0.005913
5.02079395085066,0.7340692566302112,0.04627306498967256,1.5053608,0.0063484
6.926275992438619,0.8629884443513409,0.06376757521998264,1.5974775,0.0065058
8.672967863894144,0.9805220557182044,0.0826469134726186,1.5729242,0.0057636
10.472589792060482,1.1007762029832375,0.10490973725489904,1.8342525,0.0133067
12.325141776937613,1.2234630578366437,0.13076042578773828,1.9885182,0.0088082
14.230623818525515,1.3482533773467307,0.16038789650511295,1.7337348,0.0136526
15.077504725897917,1.4031966344640867,0.1745233674085266,1.7207483,0.005608
16.400756143667294,1.4883380454337083,0.19777565283508558,1.7886835,0.0091591
18.465028355387517,1.619266644344796,0.23681165539857443,1.6213019,0.0066551
BackslashCoupled
-9.58790170132325,-0.25580125738559906,0.020446544562926567,3.1424804,0.0576684
-7.841209829867704,-0.13880043741120432,0.013700762110180493,3.2008147,0.0092197
-5.988657844990541,-0.013959449408824435,0.009420203327065408,2.4850481,0.0092243
-4.136105860113403,0.11146619396290039,0.008136591118350595,2.6259347,0.0081598
-2.3894139886577754,0.23010775331737487,0.009700708123142835,2.6954653,0.0081892
-0.536862003780719,0.3561896856945736,0.014328033484127282,3.3256512,0.0144614
1.3156899810964084,0.4823629406858447,0.022031198421343885,2.5419413,0.0082663
3.168241965973529,0.6084475328755424,0.0328222753684825,2.5568417,0.009503
5.02079395085066,0.7342509552844992,0.04670296542934052,2.528008,0.008088
6.926275992438619,0.8631404436019185,0.06419271677933834,2.4937549,0.0082127
8.672967863894144,0.9806399837843728,0.08306550086376271,2.444992,0.0086551
10.472589792060482,1.1008503755211556,0.10531857995453836,2.5318392,0.0088186
12.325141776937613,1.2234818120964581,0.13115522268020113,2.4233066,0.0087832
14.230623818525515,1.3482034413570292,0.16076311153868897,2.5549288,0.0137539
15.077504725897917,1.4031122867891161,0.1748879809452131,2.4919565,0.0082074
16.400756143667294,1.4881951481481943,0.19812112842586058,2.5164014,0.0086162
18.465028355387517,1.619020945557857,0.23712045578666024,2.5230375,0.0079721
BackslashIterative
-9.58790170132325,-0.2612264412532242,0.021667929956985514,48.811933700000004,0.2596264000000001
-7.841209829867704,-0.14346749770392586,0.014642799010768981,45.55140430000001,0.25249949999999993
-5.988657844990541,-0.017739250405662255,0.010127452856275719,45.91830399999999,0.23737540000000001
-4.136105860113403,0.10860784846940431,0.0086764763703874,47.15166090000003,0.23766820000000008
-2.3894139886577754,0.22813099993305053,0.010149080073883638,45.98381930000001,0.23452480000000003
-0.536862003780719,0.35515195261106103,0.014753348501637415,45.3757765,0.24026620000000007
1.3156899810964084,0.4822620581225693,0.022512108044594057,47.98059800000001,0.3518103000000001
3.168241965973529,0.6092761894848954,0.033438800812518356,48.8906508,0.35886889999999994
5.02079395085066,0.7359971044617439,0.04753554507842826,48.63268200000002,0.35524960000000005
6.926275992438619,0.8658128050940722,0.0653310115485555,47.215085800000004,0.36598659999999994
8.672967863894144,0.9841414141383418,0.08455733476842392,47.341063099999985,0.34394610000000003
10.472589792060482,1.105181602178544,0.10724626033501257,47.5294583,0.3527033999999999
12.325141776937613,1.2286366595139606,0.13360493715103194,46.489516600000016,0.3755823000000002
14.230623818525515,1.3541679296334364,0.16382390778236808,48.1176913,0.3502812
15.077504725897917,1.4094230357909303,0.17824337467045412,47.040768,0.36681779999999997
16.400756143667294,1.4950287462693688,0.20196377600465945,46.4447405,0.3589154999999999
18.465028355387517,1.626622393094086,0.2417848832895394,46.566250900000014,0.2743452
BackslashCoupled
-9.58790170132325,-0.2841739384928521,0.02253531268384475,1.2318978,0.0039023
-7.841209829867704,-0.16686645885072043,0.015221801752743472,1.6938135,0.0044421
-5.988657844990541,-0.041558631289169645,0.010347213803231088,1.6741424,0.0101202
-4.136105860113403,0.08446830022499287,0.00848123890315262,1.6039695,0.007818
-2.3894139886577754,0.20380015493808704,0.00950997487930857,1.6560018,0.0096925
-0.536862003780719,0.3307457848106728,0.013587737939743645,1.5917505,0.0083613
1.3156899810964084,0.4579149690947699,0.020764040688219226,1.0588094,0.0058752
3.168241965973529,0.5851202245086454,0.03105447913069344,1.050251,0.0047828
5.02079395085066,0.7121588565785989,0.044463612924864636,1.4320144,0.0047196
6.926275992438619,0.8424267492087278,0.061501052715346415,1.5153042,0.00503
8.672967863894144,0.9612763368879021,0.07999010064040439,1.5321543,0.0045209
10.472589792060482,1.0829559281419032,0.10188033551493841,1.445159,0.0066892
12.325141776937613,1.2071755411868832,0.12737976778894114,1.4260166,0.0069846
14.230623818525515,1.333604685399216,0.15668154928191466,1.738783,0.0056612
15.077504725897917,1.3892951424474067,0.17068435470157947,1.7734339,0.0051241
16.400756143667294,1.4756260252034372,0.19374490485037077,1.6611537,0.0055309
18.465028355387517,1.6084612067819062,0.23252169277899598,1.5819759,0.0059349
BackslashIterative
-9.58790170132325,-0.2916893679780497,0.02351860436266975,26.952250799999998,0.1548408
-7.841209829867704,-0.1734541554996771,0.015846424253592017,27.222526499999997,0.15504150000000005
-5.988657844990541,-0.04708968456196917,0.010666043703900601,26.982895799999994,0.1556707
-4.136105860113403,0.07999727069307294,0.00857497532377067,27.301170499999998,0.16364900000000007
-2.3894139886577754,0.20031378330385533,0.009470964928403883,26.996893800000006,0.15575590000000003
-0.536862003780719,0.32828308662158445,0.013497474122943592,26.743850899999984,0.1554270999999999
1.3156899810964084,0.4564527432970223,0.02071899730118095,26.528225699999997,0.15527970000000002
3.168241965973529,0.5846329766222761,0.031154411243385634,26.11301919999999,0.15352620000000006
5.02079395085066,0.7126173997956117,0.044810383603407174,26.148306500000004,0.1530422
6.926275992438619,0.8438221187199109,0.06220882155933179,26.437551800000005,0.15590069999999992
8.672967863894144,0.9634923378225553,0.08112360430901484,26.6780235,0.15179450000000005
10.472589792060482,1.0859723917298627,0.10354533751543862,25.4678717,0.14590660000000003
12.325141776937613,1.2109604897939532,0.1296867186153131,25.78230999999999,0.14607829999999997
14.230623818525515,1.3381126774115748,0.15974353522644996,25.294211400000002,0.14878149999999996
15.077504725897917,1.3941002631426052,0.17411086245763455,26.791503900000002,0.16010639999999984
16.400756143667294,1.480863190386854,0.19777422707454034,25.358208200000004,0.15009240000000001
18.465028355387517,1.6142883629877731,0.23756540498623324,25.56764420000001,0.1482767BackslashCoupled
-9.58790170132325,-0.25632798523787365,0.020020491564017872,1.2693894,0.0052291
-7.841209829867704,-0.13925874293557527,0.013267546286176024,1.2711396,0.0057463
-5.988657844990541,-0.014350031612522395,0.008982937913277806,1.5676404,0.0073506
-4.136105860113403,0.11113312187206105,0.007698081699942101,1.5531505,0.0061365
-2.3894139886577754,0.22981744786029643,0.009262602827702004,1.5475879,0.0072351
-0.536862003780719,0.35593381474833996,0.013891195623994677,1.6483099,0.0061261
1.3156899810964084,0.4821337331007181,0.02159606829126456,1.6653443,0.0073262
3.168241965973529,0.6082416190475545,0.032389321739195696,1.5042717,0.0054388
5.02079395085066,0.7340692566302112,0.04627306498967256,1.5590174,0.0054708
