step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,4.552710e+00,-
3,0.00092593,9.996384e-01,4.807846e+00,-
4,0.00123457,9.982426e-01,7.214746e+00,-
5,0.00154321,9.962421e-01,8.354424e+00,-
6,0.00185185,9.941037e-01,9.156010e+00,-
7,0.00216049,9.911445e-01,9.943945e+00,-
8,0.00246914,9.885849e-01,1.081293e+01,-
9,0.00277778,9.875577e-01,1.177832e+01,-
10,0.00308642,9.863880e-01,1.282820e+01,-
11,0.00339506,9.846380e-01,1.395085e+01,-
12,0.00370370,9.834051e-01,1.514514e+01,-
13,0.00401235,9.818706e-01,1.528360e+01,-
14,0.00432099,9.805173e-01,1.526540e+01,-
15,0.00462963,9.795691e-01,1.527740e+01,-
16,0.00493827,9.788001e-01,1.532509e+01,-
17,0.00524691,9.765497e-01,1.536146e+01,-
18,0.00555556,9.733890e-01,1.622791e+01,-
19,0.00586420,9.706746e-01,1.749587e+01,-
20,0.00617284,9.681959e-01,1.881742e+01,-
21,0.00648148,9.653166e-01,2.021634e+01,-
22,0.00679012,9.627192e-01,2.165611e+01,-
23,0.00709877,9.604155e-01,2.316062e+01,-
24,0.00740741,9.578833e-01,2.472433e+01,-
25,0.00771605,9.557444e-01,2.633158e+01,-
26,0.00802469,9.536384e-01,2.642193e+01,-
27,0.00833333,9.518043e-01,2.660421e+01,-
28,0.00864198,9.503442e-01,2.719573e+01,-
29,0.00895062,9.489836e-01,2.771009e+01,-
30,0.00925926,9.478624e-01,2.800589e+01,-
31,0.00956790,9.377805e-01,2.805916e+01,-
32,0.00987654,9.271441e-01,2.902344e+01,-
33,0.01018519,9.205710e-01,3.026177e+01,-
34,0.01049383,9.156880e-01,3.128672e+01,-
35,0.01080247,9.098694e-01,3.207998e+01,-
36,0.01111111,9.077424e-01,3.273541e+01,-
37,0.01141975,9.088489e-01,3.331190e+01,-
