step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
122,0.03765432,2.729839e-01,8.450407e+02,-
123,0.03796296,2.609131e-01,8.434355e+02,-
124,0.03827160,2.499804e-01,8.455097e+02,-
125,0.03858025,2.406613e-01,8.568790e+02,-
126,0.03888889,2.331058e-01,8.706742e+02,-
127,0.03919753,2.267276e-01,8.902717e+02,-
128,0.03950617,2.208184e-01,9.092694e+02,-
129,0.03981481,2.150399e-01,9.900711e+02,-
130,0.04012346,2.095565e-01,1.118693e+03,-
131,0.04043210,2.048018e-01,1.300298e+03,-
132,0.04074074,2.010346e-01,1.670420e+03,-
133,0.04104938,1.982044e-01,2.089253e+03,-
134,0.04135802,1.962088e-01,2.460068e+03,-
135,0.04166667,1.945811e-01,2.725884e+03,-
136,0.04197531,1.925199e-01,2.890273e+03,-
137,0.04228395,1.908649e-01,3.029841e+03,-
138,0.04259259,1.899173e-01,3.360808e+03,-
139,0.04290123,1.893569e-01,3.618928e+03,-
140,0.04320988,1.883870e-01,3.767084e+03,-
141,0.04351852,1.867974e-01,3.801787e+03,-
142,0.04382716,1.853332e-01,3.742313e+03,-
143,0.04413580,1.840984e-01,3.849110e+03,-
144,0.04444444,1.826969e-01,3.883794e+03,-
145,0.04475309,1.795902e-01,3.941944e+03,-
146,0.04506173,1.779068e-01,3.996827e+03,-
147,0.04537037,1.774128e-01,4.026946e+03,-
148,0.04567901,1.774110e-01,4.001576e+03,-
149,0.04598765,1.773013e-01,3.905275e+03,-
150,0.04629630,1.769645e-01,3.731267e+03,-
151,0.04660494,1.774757e-01,3.493811e+03,-
152,0.04691358,1.719018e-01,3.249362e+03,-
153,0.04722222,1.711460e-01,3.037701e+03,-
154,0.04753086,1.753012e-01,2.864467e+03,-
155,0.04783951,1.701158e-01,2.720503e+03,-
156,0.04814815,1.593241e-01,2.595692e+03,-
157,0.04845679,1.536265e-01,2.706813e+03,-
158,0.04876543,1.508917e-01,2.628844e+03,-
159,0.04907407,1.496193e-01,2.464407e+03,-
160,0.04938272,1.495489e-01,2.371726e+03,-
161,0.04969136,1.502895e-01,2.347726e+03,-
162,0.05000000,1.514047e-01,2.322362e+03,-
163,0.05030864,1.524123e-01,2.298414e+03,-
164,0.05061728,1.484648e-01,2.281043e+03,-
165,0.05092593,1.446894e-01,2.275876e+03,-
166,0.05123457,1.413923e-01,2.284705e+03,-
167,0.05154321,1.387201e-01,2.440451e+03,-
168,0.05185185,1.361478e-01,2.656566e+03,-
169,0.05216049,1.334716e-01,5.020664e+03,-
170,0.05246914,1.308720e-01,1.115418e+04,-
171,0.05277778,1.286369e-01,1.690688e+04,-
172,0.05308642,1.269036e-01,2.367518e+04,-
173,0.05339506,1.256456e-01,3.586855e+04,-
174,0.05370370,9.429543e-02,9.144838e+04,-
175,0.05401235,9.492269e-02,8.910340e+04,-
176,0.05432099,9.397474e-02,9.614202e+04,-
177,0.05462963,9.022097e-02,1.170411e+05,-
