step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
122,0.03765432,2.727648e-01,7.948925e+02,-
123,0.03796296,2.739305e-01,8.254666e+02,-
124,0.03827160,2.699146e-01,8.455650e+02,-
125,0.03858025,2.633067e-01,8.529755e+02,-
126,0.03888889,2.569585e-01,8.459640e+02,-
127,0.03919753,2.508114e-01,8.221086e+02,-
128,0.03950617,2.448602e-01,7.779708e+02,-
129,0.03981481,2.391939e-01,7.517421e+02,-
130,0.04012346,2.339264e-01,7.811087e+02,-
131,0.04043210,2.290931e-01,8.082541e+02,-
132,0.04074074,2.247279e-01,8.329965e+02,-
133,0.04104938,2.208491e-01,8.552713e+02,-
134,0.04135802,2.175019e-01,8.753394e+02,-
135,0.04166667,2.147592e-01,8.934728e+02,-
136,0.04197531,2.126468e-01,9.098307e+02,-
137,0.04228395,2.110788e-01,9.246116e+02,-
138,0.04259259,2.098578e-01,9.378648e+02,-
139,0.04290123,2.088183e-01,9.495979e+02,-
140,0.04320988,2.079262e-01,9.598227e+02,-
141,0.04351852,2.072448e-01,9.685577e+02,-
142,0.04382716,2.068555e-01,9.759517e+02,-
143,0.04413580,2.067475e-01,1.062811e+03,-
144,0.04444444,2.068526e-01,1.163857e+03,-
145,0.04475309,2.070934e-01,1.218204e+03,-
146,0.04506173,2.074101e-01,1.208281e+03,-
147,0.04537037,2.077354e-01,1.217319e+03,-
148,0.04567901,2.080399e-01,1.251668e+03,-
149,0.04598765,2.058781e-01,1.278328e+03,-
150,0.04629630,2.015980e-01,1.296019e+03,-
151,0.04660494,1.974528e-01,1.302651e+03,-
152,0.04691358,1.934150e-01,1.296764e+03,-
153,0.04722222,1.895618e-01,1.292014e+03,-
154,0.04753086,1.859312e-01,1.351554e+03,-
155,0.04783951,1.824236e-01,1.416008e+03,-
156,0.04814815,1.791484e-01,1.507413e+03,-
157,0.04845679,1.762632e-01,1.594658e+03,-
158,0.04876543,1.736106e-01,1.620314e+03,-
159,0.04907407,1.708061e-01,1.631956e+03,-
160,0.04938272,1.673606e-01,1.603056e+03,-
161,0.04969136,1.632102e-01,1.554433e+03,-
162,0.05000000,1.587588e-01,1.515420e+03,-
