step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,nan
1,0.00030864,nan,0.000000e+00,nan
2,0.00061728,1.000000e+00,7.514361e+00,7.710255e-04
3,0.00092593,9.992290e-01,9.351075e+00,3.567724e-03
4,0.00123457,9.956640e-01,1.544461e+01,3.786609e-03
5,0.00154321,9.921286e-01,2.006816e+01,7.326074e-03
6,0.00185185,9.903102e-01,2.009669e+01,1.034578e-02
7,0.00216049,9.834771e-01,1.969264e+01,1.383383e-02
8,0.00246914,9.786515e-01,2.142889e+01,1.678645e-02
9,0.00277778,9.734309e-01,2.391125e+01,1.891142e-02
10,0.00308642,9.702015e-01,2.629267e+01,2.034119e-02
11,0.00339506,9.632695e-01,2.867548e+01,2.139915e-02
12,0.00370370,9.571368e-01,3.012894e+01,2.213868e-02
13,0.00401235,9.531011e-01,3.018589e+01,2.281969e-02
14,0.00432099,9.510037e-01,2.939705e+01,2.378952e-02
15,0.00462963,9.502639e-01,2.990410e+01,2.466688e-02
16,0.00493827,9.510802e-01,3.254422e+01,2.547360e-02
17,0.00524691,9.527120e-01,3.542180e+01,2.627295e-02
18,0.00555556,9.515540e-01,3.722861e+01,2.708386e-02
19,0.00586420,9.397499e-01,3.632337e+01,2.787523e-02
20,0.00617284,9.246226e-01,3.638412e+01,2.920035e-02
21,0.00648148,9.093861e-01,3.939060e+01,3.005393e-02
22,0.00679012,8.932666e-01,4.254216e+01,3.088925e-02
23,0.00709877,8.765969e-01,4.582285e+01,3.167643e-02
24,0.00740741,8.639970e-01,4.829879e+01,3.235625e-02
25,0.00771605,8.571183e-01,4.606299e+01,3.292461e-02
26,0.00802469,8.528988e-01,4.670179e+01,3.335791e-02
27,0.00833333,8.463437e-01,4.955306e+01,3.416405e-02
28,0.00864198,8.390824e-01,5.235988e+01,3.433188e-02
29,0.00895062,8.316354e-01,5.491297e+01,3.450323e-02
30,0.00925926,8.241511e-01,5.244483e+01,3.484002e-02
31,0.00956790,8.163501e-01,5.199904e+01,4.408479e-02
32,0.00987654,8.076646e-01,5.453458e+01,6.453600e-02
33,0.01018519,7.978849e-01,5.744008e+01,4.668381e-02
34,0.01049383,7.883666e-01,5.984951e+01,5.440718e-02
35,0.01080247,7.828946e-01,6.227278e+01,4.514709e-02
36,0.01111111,7.829014e-01,6.429722e+01,4.087502e-02
37,0.01141975,7.769699e-01,6.512028e+01,4.396912e-02
38,0.01172840,7.709905e-01,6.559951e+01,4.367676e-02
39,0.01203704,7.625052e-01,6.588191e+01,3.954555e-02
40,0.01234568,7.508482e-01,6.684501e+01,4.050407e-02
41,0.01265432,7.410792e-01,6.601781e+01,4.201093e-02
42,0.01296296,7.350364e-01,6.629242e+01,4.420423e-02
43,0.01327160,7.334451e-01,6.800478e+01,4.397380e-02
44,0.01358025,7.350066e-01,7.253404e+01,4.314163e-02
45,0.01388889,7.291869e-01,7.457608e+01,4.737372e-02
46,0.01419753,7.183654e-01,7.989648e+01,4.704942e-02
47,0.01450617,7.077520e-01,8.714881e+01,4.832812e-02
48,0.01481481,6.977229e-01,9.578175e+01,5.742520e-02
49,0.01512346,6.891618e-01,1.022604e+02,4.995788e-02
50,0.01543210,6.824231e-01,1.056106e+02,5.135007e-02
51,0.01574074,6.773145e-01,1.082544e+02,4.555061e-02
52,0.01604938,6.735397e-01,1.101803e+02,5.444201e-02
53,0.01635802,6.709226e-01,1.117318e+02,5.720358e-02
54,0.01666667,6.688706e-01,1.097791e+02,5.025910e-02
55,0.01697531,6.470026e-01,1.061514e+02,5.043083e-02
56,0.01728395,6.406857e-01,1.141627e+02,5.369665e-02
57,0.01759259,6.105013e-01,1.192678e+02,5.085141e-02
58,0.01790123,5.866320e-01,1.239759e+02,5.920979e-02
59,0.01820988,5.906574e-01,1.327959e+02,5.303866e-02
60,0.01851852,5.841455e-01,1.464316e+02,5.552155e-02
61,0.01882716,5.727767e-01,1.588235e+02,5.470950e-02
62,0.01913580,5.535342e-01,1.754044e+02,6.306931e-02
63,0.01944444,5.338461e-01,2.153897e+02,5.967441e-02
64,0.01975309,5.125122e-01,2.540409e+02,5.446915e-02
65,0.02006173,5.011010e-01,2.882960e+02,6.528181e-02
66,0.02037037,4.872380e-01,3.193524e+02,7.277967e-02
67,0.02067901,4.785104e-01,3.451061e+02,6.513411e-02
68,0.02098765,4.755916e-01,3.506538e+02,8.233936e-02
69,0.02129630,4.759118e-01,3.542868e+02,7.704806e-02
70,0.02160494,4.785884e-01,3.943683e+02,7.900064e-02
71,0.02191358,4.815615e-01,4.595111e+02,8.324269e-02
72,0.02222222,4.781276e-01,4.983473e+02,8.504744e-02
73,0.02253086,4.653622e-01,5.041589e+02,7.221305e-02
74,0.02283951,4.836233e-01,4.884096e+02,7.214116e-02
75,0.02314815,4.800182e-01,4.740813e+02,8.232695e-02
76,0.02345679,4.742722e-01,4.745981e+02,6.533660e-02
77,0.02376543,4.627572e-01,4.857335e+02,7.186389e-02
78,0.02407407,4.403559e-01,4.933723e+02,9.065005e-02
79,0.02438272,4.180667e-01,4.981768e+02,7.498281e-02
80,0.02469136,4.712428e-01,4.933961e+02,9.374897e-02
81,0.02500000,4.699435e-01,4.807197e+02,1.096587e-01
82,0.02530864,4.553387e-01,4.780339e+02,9.526473e-02
83,0.02561728,4.441575e-01,5.158746e+02,1.065183e-01
84,0.02592593,4.360765e-01,4.841527e+02,9.837606e-02
85,0.02623457,4.305336e-01,5.287612e+02,1.312869e-01
86,0.02654321,4.272733e-01,6.097728e+02,1.117720e-01
87,0.02685185,4.256281e-01,6.521240e+02,8.192463e-02
88,0.02716049,4.058386e-01,7.239188e+02,1.093009e-01
89,0.02746914,4.020084e-01,1.241128e+03,1.069507e-01
90,0.02777778,3.827900e-01,1.568398e+03,9.895947e-02
91,0.02808642,3.656614e-01,2.002853e+03,4.402840e-01
92,0.02839506,3.143402e-01,4.235641e+03,3.896736e-01
93,0.02870370,2.734087e-01,7.813351e+03,2.308522e-01
94,0.02901235,2.482373e-01,1.349057e+04,4.776573e-01
95,0.02932099,2.387072e-01,2.312851e+04,4.365781e-01
96,0.02962963,2.202037e-01,5.559762e+04,1.750188e+00
97,0.02993827,-5.400075e-01,1.244338e+05,1.677887e+00
98,0.03024691,-5.586957e-01,8.038753e+04,1.284023e+00
99,0.03055556,-5.426582e-01,6.508595e+04,6.582875e-01
100,0.03086420,-5.183350e-01,5.476699e+04,5.996727e-01
101,0.03117284,-4.636840e-01,3.583535e+05,2.370254e+00
102,0.03148148,-5.813868e-01,1.697115e+06,1.541211e+00
103,0.03179012,-5.841838e-01,2.542640e+06,8.377027e-01
104,0.03209877,-5.757752e-01,2.433894e+06,5.110115e-01
105,0.03240741,-5.675723e-01,5.437238e+04,3.560184e-01
106,0.03271605,-5.579015e-01,5.173273e+04,1.000974e+00
107,0.03302469,-5.485586e-01,1.216169e+05,7.795332e+00
108,0.03333333,-6.910119e+00,3.038559e+05,4.219639e+00
109,0.03364198,-6.909508e+00,9.117978e+05,3.584556e+00
110,0.03395062,-6.930644e+00,1.147770e+06,1.007439e+01
111,0.03425926,-6.955392e+00,2.565518e+06,4.804523e+01
112,0.03456790,-6.989360e+00,6.049009e+06,7.103772e+01
113,0.03487654,-9.800609e+00,1.380680e+08,7.510578e+01
