step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,nan
1,0.00030864,nan,0.000000e+00,nan
2,0.00061728,1.000000e+00,7.514361e+00,7.710255e-04
3,0.00092593,1.000000e+00,9.351075e+00,3.564713e-03
4,0.00123457,9.984572e-01,1.544413e+01,3.782434e-03
5,0.00154321,9.963291e-01,2.006662e+01,7.320141e-03
6,0.00185185,9.935372e-01,2.003756e+01,1.033434e-02
7,0.00216049,9.863222e-01,1.957922e+01,1.381489e-02
8,0.00246914,9.815220e-01,2.142455e+01,1.676009e-02
9,0.00277778,9.763307e-01,2.390662e+01,1.887841e-02
10,0.00308642,9.731335e-01,2.628253e+01,2.030861e-02
11,0.00339506,9.689786e-01,2.866348e+01,2.137270e-02
12,0.00370370,9.628565e-01,3.002166e+01,2.211847e-02
13,0.00401235,9.588397e-01,2.998376e+01,2.280111e-02
14,0.00432099,9.568537e-01,2.910988e+01,2.381350e-02
15,0.00462963,9.564107e-01,2.989735e+01,2.466411e-02
16,0.00493827,9.568135e-01,3.254002e+01,2.546121e-02
17,0.00524691,9.583840e-01,3.541714e+01,2.625789e-02
18,0.00555556,9.602263e-01,3.711496e+01,2.707087e-02
19,0.00586420,9.600490e-01,3.610797e+01,2.786299e-02
20,0.00617284,9.468746e-01,3.637518e+01,2.918531e-02
21,0.00648148,9.335157e-01,3.938494e+01,3.005072e-02
22,0.00679012,9.192225e-01,4.254419e+01,3.088588e-02
23,0.00709877,9.037469e-01,4.582939e+01,3.167390e-02
24,0.00740741,8.918253e-01,4.816557e+01,3.235334e-02
25,0.00771605,8.860990e-01,4.580585e+01,3.292267e-02
26,0.00802469,8.832071e-01,4.670778e+01,3.335529e-02
27,0.00833333,8.778462e-01,4.955451e+01,3.415876e-02
28,0.00864198,8.703047e-01,5.235679e+01,3.431864e-02
29,0.00895062,8.623972e-01,5.475257e+01,3.447950e-02
30,0.00925926,8.549544e-01,5.214033e+01,3.480409e-02
31,0.00956790,8.476235e-01,5.196650e+01,4.253381e-02
32,0.00987654,8.400484e-01,5.434045e+01,6.221615e-02
33,0.01018519,8.321769e-01,5.722363e+01,4.704237e-02
34,0.01049383,8.246609e-01,5.962726e+01,5.531220e-02
35,0.01080247,8.189682e-01,6.198079e+01,4.420807e-02
36,0.01111111,8.166448e-01,6.390465e+01,4.163795e-02
37,0.01141975,8.186019e-01,6.476344e+01,4.402979e-02
38,0.01172840,8.188100e-01,6.515197e+01,4.390440e-02
39,0.01203704,8.114289e-01,6.557285e+01,3.958232e-02
40,0.01234568,8.012356e-01,6.661467e+01,4.038283e-02
41,0.01265432,7.944520e-01,6.551387e+01,4.169574e-02
42,0.01296296,7.900957e-01,6.547683e+01,4.319519e-02
43,0.01327160,7.884206e-01,6.443866e+01,4.384130e-02
44,0.01358025,7.837468e-01,6.738959e+01,4.272194e-02
45,0.01388889,7.705721e-01,6.965756e+01,4.731682e-02
46,0.01419753,7.611698e-01,7.478149e+01,4.714684e-02
47,0.01450617,7.522029e-01,8.115769e+01,3.857297e-02
48,0.01481481,7.436445e-01,8.867280e+01,4.133137e-02
49,0.01512346,7.363556e-01,9.346151e+01,5.495267e-02
50,0.01543210,7.308690e-01,9.363965e+01,5.016420e-02
51,0.01574074,7.271574e-01,9.308408e+01,4.550308e-02
52,0.01604938,7.248966e-01,9.357819e+01,5.236698e-02
53,0.01635802,7.238630e-01,9.388107e+01,4.793133e-02
54,0.01666667,7.221785e-01,9.342796e+01,4.535957e-02
55,0.01697531,6.975196e-01,9.463518e+01,6.420028e-02
56,0.01728395,6.863615e-01,1.125077e+02,5.680900e-02
57,0.01759259,6.686728e-01,1.439476e+02,5.645205e-02
58,0.01790123,6.463490e-01,1.811509e+02,5.638661e-02
59,0.01820988,6.430038e-01,2.224209e+02,4.892183e-02
60,0.01851852,6.370022e-01,2.673217e+02,4.875372e-02
61,0.01882716,6.376965e-01,3.253908e+02,5.809419e-02
62,0.01913580,6.208535e-01,3.890393e+02,5.725635e-02
63,0.01944444,5.996710e-01,4.263647e+02,4.981766e-02
64,0.01975309,5.793899e-01,4.442568e+02,5.845079e-02
65,0.02006173,5.736943e-01,4.519231e+02,5.944950e-02
66,0.02037037,5.718904e-01,4.543936e+02,6.610226e-02
67,0.02067901,5.683231e-01,4.535616e+02,5.610632e-02
68,0.02098765,5.670439e-01,4.515274e+02,5.489446e-02
69,0.02129630,5.680460e-01,4.499542e+02,6.478132e-02
70,0.02160494,5.671704e-01,4.572940e+02,7.285642e-02
71,0.02191358,5.640704e-01,4.733129e+02,6.754402e-02
72,0.02222222,5.601075e-01,4.940931e+02,7.923053e-02
73,0.02253086,5.540243e-01,5.174102e+02,8.881609e-02
74,0.02283951,5.457947e-01,5.428761e+02,5.579892e-02
75,0.02314815,5.366831e-01,5.667930e+02,6.325452e-02
76,0.02345679,5.284555e-01,5.878862e+02,7.527173e-02
77,0.02376543,5.215104e-01,6.107915e+02,8.417754e-02
78,0.02407407,5.162978e-01,6.375140e+02,8.526902e-02
79,0.02438272,5.107826e-01,6.652561e+02,7.640085e-02
80,0.02469136,5.049748e-01,6.845013e+02,1.054289e-01
81,0.02500000,4.976677e-01,6.837504e+02,8.478903e-02
82,0.02530864,4.833838e-01,6.476335e+02,8.731001e-02
83,0.02561728,4.718660e-01,5.886975e+02,9.226054e-02
84,0.02592593,4.618675e-01,5.994558e+02,9.657863e-02
85,0.02623457,4.529849e-01,6.838476e+02,1.073635e-01
86,0.02654321,4.438775e-01,7.053246e+02,1.008706e-01
87,0.02685185,4.352811e-01,6.537398e+02,1.772826e-01
88,0.02716049,4.294022e-01,7.456155e+02,1.617550e-01
89,0.02746914,4.267375e-01,9.187594e+02,1.760448e-01
90,0.02777778,4.153035e-01,1.055734e+03,1.788695e-01
91,0.02808642,3.734693e-01,1.113256e+03,1.721426e-01
92,0.02839506,3.136619e-01,1.094246e+03,1.345513e-01
93,0.02870370,2.832700e-01,1.022413e+03,1.114777e-01
94,0.02901235,2.710794e-01,8.768748e+02,1.062732e-01
95,0.02932099,2.675175e-01,8.886183e+02,1.166673e-01
96,0.02962963,2.669137e-01,9.816538e+02,1.330398e-01
97,0.02993827,2.643105e-01,1.066927e+03,1.054353e-01
98,0.03024691,2.624039e-01,1.135146e+03,9.366936e-02
99,0.03055556,2.602743e-01,1.179906e+03,8.343715e-02
100,0.03086420,2.589701e-01,1.221344e+03,1.219550e-01
101,0.03117284,2.598082e-01,1.259620e+03,8.542819e-02
102,0.03148148,2.630134e-01,1.291625e+03,7.808984e-02
103,0.03179012,2.677976e-01,1.311499e+03,7.357201e-02
104,0.03209877,2.722372e-01,1.333367e+03,7.140601e-02
105,0.03240741,2.760009e-01,1.354775e+03,9.423426e-02
106,0.03271605,2.792809e-01,1.373152e+03,1.054485e-01
107,0.03302469,2.814280e-01,1.386528e+03,7.736494e-02
108,0.03333333,2.822356e-01,1.391970e+03,8.098622e-02
109,0.03364198,2.824180e-01,1.387069e+03,1.103328e-01
110,0.03395062,2.824846e-01,1.371091e+03,8.403828e-02
111,0.03425926,2.826444e-01,1.345766e+03,1.044334e-01
112,0.03456790,2.854191e-01,1.310994e+03,1.065272e-01
113,0.03487654,2.924008e-01,1.266500e+03,1.101089e-01
114,0.03518519,3.015684e-01,1.213288e+03,1.020244e-01
115,0.03549383,3.111393e-01,1.155160e+03,1.031281e-01
116,0.03580247,3.158613e-01,1.095167e+03,1.110400e-01
117,0.03611111,3.103884e-01,1.034538e+03,1.412100e-01
118,0.03641975,2.969729e-01,9.735685e+02,9.417174e-02
119,0.03672840,2.859857e-01,1.048590e+03,1.311527e-01
120,0.03703704,2.830730e-01,1.165683e+03,8.225910e-02
121,0.03734568,2.847942e-01,1.264787e+03,6.828660e-02
122,0.03765432,2.812182e-01,1.368202e+03,6.766496e-02
123,0.03796296,2.785005e-01,1.478541e+03,7.573376e-02
124,0.03827160,2.766263e-01,1.586172e+03,9.301659e-02
