step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
1032,0.31851852,8.750880e-02,1.705910e+04,-
1033,0.31882716,9.693542e-02,4.103974e+04,-
1034,0.31913580,4.113463e-02,1.056691e+05,-
1035,0.31944444,5.167590e-02,2.057779e+05,-
1036,0.31975309,5.994877e-02,2.073919e+05,-
1037,0.32006173,4.580506e-02,5.466967e+06,-
1038,0.32037037,4.225957e-02,2.578144e+07,-
1039,0.32067901,4.088754e-02,3.246553e+06,-
1040,0.32098765,4.093141e-02,2.248518e+07,-
1041,0.32129630,4.089140e-02,1.245568e+09,-
