step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00015432,nan,0.000000e+00,-
2,0.00030864,1.000000e+00,4.506845e+00,-
3,0.00046296,9.999484e-01,4.672653e+00,-
4,0.00061728,9.996477e-01,5.392237e+00,-
5,0.00077160,9.991640e-01,6.026680e+00,-
6,0.00092593,9.985465e-01,6.513401e+00,-
7,0.00108025,9.978229e-01,6.841466e+00,-
8,0.00123457,9.970371e-01,7.124454e+00,-
9,0.00138889,9.962650e-01,7.409555e+00,-
10,0.00154321,9.956164e-01,7.715406e+00,-
11,0.00169753,9.948568e-01,8.048977e+00,-
12,0.00185185,9.938857e-01,8.411682e+00,-
13,0.00200617,9.929239e-01,8.803010e+00,-
14,0.00216049,9.918312e-01,9.219734e+00,-
15,0.00231481,9.906942e-01,9.661392e+00,-
16,0.00246914,9.894986e-01,1.012370e+01,-
17,0.00262346,9.888293e-01,1.060427e+01,-
18,0.00277778,9.887381e-01,1.110472e+01,-
19,0.00293210,9.875942e-01,1.162647e+01,-
20,0.00308642,9.860659e-01,1.217345e+01,-
21,0.00324074,9.846802e-01,1.274118e+01,-
22,0.00339506,9.831875e-01,1.333240e+01,-
23,0.00354938,9.818834e-01,1.394747e+01,-
24,0.00370370,9.806333e-01,1.458869e+01,-
25,0.00385802,9.795048e-01,1.525362e+01,-
26,0.00401235,9.785855e-01,1.595058e+01,-
27,0.00416667,9.778489e-01,1.667568e+01,-
28,0.00432099,9.772897e-01,1.742956e+01,-
29,0.00447531,9.769317e-01,1.821714e+01,-
30,0.00462963,9.767887e-01,1.903309e+01,-
31,0.00478395,9.768594e-01,1.987893e+01,-
32,0.00493827,9.771836e-01,2.075850e+01,-
33,0.00509259,9.776726e-01,2.166113e+01,-
34,0.00524691,9.781685e-01,2.259261e+01,-
35,0.00540123,9.776939e-01,2.355200e+01,-
36,0.00555556,9.762509e-01,2.453281e+01,-
37,0.00570988,9.748874e-01,2.553285e+01,-
38,0.00586420,9.736180e-01,2.655106e+01,-
39,0.00601852,9.724518e-01,2.690302e+01,-
40,0.00617284,9.713928e-01,2.703006e+01,-
41,0.00632716,9.704390e-01,2.706336e+01,-
42,0.00648148,9.695846e-01,2.709448e+01,-
43,0.00663580,9.686559e-01,2.715506e+01,-
44,0.00679012,9.675616e-01,2.722951e+01,-
45,0.00694444,9.664876e-01,2.729629e+01,-
46,0.00709877,9.654934e-01,2.733705e+01,-
47,0.00725309,9.645778e-01,2.733970e+01,-
48,0.00740741,9.637423e-01,2.729600e+01,-
49,0.00756173,9.629825e-01,2.719193e+01,-
50,0.00771605,9.622985e-01,2.702574e+01,-
51,0.00787037,9.616911e-01,2.680488e+01,-
52,0.00802469,9.611598e-01,2.654301e+01,-
53,0.00817901,9.607038e-01,2.626186e+01,-
54,0.00833333,9.603212e-01,2.598666e+01,-
55,0.00848765,9.600055e-01,2.574706e+01,-
56,0.00864198,9.540923e-01,2.558171e+01,-
57,0.00879630,9.475008e-01,2.553643e+01,-
58,0.00895062,9.406338e-01,2.559463e+01,-
59,0.00910494,9.339501e-01,2.567679e+01,-
60,0.00925926,9.280202e-01,2.594439e+01,-
61,0.00941358,9.233525e-01,2.642517e+01,-
62,0.00956790,9.202354e-01,2.691274e+01,-
63,0.00972222,9.185898e-01,2.741019e+01,-
64,0.00987654,9.182704e-01,2.784779e+01,-
65,0.01003086,9.157008e-01,2.824572e+01,-
66,0.01018519,9.096442e-01,2.860531e+01,-
67,0.01033951,9.050205e-01,2.892503e+01,-
68,0.01049383,9.018139e-01,2.923701e+01,-
69,0.01064815,8.992060e-01,2.955058e+01,-
70,0.01080247,8.975420e-01,2.988900e+01,-
71,0.01095679,8.915469e-01,3.026055e+01,-
72,0.01111111,8.862809e-01,3.062847e+01,-
73,0.01126543,8.817920e-01,3.096673e+01,-
74,0.01141975,8.781894e-01,3.126074e+01,-
75,0.01157407,8.755408e-01,3.152014e+01,-
76,0.01172840,8.737972e-01,3.180569e+01,-
77,0.01188272,8.728420e-01,3.205591e+01,-
78,0.01203704,8.725258e-01,3.226153e+01,-
79,0.01219136,8.726793e-01,3.241237e+01,-
80,0.01234568,8.694744e-01,3.260754e+01,-
81,0.01250000,8.577259e-01,3.285466e+01,-
82,0.01265432,8.529704e-01,3.310315e+01,-
83,0.01280864,8.443776e-01,3.339897e+01,-
84,0.01296296,8.331635e-01,3.373775e+01,-
85,0.01311728,8.302251e-01,3.403943e+01,-
86,0.01327160,8.208570e-01,3.434403e+01,-
87,0.01342593,8.120295e-01,3.469238e+01,-
88,0.01358025,8.033915e-01,3.502895e+01,-
89,0.01373457,7.942785e-01,3.532508e+01,-
90,0.01388889,7.858757e-01,3.560719e+01,-
91,0.01404321,7.783353e-01,3.594294e+01,-
92,0.01419753,7.716671e-01,3.634283e+01,-
93,0.01435185,7.658652e-01,3.682208e+01,-
94,0.01450617,7.609286e-01,3.734492e+01,-
95,0.01466049,7.568043e-01,3.774163e+01,-
96,0.01481481,7.505722e-01,3.821880e+01,-
97,0.01496914,7.446131e-01,3.891851e+01,-
98,0.01512346,7.391240e-01,3.968032e+01,-
99,0.01527778,7.340972e-01,4.057969e+01,-
100,0.01543210,7.294666e-01,4.131225e+01,-
101,0.01558642,7.252974e-01,4.180418e+01,-
102,0.01574074,7.214842e-01,4.228322e+01,-
103,0.01589506,7.179366e-01,4.237170e+01,-
104,0.01604938,7.146007e-01,4.264596e+01,-
105,0.01620370,7.114425e-01,4.303077e+01,-
106,0.01635802,7.084412e-01,4.397953e+01,-
107,0.01651235,7.055990e-01,4.516621e+01,-
108,0.01666667,7.029346e-01,4.646072e+01,-
109,0.01682099,7.004580e-01,4.729742e+01,-
110,0.01697531,6.982064e-01,4.822466e+01,-
111,0.01712963,6.963575e-01,4.851269e+01,-
112,0.01728395,6.950838e-01,4.870843e+01,-
113,0.01743827,6.945240e-01,4.859698e+01,-
114,0.01759259,6.830584e-01,4.816138e+01,-
115,0.01774691,6.678416e-01,4.762111e+01,-
116,0.01790123,6.544576e-01,4.713626e+01,-
117,0.01805556,6.450289e-01,4.683950e+01,-
118,0.01820988,6.391648e-01,4.681547e+01,-
119,0.01836420,6.293993e-01,4.710392e+01,-
120,0.01851852,6.186952e-01,4.770347e+01,-
121,0.01867284,6.116889e-01,4.854025e+01,-
122,0.01882716,6.082983e-01,4.952712e+01,-
123,0.01898148,6.082833e-01,5.057122e+01,-
124,0.01913580,6.011963e-01,5.158981e+01,-
125,0.01929012,5.961334e-01,5.240697e+01,-
126,0.01944444,5.941336e-01,5.297964e+01,-
127,0.01959877,5.931305e-01,5.336108e+01,-
128,0.01975309,5.815901e-01,5.430237e+01,-
129,0.01990741,5.728196e-01,5.562743e+01,-
130,0.02006173,5.679724e-01,5.697911e+01,-
131,0.02021605,5.649984e-01,5.832979e+01,-
132,0.02037037,5.641514e-01,5.953963e+01,-
133,0.02052469,5.581301e-01,6.056438e+01,-
134,0.02067901,5.523518e-01,6.222035e+01,-
135,0.02083333,5.475630e-01,6.399917e+01,-
136,0.02098765,5.442794e-01,6.574482e+01,-
137,0.02114198,5.372958e-01,6.743120e+01,-
138,0.02129630,5.280672e-01,6.904720e+01,-
139,0.02145062,5.197083e-01,7.058590e+01,-
