step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,nan
1,0.00007716,nan,0.000000e+00,nan
2,0.00015432,1.000000e+00,6.144617e+00,2.502596e-05
3,0.00023148,1.000000e+00,6.142756e+00,9.729828e-05
4,0.00030864,1.000000e+00,6.140891e+00,1.602042e-04
5,0.00038580,1.000000e+00,6.138709e+00,2.362800e-04
6,0.00046296,9.999466e-01,6.135893e+00,3.562092e-04
7,0.00054012,9.998219e-01,6.568201e+00,3.651864e-04
8,0.00061728,9.997757e-01,6.646583e+00,3.533268e-04
9,0.00069444,9.996812e-01,6.920595e+00,4.400465e-04
10,0.00077160,9.994708e-01,7.121342e+00,4.516873e-04
11,0.00084877,9.992121e-01,7.100761e+00,5.420301e-04
12,0.00092593,9.988512e-01,7.265256e+00,6.384621e-04
13,0.00100309,9.984034e-01,7.237388e+00,7.333738e-04
14,0.00108025,9.978761e-01,7.390445e+00,7.637738e-04
15,0.00115741,9.973541e-01,7.355494e+00,8.574957e-04
16,0.00123457,9.967741e-01,7.506645e+00,9.475346e-04
17,0.00131173,9.960973e-01,7.668734e+00,9.913622e-04
18,0.00138889,9.954857e-01,7.835527e+00,1.083358e-03
19,0.00146605,9.947840e-01,7.788706e+00,1.220674e-03
20,0.00154321,9.941067e-01,7.738187e+00,1.353382e-03
21,0.00162037,9.933560e-01,7.914894e+00,1.415236e-03
22,0.00169753,9.926170e-01,8.095927e+00,1.514186e-03
23,0.00177469,9.918637e-01,8.037402e+00,1.632243e-03
24,0.00185185,9.910493e-01,8.074641e+00,1.740550e-03
25,0.00192901,9.901865e-01,8.267613e+00,1.836178e-03
26,0.00200617,9.892695e-01,8.461264e+00,1.928761e-03
27,0.00208333,9.882219e-01,8.656060e+00,2.036103e-03
28,0.00216049,9.871108e-01,8.851920e+00,2.137667e-03
29,0.00223765,9.859663e-01,9.044200e+00,2.233218e-03
30,0.00231481,9.847460e-01,9.241141e+00,2.325255e-03
31,0.00239198,9.835263e-01,9.441341e+00,2.407509e-03
32,0.00246914,9.823517e-01,9.641835e+00,2.489058e-03
33,0.00254630,9.812048e-01,9.845744e+00,2.564490e-03
34,0.00262346,9.800409e-01,1.004933e+01,2.629966e-03
35,0.00270062,9.789098e-01,1.025628e+01,2.690360e-03
36,0.00277778,9.778692e-01,1.046857e+01,2.745423e-03
37,0.00285494,9.769094e-01,1.068282e+01,2.794327e-03
38,0.00293210,9.760334e-01,1.090504e+01,2.834851e-03
39,0.00300926,9.751956e-01,1.113140e+01,2.872442e-03
40,0.00308642,9.744339e-01,1.135993e+01,2.906225e-03
41,0.00316358,9.737612e-01,1.159588e+01,2.936987e-03
42,0.00324074,9.731776e-01,1.183917e+01,2.963248e-03
43,0.00331790,9.727083e-01,1.208999e+01,2.989676e-03
44,0.00339506,9.723261e-01,1.234793e+01,3.012720e-03
45,0.00347222,9.720492e-01,1.261069e+01,3.033474e-03
46,0.00354938,9.718566e-01,1.287996e+01,3.051470e-03
47,0.00362654,9.717496e-01,1.315388e+01,3.068345e-03
48,0.00370370,9.717159e-01,1.343415e+01,3.083058e-03
49,0.00378086,9.717535e-01,1.372079e+01,3.106388e-03
50,0.00385802,9.718195e-01,1.401335e+01,3.132181e-03
51,0.00393519,9.716872e-01,1.431335e+01,3.159963e-03
52,0.00401235,9.717174e-01,1.461933e+01,3.188408e-03
53,0.00408951,9.718555e-01,1.493480e+01,3.215576e-03
54,0.00416667,9.721160e-01,1.525939e+01,3.243320e-03
55,0.00424383,9.724945e-01,1.559202e+01,3.269924e-03
56,0.00432099,9.729694e-01,1.592859e+01,3.299059e-03
57,0.00439815,9.735470e-01,1.627305e+01,3.328262e-03
58,0.00447531,9.741255e-01,1.662414e+01,3.364276e-03
59,0.00455247,9.743701e-01,1.698142e+01,3.403208e-03
60,0.00462963,9.746242e-01,1.734385e+01,3.444693e-03
61,0.00470679,9.748922e-01,1.771299e+01,3.487565e-03
62,0.00478395,9.750707e-01,1.808692e+01,3.531443e-03
63,0.00486111,9.752480e-01,1.846451e+01,3.573759e-03
64,0.00493827,9.753374e-01,1.884680e+01,3.615004e-03
65,0.00501543,9.754047e-01,1.923451e+01,4.821858e-03
66,0.00509259,9.754351e-01,1.962961e+01,5.592692e-03
67,0.00516975,9.754560e-01,2.002845e+01,5.023989e-03
68,0.00524691,9.755286e-01,2.043200e+01,4.773999e-03
69,0.00532407,9.755705e-01,2.084167e+01,4.680234e-03
70,0.00540123,9.755507e-01,2.126307e+01,4.499444e-03
