step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,nan
1,0.00030864,nan,0.000000e+00,nan
2,0.00061728,1.000000e+00,7.020612e+00,2.922259e-04
3,0.00092593,9.997078e-01,7.009893e+00,1.492491e-03
4,0.00123457,9.982684e-01,7.408039e+00,2.221007e-03
5,0.00154321,9.960513e-01,8.762952e+00,2.644482e-03
6,0.00185185,9.934172e-01,1.003513e+01,3.358030e-03
7,0.00216049,9.913609e-01,1.123587e+01,4.371330e-03
8,0.00246914,9.901045e-01,1.248167e+01,5.372620e-03
9,0.00277778,9.857141e-01,1.380213e+01,6.467133e-03
10,0.00308642,9.827988e-01,1.519323e+01,7.463553e-03
11,0.00339506,9.801007e-01,1.664747e+01,8.268705e-03
12,0.00370370,9.773342e-01,1.817466e+01,8.839669e-03
13,0.00401235,9.748134e-01,1.979970e+01,9.224521e-03
14,0.00432099,9.713658e-01,2.154116e+01,9.432927e-03
15,0.00462963,9.685389e-01,2.340319e+01,9.577256e-03
16,0.00493827,9.670646e-01,2.540657e+01,9.709556e-03
17,0.00524691,9.668525e-01,2.600904e+01,9.781520e-03
18,0.00555556,9.678758e-01,2.592458e+01,1.081500e-02
19,0.00586420,9.691678e-01,2.574713e+01,1.012236e-02
20,0.00617284,9.697824e-01,2.562011e+01,1.107879e-02
21,0.00648148,9.701929e-01,2.548164e+01,1.042607e-02
22,0.00679012,9.700136e-01,2.683848e+01,1.046576e-02
23,0.00709877,9.677401e-01,2.873713e+01,1.377502e-02
24,0.00740741,9.656506e-01,3.068029e+01,1.489403e-02
25,0.00771605,9.636859e-01,3.263593e+01,1.220184e-02
26,0.00802469,9.601146e-01,3.458298e+01,1.345200e-02
27,0.00833333,9.567540e-01,3.651314e+01,1.435137e-02
28,0.00864198,9.544169e-01,3.845057e+01,1.405290e-02
29,0.00895062,9.527967e-01,4.045513e+01,1.460156e-02
30,0.00925926,9.496227e-01,4.110481e+01,1.712474e-02
31,0.00956790,9.365278e-01,4.027447e+01,2.121605e-02
32,0.00987654,9.258129e-01,3.993060e+01,2.415080e-02
33,0.01018519,9.216156e-01,3.911781e+01,2.396955e-02
34,0.01049383,9.094380e-01,3.781267e+01,2.208070e-02
35,0.01080247,8.980255e-01,3.815181e+01,2.096085e-02
36,0.01111111,8.926327e-01,3.904113e+01,3.189722e-02
37,0.01141975,8.940433e-01,3.999154e+01,3.565919e-02
38,0.01172840,8.994239e-01,4.096457e+01,3.533071e-02
39,0.01203704,8.999198e-01,4.155256e+01,3.612970e-02
40,0.01234568,8.890833e-01,4.170721e+01,3.491278e-02
41,0.01265432,8.643412e-01,4.176880e+01,3.568281e-02
42,0.01296296,8.432618e-01,4.210618e+01,3.536104e-02
43,0.01327160,8.314614e-01,4.286323e+01,3.428757e-02
44,0.01358025,8.257365e-01,4.329767e+01,3.306796e-02
45,0.01388889,8.055425e-01,4.402629e+01,3.165714e-02
46,0.01419753,7.889836e-01,4.584147e+01,2.886475e-02
47,0.01450617,7.794102e-01,4.726514e+01,2.827817e-02
48,0.01481481,7.758190e-01,4.879141e+01,3.690019e-02
49,0.01512346,7.718080e-01,4.959494e+01,3.305830e-02
50,0.01543210,7.660451e-01,5.020793e+01,2.900284e-02
51,0.01574074,7.614650e-01,5.065218e+01,2.917739e-02
52,0.01604938,7.576825e-01,5.243428e+01,3.087924e-02
53,0.01635802,7.548144e-01,5.655342e+01,2.931346e-02
54,0.01666667,7.481780e-01,5.806291e+01,3.253928e-02
55,0.01697531,7.390129e-01,5.846852e+01,3.209446e-02
56,0.01728395,7.267591e-01,5.873464e+01,3.168139e-02
57,0.01759259,7.157050e-01,6.174888e+01,3.004980e-02
58,0.01790123,6.997215e-01,6.424765e+01,3.218124e-02
59,0.01820988,6.900965e-01,6.459656e+01,3.501416e-02
60,0.01851852,6.759064e-01,6.249698e+01,3.607467e-02
61,0.01882716,6.615207e-01,6.376907e+01,3.672519e-02
62,0.01913580,6.471180e-01,6.525070e+01,3.702186e-02
63,0.01944444,6.327967e-01,6.621691e+01,3.711182e-02
64,0.01975309,6.187275e-01,6.642499e+01,3.833595e-02
65,0.02006173,6.049830e-01,6.628555e+01,3.848713e-02
66,0.02037037,5.916523e-01,6.866874e+01,3.811636e-02
67,0.02067901,5.788347e-01,7.346262e+01,4.230705e-02
68,0.02098765,5.671235e-01,7.712950e+01,3.956582e-02
69,0.02129630,5.552890e-01,8.063180e+01,4.037261e-02
70,0.02160494,5.439661e-01,8.424048e+01,3.643404e-02
71,0.02191358,5.319173e-01,8.865093e+01,4.519071e-02
72,0.02222222,5.195248e-01,9.473296e+01,4.181782e-02
73,0.02253086,5.062131e-01,1.009904e+02,4.153436e-02
74,0.02283951,4.929561e-01,1.079824e+02,4.073105e-02
75,0.02314815,4.800160e-01,1.160013e+02,3.649316e-02
76,0.02345679,4.667435e-01,1.247064e+02,4.404835e-02
77,0.02376543,4.542714e-01,1.320862e+02,4.374902e-02
78,0.02407407,4.431468e-01,1.366875e+02,4.344613e-02
79,0.02438272,4.265608e-01,1.393641e+02,4.700827e-02
80,0.02469136,4.067107e-01,1.410130e+02,4.185647e-02
81,0.02500000,3.915989e-01,1.490475e+02,4.560503e-02
82,0.02530864,3.813659e-01,1.556632e+02,5.043561e-02
83,0.02561728,3.728169e-01,1.589298e+02,4.904366e-02
84,0.02592593,3.653849e-01,1.591818e+02,4.583669e-02
85,0.02623457,3.610804e-01,1.579195e+02,4.755152e-02
86,0.02654321,3.612399e-01,1.552802e+02,4.304607e-02
87,0.02685185,3.572858e-01,1.521341e+02,3.988835e-02
88,0.02716049,3.441189e-01,1.492573e+02,4.291688e-02
89,0.02746914,3.315906e-01,1.463309e+02,4.263950e-02
90,0.02777778,3.207999e-01,1.445638e+02,3.936098e-02
91,0.02808642,3.135303e-01,1.443888e+02,3.997727e-02
92,0.02839506,3.109357e-01,1.498259e+02,3.864809e-02
93,0.02870370,3.123874e-01,1.559252e+02,3.983084e-02
94,0.02901235,3.169797e-01,1.615725e+02,3.743055e-02
95,0.02932099,3.198513e-01,1.666437e+02,3.552587e-02
96,0.02962963,3.179189e-01,1.711430e+02,3.642730e-02
97,0.02993827,3.197671e-01,1.751367e+02,4.116845e-02
98,0.03024691,3.261426e-01,1.786839e+02,4.919723e-02
99,0.03055556,3.272847e-01,1.817662e+02,5.048474e-02
100,0.03086420,3.248423e-01,1.843204e+02,4.839047e-02
101,0.03117284,3.252406e-01,1.938884e+02,4.278754e-02
102,0.03148148,3.280655e-01,2.285342e+02,4.261346e-02
103,0.03179012,3.335859e-01,2.636951e+02,4.534197e-02
104,0.03209877,3.411661e-01,2.991861e+02,4.386451e-02
105,0.03240741,3.952317e-01,3.356221e+02,4.143587e-02
106,0.03271605,3.917755e-01,3.755848e+02,4.462198e-02
107,0.03302469,3.893389e-01,4.181135e+02,4.828306e-02
108,0.03333333,3.884458e-01,4.625065e+02,4.979563e-02
109,0.03364198,3.865356e-01,5.057720e+02,6.724197e-02
110,0.03395062,3.820740e-01,5.460376e+02,6.687703e-02
111,0.03425926,3.776705e-01,5.809007e+02,5.417945e-02
112,0.03456790,3.732887e-01,6.086949e+02,6.221850e-02
113,0.03487654,3.688844e-01,6.283760e+02,6.308274e-02
114,0.03518519,3.644648e-01,6.468935e+02,7.275287e-02
115,0.03549383,3.600649e-01,6.703945e+02,7.960125e-02
116,0.03580247,3.557234e-01,6.676494e+02,6.280406e-02
117,0.03611111,3.514782e-01,6.427356e+02,6.903318e-02
118,0.03641975,3.473566e-01,6.079979e+02,6.080245e-02
119,0.03672840,3.434179e-01,5.720201e+02,4.901974e-02
120,0.03703704,3.397067e-01,5.366569e+02,5.169416e-02
121,0.03734568,3.362644e-01,5.036439e+02,5.364392e-02
122,0.03765432,3.331166e-01,4.967585e+02,6.065288e-02
123,0.03796296,3.302693e-01,5.025070e+02,4.152979e-02
124,0.03827160,3.277010e-01,5.112847e+02,4.031262e-02
