step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,4.569656e+00,-
3,0.00092593,9.998579e-01,5.833131e+00,-
4,0.00123457,9.990204e-01,5.823827e+00,-
5,0.00154321,9.978938e-01,5.806090e+00,-
6,0.00185185,9.966959e-01,6.576593e+00,-
7,0.00216049,9.954612e-01,7.330443e+00,-
8,0.00246914,9.941490e-01,8.109259e+00,-
9,0.00277778,9.920356e-01,8.949087e+00,-
10,0.00308642,9.885255e-01,9.859742e+00,-
11,0.00339506,9.854466e-01,1.083920e+01,-
12,0.00370370,9.827628e-01,1.188502e+01,-
13,0.00401235,9.803674e-01,1.299689e+01,-
14,0.00432099,9.779739e-01,1.418280e+01,-
15,0.00462963,9.758359e-01,1.544814e+01,-
16,0.00493827,9.742664e-01,1.680261e+01,-
17,0.00524691,9.733736e-01,1.824907e+01,-
18,0.00555556,9.732108e-01,1.868976e+01,-
19,0.00586420,9.736893e-01,1.876816e+01,-
20,0.00617284,9.745225e-01,1.876561e+01,-
21,0.00648148,9.745582e-01,1.876715e+01,-
22,0.00679012,9.722230e-01,1.875065e+01,-
23,0.00709877,9.700749e-01,1.916729e+01,-
24,0.00740741,9.677172e-01,2.047435e+01,-
25,0.00771605,9.655253e-01,2.178350e+01,-
26,0.00802469,9.635228e-01,2.308905e+01,-
27,0.00833333,9.612161e-01,2.437190e+01,-
28,0.00864198,9.589312e-01,2.565965e+01,-
29,0.00895062,9.568042e-01,2.697315e+01,-
30,0.00925926,9.482705e-01,2.830651e+01,-
31,0.00956790,9.337815e-01,2.902927e+01,-
32,0.00987654,9.205745e-01,2.876567e+01,-
33,0.01018519,9.131937e-01,2.844576e+01,-
34,0.01049383,9.124270e-01,2.802915e+01,-
35,0.01080247,8.999397e-01,2.765948e+01,-
36,0.01111111,8.888108e-01,2.717184e+01,-
37,0.01141975,8.830727e-01,2.661070e+01,-
