step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
122,0.03765432,6.986733e-01,1.087336e+01,-
123,0.03796296,6.965687e-01,1.096676e+01,-
124,0.03827160,6.944944e-01,1.105106e+01,-
125,0.03858025,6.924518e-01,1.112770e+01,-
126,0.03888889,6.904401e-01,1.119898e+01,-
127,0.03919753,6.884602e-01,1.126792e+01,-
128,0.03950617,6.865152e-01,1.133678e+01,-
129,0.03981481,6.845987e-01,1.140876e+01,-
130,0.04012346,6.827088e-01,1.148495e+01,-
131,0.04043210,6.808433e-01,1.156485e+01,-
132,0.04074074,6.790014e-01,1.164843e+01,-
133,0.04104938,6.771800e-01,1.173738e+01,-
134,0.04135802,6.753783e-01,1.181502e+01,-
135,0.04166667,6.735954e-01,1.187059e+01,-
136,0.04197531,6.718305e-01,1.190448e+01,-
137,0.04228395,6.700842e-01,1.191646e+01,-
138,0.04259259,6.683560e-01,1.190699e+01,-
139,0.04290123,6.666454e-01,1.187754e+01,-
140,0.04320988,6.649528e-01,1.182896e+01,-
141,0.04351852,6.632771e-01,1.176312e+01,-
142,0.04382716,6.616182e-01,1.168189e+01,-
143,0.04413580,6.599737e-01,1.158758e+01,-
144,0.04444444,6.583451e-01,1.148223e+01,-
145,0.04475309,6.567316e-01,1.136818e+01,-
146,0.04506173,6.551345e-01,1.124773e+01,-
147,0.04537037,6.535524e-01,1.112250e+01,-
148,0.04567901,6.519894e-01,1.099487e+01,-
149,0.04598765,6.504461e-01,1.086676e+01,-
150,0.04629630,6.489216e-01,1.074099e+01,-
151,0.04660494,6.474183e-01,1.072406e+01,-
152,0.04691358,6.459380e-01,1.083063e+01,-
153,0.04722222,6.444826e-01,1.094999e+01,-
154,0.04753086,6.430533e-01,1.108161e+01,-
155,0.04783951,6.416503e-01,1.122266e+01,-
156,0.04814815,6.402767e-01,1.137039e+01,-
157,0.04845679,6.389348e-01,1.152245e+01,-
158,0.04876543,6.376271e-01,1.167826e+01,-
159,0.04907407,6.363575e-01,1.183623e+01,-
160,0.04938272,6.351263e-01,1.199611e+01,-
161,0.04969136,6.339372e-01,1.215733e+01,-
162,0.05000000,6.327924e-01,1.231964e+01,-
163,0.05030864,6.316965e-01,1.248193e+01,-
164,0.05061728,6.306520e-01,1.264443e+01,-
165,0.05092593,6.296629e-01,1.280699e+01,-
166,0.05123457,6.287321e-01,1.296923e+01,-
167,0.05154321,6.278607e-01,1.313204e+01,-
168,0.05185185,6.270547e-01,1.329660e+01,-
169,0.05216049,6.263160e-01,1.346244e+01,-
170,0.05246914,6.256480e-01,1.362925e+01,-
171,0.05277778,6.250547e-01,1.379610e+01,-
172,0.05308642,6.245421e-01,1.396229e+01,-
173,0.05339506,6.241126e-01,1.412683e+01,-
174,0.05370370,6.237677e-01,1.428876e+01,-
175,0.05401235,6.235124e-01,1.444834e+01,-
176,0.05432099,6.233518e-01,1.460441e+01,-
177,0.05462963,6.232877e-01,1.475700e+01,-
178,0.05493827,6.233205e-01,1.490623e+01,-
179,0.05524691,6.234536e-01,1.505224e+01,-
180,0.05555556,6.236852e-01,1.519563e+01,-
181,0.05586420,6.240156e-01,1.533702e+01,-
182,0.05617284,6.244439e-01,1.547661e+01,-
183,0.05648148,6.249692e-01,1.561603e+01,-
184,0.05679012,6.255900e-01,1.575581e+01,-
185,0.05709877,6.263039e-01,1.589691e+01,-
186,0.05740741,6.271055e-01,1.604058e+01,-
187,0.05771605,6.279895e-01,1.618710e+01,-
188,0.05802469,6.289450e-01,1.633659e+01,-
189,0.05833333,6.281816e-01,1.649002e+01,-
190,0.05864198,6.267695e-01,1.664741e+01,-
191,0.05895062,6.253958e-01,1.680861e+01,-
192,0.05925926,6.240684e-01,1.697369e+01,-
193,0.05956790,6.227929e-01,1.722640e+01,-
194,0.05987654,6.215684e-01,1.750888e+01,-
195,0.06018519,6.203934e-01,1.778836e+01,-
196,0.06049383,6.192681e-01,1.803896e+01,-
197,0.06080247,6.181956e-01,1.829879e+01,-
198,0.06111111,6.171679e-01,1.848934e+01,-
199,0.06141975,6.161828e-01,1.866664e+01,-
200,0.06172840,6.152425e-01,1.875750e+01,-
201,0.06203704,6.142977e-01,1.884473e+01,-
202,0.06234568,6.133455e-01,1.916869e+01,-
203,0.06265432,6.123829e-01,1.946026e+01,-
