step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,5.845417e+00,-
3,0.00092593,9.997777e-01,7.315893e+00,-
4,0.00123457,9.987391e-01,1.151681e+01,-
5,0.00154321,9.973505e-01,1.391834e+01,-
6,0.00185185,9.955233e-01,1.382691e+01,-
7,0.00216049,9.932584e-01,1.367800e+01,-
8,0.00246914,9.912983e-01,1.352410e+01,-
9,0.00277778,9.902071e-01,1.337414e+01,-
10,0.00308642,9.868501e-01,1.321456e+01,-
11,0.00339506,9.838547e-01,1.303440e+01,-
12,0.00370370,9.818298e-01,1.378450e+01,-
13,0.00401235,9.787212e-01,1.502349e+01,-
14,0.00432099,9.759384e-01,1.633527e+01,-
15,0.00462963,9.737822e-01,1.773251e+01,-
16,0.00493827,9.725599e-01,1.922613e+01,-
17,0.00524691,9.724195e-01,2.082226e+01,-
18,0.00555556,9.730921e-01,2.251996e+01,-
19,0.00586420,9.742510e-01,2.430533e+01,-
20,0.00617284,9.741419e-01,2.619501e+01,-
21,0.00648148,9.712259e-01,2.666527e+01,-
22,0.00679012,9.684235e-01,2.659765e+01,-
23,0.00709877,9.658292e-01,2.667743e+01,-
24,0.00740741,9.634722e-01,2.692166e+01,-
25,0.00771605,9.613548e-01,2.705977e+01,-
26,0.00802469,9.594815e-01,2.703384e+01,-
27,0.00833333,9.578963e-01,2.733723e+01,-
28,0.00864198,9.564152e-01,2.885155e+01,-
29,0.00895062,9.547379e-01,3.040773e+01,-
30,0.00925926,9.504315e-01,3.201337e+01,-
31,0.00956790,9.348393e-01,3.362437e+01,-
32,0.00987654,9.218839e-01,3.510372e+01,-
33,0.01018519,9.143459e-01,3.637021e+01,-
34,0.01049383,9.114466e-01,3.738922e+01,-
35,0.01080247,9.100134e-01,3.827802e+01,-
36,0.01111111,9.130703e-01,3.903612e+01,-
37,0.01141975,9.099350e-01,3.986007e+01,-
