step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,4.260817e+00,-
3,0.00092593,1.000000e+00,5.222164e+00,-
4,0.00123457,9.997391e-01,7.960869e+00,-
5,0.00154321,9.990237e-01,9.151202e+00,-
6,0.00185185,9.979979e-01,9.669683e+00,-
7,0.00216049,9.967038e-01,9.897309e+00,-
8,0.00246914,9.953844e-01,9.832695e+00,-
9,0.00277778,9.943880e-01,9.738041e+00,-
10,0.00308642,9.933348e-01,9.648518e+00,-
11,0.00339506,9.916642e-01,9.575962e+00,-
12,0.00370370,9.905025e-01,9.518812e+00,-
13,0.00401235,9.898018e-01,9.469461e+00,-
14,0.00432099,9.888668e-01,9.423251e+00,-
15,0.00462963,9.880230e-01,9.377908e+00,-
16,0.00493827,9.880394e-01,9.332574e+00,-
17,0.00524691,9.880124e-01,9.285155e+00,-
18,0.00555556,9.874160e-01,9.235606e+00,-
19,0.00586420,9.871881e-01,9.184195e+00,-
20,0.00617284,9.846616e-01,9.131156e+00,-
21,0.00648148,9.814378e-01,9.076727e+00,-
22,0.00679012,9.780795e-01,9.021160e+00,-
23,0.00709877,9.746740e-01,8.964727e+00,-
24,0.00740741,9.707504e-01,8.907604e+00,-
25,0.00771605,9.668610e-01,8.850184e+00,-
26,0.00802469,9.630883e-01,8.792857e+00,-
27,0.00833333,9.594981e-01,8.735684e+00,-
28,0.00864198,9.561491e-01,8.679024e+00,-
29,0.00895062,9.526471e-01,8.623164e+00,-
30,0.00925926,9.490632e-01,8.568882e+00,-
31,0.00956790,9.457660e-01,8.517202e+00,-
32,0.00987654,9.428152e-01,8.469038e+00,-
33,0.01018519,9.402693e-01,8.442469e+00,-
34,0.01049383,9.381155e-01,8.427818e+00,-
35,0.01080247,9.355700e-01,8.417235e+00,-
36,0.01111111,9.334378e-01,8.410845e+00,-
37,0.01141975,9.317460e-01,8.408930e+00,-
