step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
122,0.03765432,6.500785e-01,1.108034e+01,-
123,0.03796296,6.475448e-01,1.117884e+01,-
124,0.03827160,6.450392e-01,1.127066e+01,-
125,0.03858025,6.425623e-01,1.135663e+01,-
126,0.03888889,6.401144e-01,1.143955e+01,-
127,0.03919753,6.376934e-01,1.152122e+01,-
128,0.03950617,6.352990e-01,1.160318e+01,-
129,0.03981481,6.329308e-01,1.168721e+01,-
130,0.04012346,6.305868e-01,1.177441e+01,-
131,0.04043210,6.282649e-01,1.186498e+01,-
132,0.04074074,6.259642e-01,1.195956e+01,-
133,0.04104938,6.236818e-01,1.205769e+01,-
134,0.04135802,6.214166e-01,1.215448e+01,-
135,0.04166667,6.191681e-01,1.223264e+01,-
136,0.04197531,6.169358e-01,1.229141e+01,-
137,0.04228395,6.147191e-01,1.233088e+01,-
138,0.04259259,6.125166e-01,1.235039e+01,-
139,0.04290123,6.103295e-01,1.235059e+01,-
140,0.04320988,6.081591e-01,1.233207e+01,-
141,0.04351852,6.060046e-01,1.229608e+01,-
142,0.04382716,6.038657e-01,1.224487e+01,-
143,0.04413580,6.017414e-01,1.218056e+01,-
144,0.04444444,5.996319e-01,1.210495e+01,-
145,0.04475309,5.975368e-01,1.202023e+01,-
146,0.04506173,5.954571e-01,1.192830e+01,-
147,0.04537037,5.933917e-01,1.183179e+01,-
148,0.04567901,5.913435e-01,1.173192e+01,-
149,0.04598765,5.893135e-01,1.163184e+01,-
150,0.04629630,5.873030e-01,1.157048e+01,-
151,0.04660494,5.853121e-01,1.167862e+01,-
152,0.04691358,5.833415e-01,1.180536e+01,-
153,0.04722222,5.813919e-01,1.194831e+01,-
154,0.04753086,5.794639e-01,1.210525e+01,-
155,0.04783951,5.775568e-01,1.227385e+01,-
156,0.04814815,5.756723e-01,1.245176e+01,-
157,0.04845679,5.738108e-01,1.263724e+01,-
158,0.04876543,5.719725e-01,1.282930e+01,-
159,0.04907407,5.701578e-01,1.302703e+01,-
160,0.04938272,5.683662e-01,1.322944e+01,-
161,0.04969136,5.665972e-01,1.343454e+01,-
162,0.05000000,5.648499e-01,1.364160e+01,-
163,0.05030864,5.631256e-01,1.384945e+01,-
164,0.05061728,5.614247e-01,1.405706e+01,-
165,0.05092593,5.597457e-01,1.426541e+01,-
166,0.05123457,5.580888e-01,1.447363e+01,-
167,0.05154321,5.564547e-01,1.468328e+01,-
168,0.05185185,5.548430e-01,1.489379e+01,-
169,0.05216049,5.532549e-01,1.510509e+01,-
170,0.05246914,5.516917e-01,1.531774e+01,-
171,0.05277778,5.501555e-01,1.553042e+01,-
172,0.05308642,5.486485e-01,1.574097e+01,-
173,0.05339506,5.471744e-01,1.594890e+01,-
174,0.05370370,5.457360e-01,1.615724e+01,-
175,0.05401235,5.443351e-01,1.640191e+01,-
176,0.05432099,5.429748e-01,1.665073e+01,-
177,0.05462963,5.416601e-01,1.690363e+01,-
178,0.05493827,5.403970e-01,1.716013e+01,-
179,0.05524691,5.391915e-01,1.741988e+01,-
180,0.05555556,5.380502e-01,1.768282e+01,-
181,0.05586420,5.369814e-01,1.794856e+01,-
182,0.05617284,5.359925e-01,1.821654e+01,-
183,0.05648148,5.350795e-01,1.848623e+01,-
184,0.05679012,5.342576e-01,1.875774e+01,-
185,0.05709877,5.335362e-01,1.903130e+01,-
186,0.05740741,5.329191e-01,1.930607e+01,-
187,0.05771605,5.324139e-01,1.958232e+01,-
188,0.05802469,5.320210e-01,1.986004e+01,-
189,0.05833333,5.317393e-01,2.013841e+01,-
190,0.05864198,5.315677e-01,2.041703e+01,-
191,0.05895062,5.315035e-01,2.069738e+01,-
192,0.05925926,5.315422e-01,2.097919e+01,-
193,0.05956790,5.316759e-01,2.126414e+01,-
194,0.05987654,5.318757e-01,2.155247e+01,-
195,0.06018519,5.321574e-01,2.184511e+01,-
196,0.06049383,5.325187e-01,2.214293e+01,-
197,0.06080247,5.329556e-01,2.244729e+01,-
198,0.06111111,5.334710e-01,2.275746e+01,-
199,0.06141975,5.340693e-01,2.307579e+01,-
200,0.06172840,5.347529e-01,2.340176e+01,-
201,0.06203704,5.355265e-01,2.373585e+01,-
202,0.06234568,5.363982e-01,2.407705e+01,-
203,0.06265432,5.373770e-01,2.442636e+01,-
204,0.06296296,5.384717e-01,2.478186e+01,-
205,0.06327160,5.396844e-01,2.514549e+01,-
206,0.06358025,5.393750e-01,2.551606e+01,-
207,0.06388889,5.367831e-01,2.589386e+01,-
208,0.06419753,5.342506e-01,2.627908e+01,-
209,0.06450617,5.317729e-01,2.667285e+01,-
210,0.06481481,5.293444e-01,2.707412e+01,-
211,0.06512346,5.269609e-01,2.748388e+01,-
212,0.06543210,5.246186e-01,2.790090e+01,-
213,0.06574074,5.223084e-01,2.832572e+01,-
214,0.06604938,5.200248e-01,2.875657e+01,-
215,0.06635802,5.177620e-01,2.919303e+01,-
216,0.06666667,5.155101e-01,2.963245e+01,-
217,0.06697531,5.132655e-01,3.007378e+01,-
218,0.06728395,5.110232e-01,3.051533e+01,-
219,0.06759259,5.087763e-01,3.095463e+01,-
220,0.06790123,5.065193e-01,3.139099e+01,-
221,0.06820988,5.042489e-01,3.182069e+01,-
222,0.06851852,5.019622e-01,3.224517e+01,-
223,0.06882716,4.996573e-01,3.265910e+01,-
224,0.06913580,4.973295e-01,3.306547e+01,-
225,0.06944444,4.949808e-01,3.345743e+01,-
226,0.06975309,4.926073e-01,3.383908e+01,-
227,0.07006173,4.902079e-01,3.420385e+01,-
228,0.07037037,4.877863e-01,3.455254e+01,-
229,0.07067901,4.853405e-01,3.488979e+01,-
230,0.07098765,4.828718e-01,3.520824e+01,-
231,0.07129630,4.803832e-01,3.550830e+01,-
232,0.07160494,4.778752e-01,3.579487e+01,-
233,0.07191358,4.753570e-01,3.606163e+01,-
234,0.07222222,4.728256e-01,3.921601e+01,-
235,0.07253086,4.702830e-01,4.276657e+01,-
236,0.07283951,4.677303e-01,4.641597e+01,-
237,0.07314815,4.651712e-01,5.021271e+01,-
