step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,nan
1,0.00030864,nan,0.000000e+00,nan
2,0.00061728,1.000000e+00,7.020612e+00,2.922259e-04
3,0.00092593,1.000000e+00,7.002860e+00,1.492275e-03
4,0.00123457,9.992735e-01,7.408039e+00,2.219150e-03
5,0.00154321,9.975598e-01,8.762668e+00,2.639349e-03
6,0.00185185,9.954319e-01,1.003448e+01,3.354309e-03
7,0.00216049,9.938850e-01,1.123468e+01,4.366443e-03
8,0.00246914,9.916262e-01,1.247980e+01,5.365599e-03
9,0.00277778,9.877505e-01,1.379969e+01,6.457722e-03
10,0.00308642,9.848429e-01,1.519033e+01,7.452880e-03
11,0.00339506,9.821531e-01,1.664468e+01,8.255643e-03
12,0.00370370,9.793969e-01,1.817220e+01,8.826566e-03
13,0.00401235,9.769396e-01,1.979774e+01,9.212701e-03
14,0.00432099,9.743266e-01,2.153968e+01,9.420537e-03
15,0.00462963,9.716236e-01,2.340269e+01,9.562353e-03
16,0.00493827,9.701512e-01,2.540694e+01,9.694846e-03
17,0.00524691,9.699340e-01,2.598240e+01,9.914183e-03
18,0.00555556,9.709665e-01,2.587208e+01,1.091109e-02
19,0.00586420,9.719731e-01,2.566967e+01,1.011707e-02
20,0.00617284,9.723948e-01,2.551931e+01,1.044242e-02
21,0.00648148,9.727950e-01,2.537397e+01,1.033091e-02
22,0.00679012,9.739606e-01,2.683291e+01,1.048111e-02
23,0.00709877,9.754444e-01,2.873451e+01,1.406970e-02
24,0.00740741,9.757282e-01,3.067872e+01,1.427862e-02
25,0.00771605,9.713138e-01,3.263304e+01,1.213096e-02
26,0.00802469,9.668952e-01,3.457934e+01,1.294401e-02
27,0.00833333,9.639550e-01,3.650525e+01,1.472928e-02
28,0.00864198,9.615079e-01,3.843281e+01,1.629539e-02
29,0.00895062,9.600834e-01,4.043721e+01,1.554527e-02
30,0.00925926,9.576950e-01,4.103885e+01,1.972273e-02
31,0.00956790,9.496660e-01,4.016672e+01,2.122163e-02
32,0.00987654,9.386734e-01,3.981843e+01,2.508885e-02
33,0.01018519,9.300934e-01,3.900538e+01,2.375739e-02
34,0.01049383,9.156403e-01,3.770702e+01,2.196441e-02
35,0.01080247,9.034595e-01,3.811544e+01,2.102954e-02
36,0.01111111,8.984362e-01,3.900482e+01,2.825456e-02
37,0.01141975,8.985130e-01,3.991767e+01,3.134644e-02
38,0.01172840,9.034384e-01,4.083152e+01,3.555224e-02
39,0.01203704,9.097774e-01,4.137863e+01,3.634555e-02
40,0.01234568,9.047551e-01,4.154670e+01,3.519605e-02
41,0.01265432,8.799104e-01,4.154209e+01,3.571312e-02
42,0.01296296,8.574626e-01,4.177395e+01,3.549322e-02
43,0.01327160,8.432112e-01,4.244915e+01,3.565738e-02
44,0.01358025,8.348960e-01,4.284874e+01,3.311998e-02
45,0.01388889,8.220861e-01,4.357987e+01,3.141350e-02
46,0.01419753,8.059022e-01,4.491719e+01,2.965331e-02
47,0.01450617,7.969268e-01,4.631443e+01,2.765169e-02
48,0.01481481,7.946775e-01,4.764805e+01,2.800275e-02
49,0.01512346,7.895289e-01,4.833031e+01,2.784410e-02
50,0.01543210,7.877138e-01,4.884093e+01,2.893256e-02
51,0.01574074,7.883184e-01,5.042458e+01,2.923612e-02
52,0.01604938,7.890537e-01,5.227276e+01,3.221993e-02
53,0.01635802,7.844075e-01,5.663878e+01,3.407158e-02
54,0.01666667,7.743397e-01,5.845279e+01,3.067331e-02
55,0.01697531,7.616324e-01,6.011611e+01,3.317363e-02
56,0.01728395,7.475645e-01,6.026975e+01,3.567209e-02
57,0.01759259,7.349384e-01,6.182236e+01,4.089017e-02
58,0.01790123,7.266349e-01,6.524354e+01,3.244806e-02
59,0.01820988,7.169312e-01,6.659842e+01,3.549934e-02
60,0.01851852,7.030040e-01,6.519476e+01,3.643311e-02
61,0.01882716,6.888548e-01,6.622177e+01,3.814668e-02
62,0.01913580,6.746382e-01,6.614108e+01,3.940416e-02
63,0.01944444,6.606461e-01,6.552316e+01,3.885518e-02
64,0.01975309,6.470975e-01,6.510491e+01,3.851366e-02
65,0.02006173,6.344419e-01,6.438652e+01,3.816932e-02
66,0.02037037,6.219214e-01,6.471870e+01,3.663742e-02
67,0.02067901,6.101046e-01,6.638765e+01,3.944160e-02
68,0.02098765,5.981116e-01,6.818653e+01,3.262467e-02
69,0.02129630,5.865682e-01,6.954708e+01,3.261707e-02
70,0.02160494,5.753334e-01,7.458708e+01,3.478612e-02
71,0.02191358,5.637669e-01,7.910356e+01,3.680872e-02
72,0.02222222,5.488630e-01,8.296870e+01,3.514908e-02
73,0.02253086,5.323671e-01,8.631592e+01,4.031807e-02
74,0.02283951,5.150085e-01,8.938774e+01,3.560867e-02
75,0.02314815,4.976805e-01,9.216215e+01,3.928734e-02
76,0.02345679,4.820203e-01,9.444414e+01,3.878713e-02
77,0.02376543,4.677832e-01,9.689138e+01,3.995003e-02
78,0.02407407,4.537033e-01,1.004815e+02,4.427449e-02
79,0.02438272,4.367648e-01,1.049152e+02,4.445977e-02
80,0.02469136,4.225163e-01,1.096885e+02,4.077729e-02
81,0.02500000,4.131977e-01,1.140345e+02,4.647053e-02
82,0.02530864,4.076031e-01,1.225826e+02,5.200345e-02
83,0.02561728,4.049079e-01,1.395462e+02,4.677828e-02
84,0.02592593,4.053400e-01,1.581111e+02,4.688611e-02
85,0.02623457,4.100238e-01,1.757660e+02,4.774352e-02
86,0.02654321,4.155061e-01,1.903530e+02,4.336864e-02
87,0.02685185,4.098291e-01,2.004554e+02,5.198880e-02
88,0.02716049,4.082591e-01,2.066459e+02,5.465101e-02
89,0.02746914,4.103747e-01,2.088317e+02,4.723824e-02
90,0.02777778,4.007425e-01,2.067337e+02,4.244128e-02
91,0.02808642,3.905736e-01,2.005993e+02,4.189210e-02
92,0.02839506,3.826394e-01,1.902017e+02,3.817835e-02
93,0.02870370,3.761611e-01,1.765747e+02,3.801116e-02
94,0.02901235,3.711555e-01,1.632906e+02,3.796193e-02
95,0.02932099,3.686392e-01,1.529360e+02,3.519393e-02
96,0.02962963,3.705806e-01,1.235751e+02,3.507961e-02
97,0.02993827,3.793626e-01,1.247490e+02,3.305274e-02
98,0.03024691,4.129574e-01,1.255079e+02,3.521005e-02
99,0.03055556,4.082725e-01,1.260457e+02,3.685512e-02
100,0.03086420,4.038929e-01,1.266735e+02,3.269688e-02
101,0.03117284,4.002969e-01,1.274317e+02,3.032507e-02
102,0.03148148,3.976604e-01,1.434463e+02,3.113331e-02
103,0.03179012,3.951868e-01,1.604158e+02,3.196887e-02
104,0.03209877,3.935904e-01,1.782080e+02,3.012704e-02
105,0.03240741,3.935456e-01,1.965807e+02,2.956858e-02
106,0.03271605,3.956538e-01,2.150598e+02,3.517941e-02
107,0.03302469,4.003104e-01,2.330654e+02,3.846282e-02
108,0.03333333,4.065912e-01,2.502298e+02,2.954877e-02
109,0.03364198,4.112096e-01,2.657548e+02,3.034850e-02
110,0.03395062,4.149910e-01,2.792498e+02,3.341514e-02
111,0.03425926,4.175031e-01,2.903844e+02,3.309818e-02
112,0.03456790,4.191431e-01,2.981522e+02,3.283707e-02
113,0.03487654,4.202719e-01,3.019345e+02,3.692048e-02
114,0.03518519,4.213110e-01,3.018418e+02,3.500837e-02
115,0.03549383,4.187547e-01,2.977800e+02,3.552224e-02
116,0.03580247,4.099054e-01,2.919497e+02,3.965920e-02
117,0.03611111,4.038602e-01,2.862054e+02,3.305713e-02
118,0.03641975,4.008664e-01,2.818588e+02,2.983156e-02
119,0.03672840,3.931744e-01,2.785296e+02,3.529101e-02
120,0.03703704,3.854264e-01,2.754626e+02,3.369148e-02
121,0.03734568,3.793809e-01,2.725393e+02,3.542942e-02
122,0.03765432,3.754337e-01,2.739265e+02,3.615688e-02
123,0.03796296,3.733464e-01,2.757254e+02,3.705164e-02
124,0.03827160,3.715742e-01,2.411223e+02,3.854229e-02
