sigma_over_R,viscous01,ignited01,pending01,t_ign_rev,screen01,nt
0.03808,1,0,0,nan,0,36
0.01930,1,1,0,28.833,0,36
0.02992,0,1,0,13.556,0,36
0.02992,1,1,0,13.500,0,36
0.03491,1,1,0,27.667,0,36
0.08727,0,0,0,nan,1,36
0.02094,1,1,0,6.007,1,144
0.01496,0,1,0,2.694,1,36
0.01496,1,1,0,5.444,1,36
0.01995,1,1,0,6.583,1,36
0.02493,0,1,0,7.667,1,36
0.02493,1,1,0,7.944,1,36
0.02992,1,0,0,nan,1,36
0.03808,0,0,0,nan,1,36
0.03808,1,0,0,nan,1,36
0.03117,1,0,0,nan,1,36
0.02992,0,1,0,8.250,1,36
0.02992,0,0,0,nan,1,36
0.02992,0,1,0,7.194,1,36
0.02992,0,0,0,nan,1,36
0.02992,0,1,0,6.722,1,36
0.02909,0,1,0,7.694,1,36
0.02909,0,1,0,6.208,1,72
0.01995,0,1,0,5.000,1,36
0.04987,0,0,0,nan,1,36
