# x_over_c y_over_c
1.0000000000000000e+00 0.0000000000000000e+00
9.9993831624083029e-01 1.5433334754313631e-05
9.9975328018286580e-01 6.1698382740515989e-05
9.9944493748098495e-01 1.3869093925518645e-04
9.9901336421413578e-01 2.4623952998085855e-04
9.9845866686656404e-01 3.8410866398514527e-04
9.9778098230154000e-01 5.5200329408007509e-04
9.9698047772758991e-01 7.4957439239671324e-04
9.9605735065723888e-01 9.7642552511229409e-04
9.9501182885827877e-01 1.2321202881346426e-03
9.9384417029756889e-01 1.5161904455792742e-03
9.9255466307738693e-01 1.8281445954185728e-03
9.9114362536434442e-01 2.1674771720828789e-03
9.8961140531088287e-01 2.5336775843561544e-03
9.8795838096937372e-01 2.9262392789128548e-03
9.8618496019883828e-01 3.3446685155323159e-03
9.8429158056431554e-01 3.7884926395913578e-03
9.8227870922889904e-01 4.2572676410274311e-03
9.8014684283847142e-01 4.7505847966630051e-03
9.7789650739916500e-01 5.2680762046135509e-03
9.7552825814757682e-01 5.8094190354160344e-03
9.7304267941377265e-01 6.3743383443868422e-03
9.7044038447711278e-01 6.9626083133467274e-03
9.6772201541493363e-01 7.5740518169474047e-03
9.6488824294412567e-01 8.2085382390305189e-03
9.6193976625564337e-01 8.8659794972978014e-03
9.5887731284199051e-01 9.5463242695362927e-03
9.5570163831772259e-01 1.0249550451126558e-02
9.5241352623300968e-01 1.0975655910893237e-02
9.4901378788030777e-01 1.1724647649811522e-02
9.4550326209418389e-01 1.2496529503894630e-02
9.4188281504434679e-01 1.3291288567954886e-02
9.3815334002193174e-01 1.4108880550048983e-02
9.3431575721909554e-01 1.4949214296475952e-02
9.3037101350197182e-01 1.5812135753418763e-02
9.2632008217704609e-01 1.6697411652962364e-02
9.2216396275100754e-01 1.7604713227615129e-02
9.1790368068413519e-01 1.8533600268011981e-02
9.1354028713728086e-01 1.9483505842698971e-02
9.0907485871251170e-01 2.0453721996423972e-02
9.0450849718747373e-01 2.1443386733954319e-02
8.9984232924354524e-01 2.2451472580024428e-02
8.9507750618784521e-01 2.3476776982665922e-02
8.9021520366916485e-01 2.4517914797127106e-02
8.8525662138789452e-01 2.5573313051261329e-02
8.8020298280001552e-01 2.6641208151234216e-02
8.7505553481522980e-01 2.7719645639405655e-02
8.6981554748930479e-01 2.8806482565176827e-02
8.6448431371070567e-01 2.9899392475486789e-02
8.5906314888159430e-01 3.0995872975638505e-02
8.5355339059327373e-01 3.2093255754479216e-02
8.4795639829615710e-01 3.3188718911962407e-02
8.4227355296434436e-01 3.4279301373130545e-02
8.3650625675488655e-01 3.5361919121939978e-02
8.3065593266182591e-01 3.6433382942430877e-02
8.2472402416509172e-01 3.7490417314806380e-02
8.1871199487434487e-01 3.8529680081196088e-02
8.1262132816785260e-01 3.9547782471300939e-02
8.0645352682648808e-01 4.0541309062630440e-02
8.0021011266294195e-01 4.1506837244361210e-02
7.9389262614623646e-01 4.2453269397783489e-02
7.8750262602163934e-01 4.3392537686700990e-02
7.8104168892606540e-01 4.4323359076051852e-02
7.7451140899906579e-01 4.5244567009334720e-02
7.6791339748949827e-01 4.6155140011019044e-02
7.6124928235797440e-01 4.7054213681603785e-02
7.5452070787518566e-01 4.7941090215532438e-02
7.4772933421620380e-01 4.8815245231631950e-02
7.4087683705085750e-01 4.9676331750374135e-02
7.3396490713028661e-01 5.0524181200464049e-02
7.2699524986977337e-01 5.1358801388205297e-02
