k,sigma_over_R,probe_run,probe_sigma_over_R,M,method,verdict,sigma_next_over_R
0,0.03557,p018_ufront_s035_visc,0.03491,7.161686e-01,proxy -dln(min_sr),FAIL,0.06731
1,0.06731,scr_b0,0.08727,9.706625e-03,proxy -dln(min_sr),PASS (sigma* = sigma_k),0.01483
