h_over_R,ratio,eminus,eplus
0.5,1.2,0.009,0.009
1.0,1.078,0.008,0.008
1.5,1.01,0.014,0.014
2.0,1.004,0.004,0.004
2.5,0.996,0.009,0.009
3.0,0.999,0.023,0.023
4.0,1.009,0.008,0.008
5.5,0.998,0.012,0.012
7.0,1.001,0.012,0.012
