# x_over_c y_over_c
8.8020298280001552e-01 3.3702368660737690e-02
8.7505553481522980e-01 3.4978973059559854e-02
8.6981554748930479e-01 3.6243217029012148e-02
8.6448431371070567e-01 3.7491346254933701e-02
8.5906314888159430e-01 3.8719618468812590e-02
8.5355339059327373e-01 3.9924325766565329e-02
8.4795639829615710e-01 4.1101815863659082e-02
8.4227355296434436e-01 4.2248511914869405e-02
8.3650625675488655e-01 4.3360930553645018e-02
8.3065593266182591e-01 4.4435697840631158e-02
8.2472402416509172e-01 4.5469562852694392e-02
8.1871199487434487e-01 4.6459408691906699e-02
8.1262132816785260e-01 4.7402260747350315e-02
8.0645352682648808e-01 4.8295292100105205e-02
8.0021011266294195e-01 4.9135826022090212e-02
7.9389262614623646e-01 4.9942295444901710e-02
7.8750262602163934e-01 5.0737361858376698e-02
7.8104168892606540e-01 5.1520570006602331e-02
7.7451140899906579e-01 5.2291532624765817e-02
7.6791339748949827e-01 5.3049952988590950e-02
7.6124928235797440e-01 5.3795621695410620e-02
7.5452070787518566e-01 5.4528412486187859e-02
7.4772933421620380e-01 5.5248277171007894e-02
7.4087683705085750e-01 5.5955239732904456e-02
7.3396490713028661e-01 5.6649389696259801e-02
7.2699524986977337e-01 5.7330874856244579e-02
7.1996958492795760e-01 5.7999893474673408e-02
7.1288964578253633e-01 5.8656686055093311e-02
7.0575717930255433e-01 5.9301526815762791e-02
6.9857394531739025e-01 5.9934714983308650e-02
6.9134171618254481e-01 6.0556566032180903e-02
6.8406227634233896e-01 6.1167402995503287e-02
6.7673742188962849e-01 6.1767547971505105e-02
6.6936896012264568e-01 6.2357313946418240e-02
6.6195870909907462e-01 6.2936997049555618e-02
6.5450849718747373e-01 6.3506869349310158e-02
6.4702016261615203e-01 6.4067172290113578e-02
6.3949555301961458e-01 6.4618110860083344e-02
6.3193652498268649e-01 6.5159848567306111e-02
6.2434494358242731e-01 6.5692503289625698e-02
6.1672268192795265e-01 6.6216144048608677e-02
6.0907162069827125e-01 6.6730788743268543e-02
6.0139364767825620e-01 6.7236402863363021e-02
5.9369065729286230e-01 6.7732899185886972e-02
5.8596455013970472e-01 6.8220138442017797e-02
5.7821723252011537e-01 6.8697930925492992e-02
5.7045061596879132e-01 6.9166038997475976e-02
5.6266661678215213e-01 6.9624180427660554e-02
5.5486715554552257e-01 7.0072032496930670e-02
5.4705415665925705e-01 7.0509236773584533e-02
5.3922954786392241e-01 7.0935404463177754e-02
5.3139525976465674e-01 7.1350122221660206e-02
5.2355322535482129e-01 7.1752958312867252e-02
5.1570537953906415e-01 7.2143468984744899e-02
5.0785365865591026e-01 7.2521204934084635e-02
4.9999999999999994e-01 7.2885717727118410e-02
4.9214634134408969e-01 7.3236566043159854e-02
4.8429462046093580e-01 7.3573321610603384e-02
4.7644677464517865e-01 7.3895574709022388e-02
4.6860474023534326e-01 7.4202939117789510e-02
4.6077045213607748e-01 7.4495056400518386e-02
4.5294584334074284e-01 7.4771599425573626e-02
4.4513284445447732e-01 7.5032275035774823e-02
4.3733338321784787e-01 7.5276825795043592e-02
4.2954938403120857e-01 7.5505030755903535e-02
4.2178276747988452e-01 7.5716705209189133e-02
4.1403544986029522e-01 7.5911699395794521e-02
4.0630934270713764e-01 7.6089896179493591e-02
3.9860635232174374e-01 7.6251207699493562e-02
3.9092837930172863e-01 7.6395571041113636e-02
3.8327731807204724e-01 7.6522942982489267e-02
3.7565505641757263e-01 7.6633293894154450e-02
3.6806347501731351e-01 7.6726600886422955e-02
3.6050444698038536e-01 7.6802840316354148e-02
3.5297983738384797e-01 7.6861979781447057e-02
3.4549150281252627e-01 7.6903969740761774e-02
3.3804129090092527e-01 7.6928734915664362e-02
3.3063103987735426e-01 7.6936165631592460e-02
3.2326257811037140e-01 7.6926109268934159e-02
3.1593772365766093e-01 7.6898361995148712e-02
3.0865828381745508e-01 7.6852660951493054e-02
3.0142605468260975e-01 7.6788677066084332e-02
2.9424282069744556e-01 7.6706008660473238e-02
2.8711035421746367e-01 7.6604176009443720e-02
2.8003041507204240e-01 7.6482617003438683e-02
2.7300475013022657e-01 7.6340684049946497e-02
2.6603509286971333e-01 7.6177642334509049e-02
2.5912316294914228e-01 7.5992669543928776e-02
2.5227066578379620e-01 7.5784857133990011e-02
2.4547929212481429e-01 7.5553213201838554e-02
2.3875071764202555e-01 7.5296666999404196e-02
2.3208660251050173e-01 7.5014075099229027e-02
2.2548859100093410e-01 7.4704229198160749e-02
2.1895831107393471e-01 7.4365865517964425e-02
2.1249737397836072e-01 7.3997675735404528e-02
2.0610737385376343e-01 7.3598319348167560e-02
1.9978988733705794e-01 7.3166437357544994e-02
1.9354647317351170e-01 7.2700667124491539e-02
1.8737867183214740e-01 7.2199658232918754e-02
1.8128800512565513e-01 7.1662089173261098e-02
1.7527597583490817e-01 7.1086684640825321e-02
1.6934406733817403e-01 7.0472233227538386e-02
1.6349374324511329e-01 6.9817605272744207e-02
1.5772644703565564e-01 6.9121770628921289e-02
1.5204360170384285e-01 6.8383816091824048e-02
1.4644660940672621e-01 6.7602962241748943e-02
1.4093685111840554e-01 6.6778579443513175e-02
1.3551568628929422e-01 6.5910202757368808e-02
1.3018445251069516e-01 6.4997545521462766e-02
1.2494446518477026e-01 6.4040511378537293e-02
1.1979701719998453e-01 6.3039204535248083e-02
1.1474337861210537e-01 6.1993938061580656e-02
1.0978479633083510e-01 6.0905240060157788e-02
1.0492249381215479e-01 5.9773857560480786e-02
1.0015767075645471e-01 5.8600758021012042e-02
9.5491502812526274e-02 5.7387128352126400e-02
