step,min_sr_sfs_on,min_sr_sfs_off,max_dtZ_on,max_dtZ_off
0,nan,nan,NaN,NaN
1,nan,nan,NaN,NaN
2,1.000000e+00,1.000000e+00,0.000292225911114445,0.000292225911114445
3,1.000000e+00,1.000000e+00,0.0014922750280577973,0.001492366323124792
4,9.992735e-01,9.992734e-01,0.002219150102884309,0.002224378310539847
5,9.975598e-01,9.975545e-01,0.0026393487738517385,0.0027271351535546884
6,9.954319e-01,9.953391e-01,0.0033543087082611596,0.003358623471319984
7,9.938850e-01,9.933242e-01,0.004366443109720281,0.004364133837848011
8,9.916262e-01,9.916127e-01,0.005365599235062092,0.005385821173190999
9,9.877505e-01,9.876743e-01,0.006457721736147492,0.006534572704644641
10,9.848429e-01,9.847073e-01,0.0074528801608992005,0.00762054143570948
11,9.821531e-01,9.818011e-01,0.008255643234660184,0.008480911811099964
12,9.793969e-01,9.786067e-01,0.008826566280824073,0.009076897997402475
13,9.769396e-01,9.755994e-01,0.009212700692402747,0.009458968958194862
14,9.743266e-01,9.721793e-01,0.009420537148918643,0.009700667250987323
15,9.716236e-01,9.693481e-01,0.009562353334127806,0.009861362065252417
16,9.701512e-01,9.675466e-01,0.009694846193302901,0.00997101938716995
17,9.699340e-01,9.668394e-01,0.009914183217161351,0.010016353213506805
18,9.709665e-01,9.669591e-01,0.010911094936827124,0.010003129541401484
19,9.719731e-01,9.678369e-01,0.010117067546912993,0.01029542375509107
20,9.723948e-01,9.690702e-01,0.010442418459712485,0.010409167367689307
21,9.727950e-01,9.705946e-01,0.01033091303532188,0.01056430611317895
22,9.739606e-01,9.716761e-01,0.010481108932885223,0.010640545216020217
23,9.754444e-01,9.727841e-01,0.014069704805235839,0.010632283461842253
24,9.757282e-01,9.720041e-01,0.014278620747837667,0.01116657156063837
25,9.713138e-01,9.663608e-01,0.0121309647949038,0.012048196836838143
26,9.668952e-01,9.624630e-01,0.012944009761168966,0.012874727113204084
27,9.639550e-01,9.602158e-01,0.014729283172968278,0.013558721512496982
28,9.615079e-01,9.585326e-01,0.016295393202719465,0.014095178621711325
29,9.600834e-01,9.569309e-01,0.01554527350949503,0.01451831712119314
30,9.576950e-01,9.545791e-01,0.0197227277685536,0.01803589217533914
31,9.496660e-01,9.526669e-01,0.02122162529329086,0.022659208140116124
32,9.386734e-01,9.509347e-01,0.025088849900866534,0.02471224921002278
33,9.300934e-01,9.497146e-01,0.02375738761076536,0.022817907804558956
34,9.156403e-01,9.483638e-01,0.021964413174123912,0.01994738988714625
35,9.034595e-01,9.427114e-01,0.021029541225757162,0.0200902287786606
36,8.984362e-01,9.329774e-01,0.028254556789814797,0.024690620372512958
37,8.985130e-01,9.235727e-01,0.03134644010734308,0.029908918329314086
38,9.034384e-01,9.160064e-01,0.035552236118616874,0.03461960853487886
39,9.097774e-01,9.114302e-01,0.036345553331756104,0.03454853772024194
40,9.047551e-01,9.064860e-01,0.03519604637026828,0.03242691577328249
41,8.799104e-01,8.883219e-01,0.035713119273920096,0.03480083858338437
42,8.574626e-01,8.737241e-01,0.0354932165311138,0.03570704989651768
43,8.432112e-01,8.536914e-01,0.03565737762772087,0.03520931603269418
44,8.348960e-01,8.342661e-01,0.03311998342491988,0.033864392647487314
45,8.220861e-01,8.157333e-01,0.03141349750853248,0.031860539217836895
46,8.059022e-01,7.975644e-01,0.02965330832730594,0.030625849734334874
47,7.969268e-01,7.816081e-01,0.027651688821286203,0.031938510596897986
48,7.946775e-01,7.685863e-01,0.028002748364916306,0.03350578915857372
49,7.895289e-01,7.585889e-01,0.02784410067365308,0.031837024171784654
50,7.877138e-01,7.515527e-01,0.028932556260198982,0.02880338962011423
51,7.883184e-01,7.466826e-01,0.029236117982358298,0.03128423762476906
52,7.890537e-01,7.429494e-01,0.03221992803940199,0.030572373245111393
53,7.844075e-01,7.364607e-01,0.03407157694234294,0.03010769467930622
54,7.743397e-01,7.306501e-01,0.030673312242616987,0.032539747992299854
55,7.616324e-01,7.231017e-01,0.03317363098467272,0.03598457631858884
56,7.475645e-01,7.145496e-01,0.035672094548822475,0.04336525186401126
57,7.349384e-01,7.083899e-01,0.040890173388603304,0.04302913281612545
58,7.266349e-01,7.054082e-01,0.032448056045723546,0.03969114556294329
59,7.169312e-01,6.947703e-01,0.03549934181319868,0.04460662946950291
60,7.030040e-01,6.828405e-01,0.03643310702225564,0.05075731339048173
61,6.888548e-01,6.735410e-01,0.03814668238265897,0.055751871171293696
62,6.746382e-01,6.609581e-01,0.03940416437405719,0.049354794660517266
63,6.606461e-01,6.521591e-01,0.038855180382719824,0.048919727281568674
64,6.470975e-01,6.371175e-01,0.03851366244412738,0.05189273504165779
65,6.344419e-01,6.217592e-01,0.038169321614350264,0.048714159780249726
66,6.219214e-01,6.061494e-01,0.03663741537517003,0.04014194914857795
67,6.101046e-01,5.902086e-01,0.03944160463558297,0.037153771188601484
68,5.981116e-01,5.742675e-01,0.0326246702008758,0.037428857064440046
69,5.865682e-01,5.584695e-01,0.03261707124264851,0.036240966088550756
