run,sigma_over_R,viscous,outcome,onset_step,M_pre_onset,M_whole_run,gamma_implied_pre
scr_p019_s015,0.01496,False,ignited,111,10.074388813629216,75.10578068769266,0.6499810521316027
scr_p019_s025,0.02493,False,ignited,287,3.443734797332787,710.1511711347575,0.6170112140643482
scr_p019_s038,0.03808,False,survivor,,0.1412350062339361,0.1412350062339361,0.05904118074570083
