run,sigma_over_R,viscous,outcome,onset_step,M_pre_onset,M_whole_run,gamma_implied_pre
scr_p019_s015v,0.01496,True,ignited,196,12.58469273054128,622.364271902207,0.8119412475607483
scr_p019_s020v,0.01995,True,ignited,237,28.240161110785884,568.102411262787,3.240199655024738
scr_p019_s025v,0.02493,True,ignited,286,1.1163291001557254,196.11947593247564,0.20001179356665896
