run,sigma_over_R,viscous,outcome,onset_step,M_pre_onset,M_whole_run,gamma_implied_pre
scr_p019_s030v,0.02992,True,survivor,,0.29537160077040325,0.29537160077040325,0.07622733146007338
scr_p019_sstab,0.03117,True,survivor,,0.133789963394864,0.133789963394864,0.03747278236797398
scr_p019_s038v,0.03808,True,survivor,,0.11228548770366677,0.11228548770366677,0.04693926775951402
