class,n_replicates,paired_mean,paired_sd,ratio,split_rejected
interior,18,2.382523508341033,1.9397074369266445,1.228290134369957,false
roottip,18,0.7202800969266012,0.5194449325496002,1.3866341777389923,false
perimeter,18,4.021362434623999,3.577321666470955,1.1241265979279667,false
