nrows_coarse,nrows_fine,rms_abs,max_abs,rms_rel
64,128,0.006883441244174587,0.024084720696342758,0.008664433208738588
128,256,0.0013331579245824568,0.004516161477512801,0.0016780934687313325
256,512,0.0003359179977183583,0.0011432575303306327,0.00042283197482176344
