strategy,d_over_sigma,handoff_normalized_rms,handoff_normalized_max,particle_count
legacy,0.25,1.7011685001224424,1.6750181458216256,291
legacy,0.5,2.7277467824218300,2.7271346129365870,291
legacy,1.0,3.3249114838653493,3.3746125516897205,291
legacy,2.0,2.7374067707096867,2.7605478323295980,291
legacy,4.0,1.6818252796431874,1.7020287997877062,291
legacy,8.0,0.9258206239354789,0.9312523244008923,291
upstream,0.25,1.8118446394518680,1.7745765704208754,1224
upstream,0.5,2.7149819019149697,2.7105349814203064,1224
upstream,1.0,3.2344228826312330,3.2834055042213330,1224
upstream,2.0,2.5818801348622330,2.6065323697718620,1224
upstream,4.0,1.5294228719876840,1.5495829886697157,1224
upstream,8.0,0.8207012378893973,0.8237252475870755,1224
split,0.25,1.7605536890988895,1.7288826875601173,1224
split,0.5,2.7110126166183170,2.7092332392963083,1224
split,1.0,3.2588507026917006,3.3091123419778774,1224
split,2.0,2.6257602712541592,2.6512129078014897,1224
split,4.0,1.5705748177461587,1.5922207510258070,1224
split,8.0,0.8448224082744432,0.8503085997917981,1224

