family,d_over_sigma,common_mode_rms,E_upstream_rms,E_split_rms,E_downstream_rms,paired_mean,paired_median,paired_p95,paired_max,n_split_better,n_probes
aft,0.25,0.14309966229670099,0.14309966229670099,0.1482544543593765,0.15359738028702016,0.005189441084924057,0.004613074056129124,0.009001234399423907,0.009001234399423907,0,12
aft,0.5,0.14257699835225954,0.14257699835225954,0.14924542161577345,0.15635173202450947,0.006771179862095311,0.00629890849037551,0.010356102469877032,0.010356102469877032,0,12
aft,1.0,0.126884226603665,0.126884226603665,0.13633196071460743,0.14703614593682343,0.009540372052912983,0.009151135460132048,0.012570123291263086,0.012570123291263086,0,12
aft,2.0,0.08467098266702552,0.08467098266702552,0.09056603350904577,0.10061126419356087,0.005882303475715174,0.005564273774316536,0.008189617897715912,0.008189617897715912,0,12
aft,4.0,0.06426507074796273,0.06426507074796273,0.05949379690923979,0.061580340838404336,-0.004777386920325988,-0.005157019687615033,-0.003330018991619804,-0.003330018991619804,12,12
aft,8.0,0.0474789500493067,0.0474789500493067,0.03489383691027576,0.029683163064595546,-0.012559449711021535,-0.012845327092009237,-0.010982806784687792,-0.010982806784687792,12,12
aft,16.0,0.02913103593746807,0.02913103593746807,0.017185369933706514,0.009376016031776398,-0.011912964686512305,-0.012340450811811145,-0.01037741566903265,-0.01037741566903265,12,12
aft,32.0,0.013036710851817889,0.013036710851817889,0.006954831497025402,0.0020035680279093682,-0.006071384026404447,-0.006215362392183987,-0.005465905091142069,-0.005465905091142069,12,12
aft,64.0,0.004279510851280911,0.004279510851280911,0.002195615761538757,0.00033809450522182753,-0.002083051227016656,-0.002099724819818143,-0.00198274960101916,-0.00198274960101916,12,12
root,0.25,0.9197954961386559,0.9197954961386559,0.9237631298269959,0.9277547184197927,0.00396839173829916,0.003457327789744724,0.004479455686853595,0.004479455686853595,0,2
root,0.5,0.8387146962305807,0.8387146962305807,0.8421995861488198,0.8457451114810399,0.0034876125391180013,0.002544565666051213,0.00443065941218479,0.00443065941218479,0,2
root,1.0,0.5756936289941422,0.5756936289941422,0.5777846656286302,0.5800945389047713,0.0020987345741769192,0.0006851441438416872,0.0035123250045121512,0.0035123250045121512,0,2
