sigma_factor,nrows,nspan,mode,class,count,mean,median,p95,max
0.5,6,8,upstream,interior,3168,0.1685330063884748,0.09977691460915088,0.4291664735708087,6.249618105390996
0.5,6,8,upstream,roottip,1254,0.8589774908464561,0.19963434274214312,2.5843764799278555,100.28036938038011
0.5,6,8,upstream,perimeter,66,0.06456534062585549,0.05596108835553124,0.14390060788966003,0.16192917055286782
0.5,6,8,split,interior,3168,1.215181675167111,0.2616396489035563,4.669184007226969,23.20275613055283
0.5,6,8,split,roottip,1254,1.157016344390038,0.29116453663708286,4.197366167635953,110.64950689445676
0.5,6,8,split,perimeter,66,1.2754222371131092,0.19733396743484302,4.667582753064479,21.989261748164335
0.5,6,12,upstream,interior,3564,0.17106368612805925,0.10124123425652297,0.5026174376925105,4.060102466177769
0.5,6,12,upstream,roottip,858,1.156407122129775,0.2639786394537302,3.6938976219849784,101.5358569098204
0.5,6,12,upstream,perimeter,66,0.06430687226874506,0.04780271507486005,0.15349961967212955,0.17327409543427894
0.5,6,12,split,interior,3564,1.1745655451381125,0.2598923076521809,4.445199388171255,22.775210423657544
0.5,6,12,split,roottip,858,1.4376611651836757,0.3651917975606304,5.161010030245572,111.70760026706498
0.5,6,12,split,perimeter,66,1.2758928342876132,0.19509594516786383,4.638389062864828,22.06742368130789
0.5,6,16,upstream,interior,3894,0.17429021978670806,0.10397579572036833,0.5242317670398674,3.8613715453287765
0.5,6,16,upstream,roottip,660,1.4219463921902524,0.31852983970108584,4.717055093682365,101.29793536626134
0.5,6,16,upstream,perimeter,66,0.06412299586394865,0.03707067574591065,0.16005607122485507,0.18222781062001092
0.5,6,16,split,interior,3894,1.1590968286579952,0.26093763787343194,4.39213105265329,22.6157088808342
0.5,6,16,split,roottip,660,1.7272815980794125,0.43585929729006745,6.323249296914466,111.50142705968003
0.5,6,16,split,perimeter,66,1.2761083397988326,0.19443221664495344,4.620083500946076,22.104295658661744
0.5,12,8,upstream,interior,1728,0.28482933779942904,0.17783182959804097,0.7230992521933675,6.999346665679977
0.5,12,8,upstream,roottip,684,1.7956456437595378,0.5225389635226686,5.702260190323883,123.69674531426043
0.5,12,8,upstream,perimeter,36,0.13710110305483325,0.12918069440309976,0.26885500489720954,0.28898060679018117
0.5,12,8,split,interior,1728,1.3049873315489782,0.4909528794724589,7.137430485338508,14.113521767195833
0.5,12,8,split,roottip,684,2.026716617353126,0.6029764160513855,6.479586451204959,127.97417353253373
0.5,12,8,split,perimeter,36,1.401292598029046,0.3950539112755092,11.237761094526567,12.753576860186579
0.5,12,12,upstream,interior,1944,0.292306016440812,0.18418928935233717,0.8813555402781612,4.586826917679745
0.5,12,12,upstream,roottip,468,2.4532718827207063,0.7068144640479761,8.511120907559311,125.14952723150384
0.5,12,12,upstream,perimeter,36,0.13685489568042758,0.12549265974062482,0.28324112132267404,0.3037740103203469
0.5,12,12,split,interior,1944,1.2688837859177862,0.4757926789502112,5.939990692933063,13.549190336964475
0.5,12,12,split,roottip,468,2.692093644137532,0.762286413625199,9.041092874231243,129.63408314236014
0.5,12,12,split,perimeter,36,1.4018125331548041,0.4006687400737305,11.216903690240237,12.788407850831279
0.5,12,16,upstream,interior,2124,0.2988979256134607,0.1870357347848997,0.9381273895736454,4.701164022338221
0.5,12,16,upstream,roottip,360,3.053481643365976,0.8520077062237764,11.089373757438548,124.88410348243157
0.5,12,16,upstream,perimeter,36,0.13666908917472184,0.12071414961081701,0.2949161655104554,0.31603881740385126
0.5,12,16,split,interior,2124,1.2554503953447418,0.48143326255765073,5.450885296208721,13.345428768692013
0.5,12,16,split,roottip,360,3.347284100649401,0.9586446763291988,12.258104108112649,129.5692981521203
0.5,12,16,split,perimeter,36,1.4020479699260795,0.4028721144577287,11.211397207942792,12.801559959282281
1.0,6,8,upstream,interior,850,0.14866240843322015,0.09990495289821172,0.38239606515180335,1.562000930454997
1.0,6,8,upstream,roottip,340,0.6849268077158498,0.20206338727320122,2.432678779825209,24.855660441116413
1.0,6,8,upstream,perimeter,34,0.06454429737534839,0.05543181329750501,0.14722008342630571,0.1588947139501477
